0:2:1|0:2:14|[沈默]在台上发言，男领导却在下面自拍，员工们听到有钱拿，纷纷热烈鼓掌。
0:41:45|0:42:0|二人来到马路边，[马晓丽]拿着高跟鞋去路边打车，半天都没打到，无奈的她只好坐回街边的石凳上，[沈默]在一旁仰着头擦鼻血，他见[马晓丽]无功而返，想了一会儿开口说道：
0:42:55|0:43:16|[沈默]看着出租车离开，脸上的笑容渐渐消失，另一边[杜宇]双手端着自己炖好的汤，敲响了一处房门，这时楼下开来一辆价值不菲的豪车，一个体型壮硕的中年男人走下了车，保镖举着伞一路将这位地位不凡的大佬护送进大楼，而楼上[杜宇]面前的门被打开，
0:43:16|0:43:22|他看着屋内的[小薇]惊喜地说道：
0:43:42|0:43:58|[杜宇]听了这话尴尬地说道：[杜宇]再也笑不出来，只能表情呆滞地点点头。
0:43:58|0:44:24|与此同时，大佬乘坐的电梯在他们这一层停下，他走出电梯刚到拐角，[杜宇]端着汤面无表情地经过并上了电梯，另一边[小薇]背靠房门，她一边哭一边擦眼泪，听到敲门声之后，急忙强撑起笑容，转身打开了房门，门外正是刚才上楼的大佬。
0:44:25|0:44:31|大佬说完随即将[小薇]的衣服撕烂，随后他毫不在意地往里屋走去。
0:44:32|0:44:41|饭店这边还没结束，姚总端起酒杯踉踉跄跄地向贾总走去，谁知被刚送完马小丽回来的[沈默]尽收眼底。
0:45:3|0:45:14|姚总听了立马扔了酒杯说道：眼看两人就要打起来，[沈默]赶紧在前台拿起酒杯摔在地上，
0:45:38|0:46:8|[沈默]预感不妙，直接将桌子掀翻了。姚总看这阵仗，转身小跑离开，差点撞上端着汤回来的[杜宇][沈默]脸上皱成一团放声大哭，[杜宇]见状赶紧上前说道：[杜宇]搀扶着假装难受的[沈默]离开，
0:46:14|0:46:22|夜晚饭店打烊，[杜宇]对着[沈默]说：
0:46:41|0:46:56|[杜宇]听了这话转身踹翻酒瓶，他发泄过后泄气地坐在凳子上，[沈默]打开卷闸门，无情地对他说道：他背对[杜宇]把话说完，鼻血在这时也留了下来，他不在意地随手抹了抹。
0:46:56|0:47:13|[杜宇]望着他的后背没有看见他狼狈的样子，[沈默]随后面无表情地离去了，提示音突然响起，[杜宇]从裤子口袋拿出手机，他看着屏幕愣了一下，发短信的正是让自己滚蛋的[小薇]，内容是：教我煲汤吧。
0:47:13|0:47:26|[杜宇]看着短信面部不受控制地笑了笑，远处一辆车经过饭店门口，只见店里的[杜宇]拿着扫把兴奋地翩翩起舞，宛如一只在花丛中起舞的胖蝴蝶。
0:47:26|0:47:33|天空渐渐亮了起来，[马晓丽]和姐妹们悠闲地在家里练瑜伽，这时她突然开口问道：
0:47:43|0:48:14|姐妹的这一番话让[马晓丽]尴尬起来，她摒除杂念，安心地练起瑜伽，她练完后站上体重秤，上面显示为122.55斤，这个数字让她很是苦恼，她不相信的拿起体重秤拍了拍，[马晓丽]看着体重秤发愁，突然她好像想起了什么，将自己的目光转向[沈默]给她的减肥药上，她吃完后果然拉起了肚子，
0:49:9|0:49:16|经纪公司负责人把名片递给[沈默]，[沈默]看了后调侃道：
0:49:27|0:49:42|[沈默]一回头看到了[马晓丽]，穿着服务员衣服的[沈默]笑了笑，
0:49:49|0:49:58|[马晓丽]说完转身离开，旁边的大妈看向[沈默]好似在嘲笑他。[沈默]小跑着追向[马晓丽]，拿出两根黄瓜对她说：
0:50:22|0:50:27|步朝家里走去，回到家的她拿着减肥药虚脱地坐在马桶上，厕所门外有人敲门，
0:50:38|0:50:51|另一边的[沈默]坐在饭店后厨里洗菜，看见[马晓丽]和姐妹三人从远处走来，对正玩手机的[杜宇]说了声，[杜宇]听后立马开始切菜，这时来了个顾客对他说，
0:50:54|0:51:5|顾客莫名其妙地转身离开，[沈默]拿着垃圾走到垃圾堆旁，对着回家的[马晓丽]等人说：
0:51:23|0:51:32|[兰兰]也紧随其后地说道：[沈默]帮她们提到家里一脸疲惫地说：
0:52:1|0:52:13|[兰兰]尴尬地笑了笑，拜拜拜拜，话没说完，[兰兰]就将[沈默]关在门外，站在门外的[沈默]恢复了面无表情的状态，转身离开，就在这时门突然打开，[马晓丽]急切地问道：
0:53:1|0:53:7|[沈默]笑了笑表情极其认真地对她说道：
0:53:44|0:53:49|他拿起一看竟是天使基金会汇款的收据，他放下后接着说道：
0:54:17|0:54:37|[马晓丽]说完转头又看到蟑螂，[沈默]举着杀虫剂狂喷[马晓丽]一把把他拽开，[马晓丽]彪悍地一脚踩了上去。回到家后的[沈默]翻看着表演圣经，感觉到有些许无聊，他放下书，起身走了出去。
0:54:37|0:54:43|另一边[马晓丽]正在吃零食，[兰兰]突然问她，
0:55:46|0:56:10|打完电话的[沈默]转头示意同事，同事比了个ok的手势，旁边的贾总对他举起大拇指，[沈默]则回头，面上的表情暗了暗，[沈默]对正在饭店玩手机的[杜宇]提醒到，随后他发现[马晓丽]等人在饭店吃饭，正准备离开却被人看到，他只好搭话道：
0:56:32|0:56:47|说笑间，[杜宇]突然扭头训斥道：来隔壁的菜馆暂停营业，[沈默]拿着单子在门口犯了难，
0:57:5|0:57:11|[沈默]疯狂地向[杜宇]示意，最后[杜宇]实在不耐烦对着他大喊道：
0:57:32|0:57:40|在厨房斗争的[沈默]炒个鸡蛋都能把碗打翻，刚进后厨的[杜宇]看不下去，随即出声，
0:58:21|0:58:29|[马晓丽]笑着转身去了后厨，进入后厨的她渐渐收起了笑容，[沈默]在身后默默地注视着她，
0:58:41|0:58:50|[沈默]转头进入后厨，[马晓丽]在后厨难过地流泪，看到[沈默]进来了，连忙转身擦拭泪水，[沈默]看着她心里不是滋味。
0:59:27|0:59:38|见[沈默]没说话，[马晓丽]一边低头做菜，一边吐槽道：说完她整理好情绪，笑着走出厨房，
0:59:44|0:59:51|天色渐暗，[小薇]站在阳台上满脸焦虑地打电话，
1:0:12|1:0:34|[小薇]哆哆嗦嗦拿下手机，不等大佬说完就把电话挂断，殊不知自己的一举一动都被监控传到了对方的眼里，而屋内的[杜宇]正趴在床上打游戏，他随手关掉了关于神秘富商[何大昌]涉黑的新闻推送，[杜宇]随口骂了一声，继续打游戏，丝毫没有察觉床头摆着的正是[何大昌]的照片，从阳台回来的[小薇]纠结开口，
1:1:10|1:1:24|手机将屏幕砸碎掉在电视柜上，他气愤地将烟狠狠地甩在地上，拿起手边的座机熟悉地拨了一个号码开口说道：
1:1:53|1:2:20|听到手机铃声的[何大昌]赶忙去拿刚刚扔在电视柜上的手机，刚站起来他就一脚踩在了自己扔的烟头上，随后又因为没站稳，一头撞在电视柜上昏死过去，而另一边[杜宇]离开了[小薇]家，走到[沈默]的身后开口要钱，
1:3:12|1:3:31|听到[沈默]的警告，[杜宇]气愤地离开了，而[沈默]一边趴在书桌上写东西，一边回忆起自己儿时的遭遇，黑心商人在公路上乱撒铁钉，一辆轿车从远处驶来不小心扎到，巧的是一辆拖拉机逆行在单行道上，轿车为了躲避拖拉机而发生了侧翻，
1:3:31|1:3:40|拖拉机驾驶员下车查看情况，然后又开着车扬长而去，轿车里的大人还帮年幼的[沈默]擦拭脸上的血迹，
1:4:25|1:4:37|夜晚昏暗的楼道内，[沈默]独自来到[马晓丽]的房间门口，刚准备敲门，就感觉嗓子有些痒，他侧身弓着背捂着口鼻咳嗽，实在坚持不住又蹲下来咳嗽。
1:4:38|1:4:51|[沈默]看着自己咳出来的东西毫不在意，站起来准备离开，他如同行尸走肉一般。就在这时，出门扔垃圾的[马晓丽]看见他的身影，开口把他叫住，
1:6:16|1:6:21|二人诙谐的表演逗笑了电脑前的观众，下一秒姚总就打了小弟一巴掌，随后姚总和小弟来到饭店门口，他拿着手机给[沈默]打电话，
1:6:24|1:6:30|[沈默]接到电话看了一眼，来电人是姚德志后，随意地将手机放在一边，
1:6:32|1:6:39|拿起旁边的座机拨给姚总，又抽了张纸巾将它垫在传声筒上开口说道：
1:8:1|1:8:27|这一单拿下后，贾总拿着两个大奖杯递给[沈默]，[沈默]拿着奖杯腼腆地笑了，周围的员工露出羡慕的表情。而另一边日本杀手元鹏君坐船偷渡到中国，他打开船前方的木板拿出档案袋，里面有一张银行卡和几张[杜宇]和[小薇]的照片，元鹏君拖着行李走在大街上，他帅气的外表引来了女主播[兰兰]的搭讪，
1:8:57|1:9:10|[兰兰]一把揽过元鹏君的肩膀，把他带到了电梯里，电梯门开了，元鹏君先行走下电梯，[兰兰]紧随其后，她靠在电梯旁，手按着电梯按钮注视着元鹏君。
1:9:16|1:9:26|确定[兰兰]离开之后，元鹏君转身进入房门，他没有参观屋内的新环境，而是直接坐在桌子前开始熟练地组装自己的高端望远镜。
1:9:28|1:9:40|然后拿着它在阳台上，向对面楼层望去，观察了一会儿后，终于找到了这次要杀害的目标，他看着仿佛已经是死人的[小薇]和[杜宇]一脸邪恶地笑了起来，
1:9:47|1:10:1|[小薇]在房间里踱步碎碎念着，而[杜宇]却坐在电脑前丝毫不慌，另一边的元鹏君在银行查看自己卡里的余额，他输入密码看到500万的余额满意地笑了起来。
1:10:2|1:10:28|他刚拔卡离开，[杜宇]这边已经将他卡里的余额转入自己的账户，而另一边在电脑前的[沈默]也接到[杜宇]到账巨款的消息，他关上电脑转身走出房间，袁鹏军在医院买药，他将银行卡递给医生，医生却很不耐烦，笑意满满的元鹏君瞬间呆住了，他到银行查询余额刚刚还有500万巨款的卡里，现在只剩下10块钱，
1:10:29|1:10:45|他气愤地拿出卡后，走出银行，却在门口碰见了正要进去的[沈默]，二人对峙一眼后自行离开，[沈默]在自助取款机上将[杜宇]粘在上面的微型监控以及假的插口拿掉，转身离开了银行。
1:10:50|1:11:5|元鹏君给何大昌打电话，想要质问他银行卡余额的事情，殊不知何大昌这时因为光脚踩到烟头而摔倒在电视机柜旁，现在只能眼睁睁地听着电话铃响，自己却没有知觉去接他的电话了。
1:11:5|1:11:17|回到家的元鹏君将药品倒在小天平上，混合着其他白色粉末放在烧杯里搅拌着，又将酒精灯点燃，做完这一切他露出邪恶的微笑。
1:11:17|1:11:34|当拿到成品的白色粉末时，他幻想着[小薇]和[杜宇]能按照自己的指令吃下去，等他们二人口吐白沫，停止呼吸，自己再将他们二人伪装成相互残杀，借此来隐瞒自己杀人犯罪的事实。
1:11:34|1:11:52|想到这里，元鹏君会心一笑，谁知在这时有人敲门，他收起脸上的笑容起身去开门，站在门口的[兰兰]手捧着蛋糕，看到打开门的元鹏君，她开心的说道：
1:12:0|1:12:7|说完她就进了[元鹏君]的屋子，
1:12:28|1:12:52|这边的[沈默]正在饭店里陪贾总喝酒，而另一边[元鹏君]军背对着[兰兰]在窗边冲泡果汁，[兰兰]则是在桌边拿手机拍着自己和[元鹏君]的背影，[元鹏君]趁她不注意，偷偷将[沈默]卖的假的减肥药倒入茶水内，窗户上反射出他阴谋得逞的小人嘴脸。
1:12:53|1:13:9|他将茶水倒进杯子里，拿着杯子转身向桌边走去，将带有减肥药的茶水递给[兰兰]，面带微笑地看着她喝了下去，[兰兰]喝完斟酌了一下，开口说道：
1:13:53|1:14:13|[元鹏君]恼怒地舔了口杯子，气愤地拿起一盒丽身减肥药，听到动静的[兰兰]跑过来问道：[元鹏君]拽下脖子上的项链，摇晃着对准[兰兰]就开始催眠，他念念有词道：看这里，仔细看这里，慢慢放轻松，
1:15:5|1:15:27|[马晓丽]实在担心[兰兰]就出门寻找，琪琪因为她的话心里不满，在家生着闷气，另一边[兰兰]被[元鹏君]催眠，只见她边走边脱衣服，然后一丝不挂地躺进浴缸，最后拿起刀片划开了自己左手手腕上的血管，而[元鹏君]站在窗边注视着[杜宇]和[小薇]的一举一动，
1:15:27|1:15:48|发现他们有所动作，[元鹏君]也开始着手准备。餐馆里[沈默]独自躲在电脑前转移光年账户的钱财，贾总和员工却在餐桌前喝得烂醉，一墙之隔的贾总喝醉趴在桌子上，阿莲喊他也没有反应。
1:15:52|1:16:0|酒足饭饱，骗子公司的一行人互相搀扶着贾总从饭店离开，却在中途碰见了寻找[兰兰]的[马晓丽]。
1:16:0|1:16:34|而在另一边，[杜宇]和[小薇]拿着行李箱刚进入电梯，[元鹏君]就从另一部电梯里出来，三人擦肩而过，电梯内[杜宇]得知账户转出一笔巨款，他渐渐收起了笑容，[小薇]在一旁看到他这副模样，担心地问道：[元鹏君]打开楼道的门，一不留神就摔了一跤，他站起来继续走着，
1:16:53|1:17:6|撕心裂肺的[杜宇]不知道自己的真爱已经被[元鹏君]迷晕，并且开车带走了，[元鹏君]给[何大昌]打电话，对方却不接，
1:17:13|1:17:20|[何大昌]的手机因为来电振动跌落下来，
1:17:28|1:17:35|巧的是碰瓷的大爷大妈也在这里，[沈默]一边提交举报材料，一边听[杜宇]说着，
1:17:59|1:18:19|[杜宇]刚说完话，元鹏君兴奋地踩着油门准备朝他撞去，就在这时碰瓷的大爷大妈却突然冒了出来。[杜宇]亲眼目睹了这一幕，撞击声从电话听筒传到[沈默]的耳里，轿车撞到树后停了下来，[杜宇]抱着[小薇]赶忙朝医院跑去，车内只剩下昏迷的元鹏君，
1:18:19|1:18:32|大爷大妈也自知闯祸，急忙的离开车祸现场。[沈默]来到现场查看元鹏君的伤势，[马晓丽]随后跑来，
1:18:44|1:18:59|[沈默]拿着[马晓丽]递来的手机，他将图片放大查看，一会儿若有所思地对着[马晓丽]开口说道：醉酒的贾总躺在诊所床上胡言乱语。
1:19:24|1:19:44|看[小薇]有了意识，[杜宇]手忙脚乱地从旁边的医疗物品内寻找东西医治，[沈默]拿着手机站在小区楼下对比着图中的位置，而另一边的[马晓丽]还在车祸现场守着，没一会儿元鹏君从昏迷中醒过来，[马晓丽]见状赶紧上前问道：，
1:19:58|1:20:14|元鹏君不顾[马晓丽]的提问起身离开，而[沈默]站在楼道内，他从口袋里拿出工具，对着元鹏君的家门一番操作着，不一会儿他就成功撬开了房门，大步走了进去，随后又谨慎地将门关上。
1:20:15|1:20:28|[沈默]进了房间，他走到桌前拿开上面吃了一半的蛋糕，被压在下面的几份报纸引起了他的注意。报纸上写着山口组社长在居酒屋被杀害，嫌疑人北野一郎等等。
1:20:34|1:20:45|随后他来到窗边通过望远镜发现[元鹏君]一直在监视着[杜宇]，他面色凝重地思索着什么，另一边的[马晓丽]跟着[元鹏君]来到[杜宇]所在的诊所，她喋喋不休道：
1:21:3|1:21:9|这时从屋里走出来一位医生，
1:21:16|1:21:28|[元鹏君]将出来的医生全部打晕，他将诊所大门从里面锁上，从诊所内部走去，屋内的贾总还在给员工讲着企业文化，
1:21:50|1:22:4|他随即把门关上，拿起挂在衣架上的白大褂穿在身上。与此同时[沈默]终于在浴室里发现了躺在浴缸里割腕的[兰兰]，
1:22:9|1:22:20|走进房内的[元鹏君]没有听贾总的哀嚎，而是直直地向着[杜宇]走去，背对着他的[杜宇]只顾着[小薇]的伤势，丝毫不知道危险已经在悄然降临。
1:22:20|1:22:37|另一边[沈默]赶紧找到砂布和胶带，给失血过多的[兰兰]进行简单止血，紧接着又给[马晓丽]打电话，可电话里传来的却是冰冷的声音，[沈默]直接挂断了电话，随即又快速拨了一个号码，然后拿起浴巾向浴缸走去。
1:23:3|1:23:17|[沈默]大喊，接着他将[兰兰]送上救护车，又向医生问道：[沈默]愣了愣，大声喊道：
1:23:28|1:23:58|[杜宇]拿着小刀跟着[元鹏君]的指示向贾总走了过去，吓唬完贾总，[杜宇]又拿着刀面向了[小薇]，[沈默]在街上看着手机上的地图，随后给[杜宇]拨通电话，[元鹏君]听见铃声，他拿起手机，上面显示是冷血的来电，见电话一直响个不停，他最终无奈地接听了电话。
1:23:58|1:24:14|[沈默]听对方没有说话，感觉到不对劲，开始表演起来，他装作日本第一杀手跟[元鹏君]对话，
1:24:34|1:25:4|我是日本第一杀手，如果你敢侮辱我的话，我连你一起杀掉，[元鹏君]回复他：我就是横冈原鹏，我在这里等你。[元鹏君]看不下去了，一掌拍晕正在和人体雕像斗争的[杜宇]，周围人看着晕倒的[杜宇]都不敢说话，另一边[沈默]边流鼻血边向诊所跑去，[元鹏君]站在诊所内，居高临下地看着屋内的一群人。
