0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Tian Du.
0:15:42|0:15:55|Afterwards, [Ni Kongkong] opened the stone door of the secret passage and turned the switch forcefully. A bronze mirror slowly appeared on the stone wall, reflecting the sunlight deep into the bottom of the cave.
0:15:55|0:15:59|After Okka climbed onto him, [Ni Kongkong] grabbed the rope and slowly descended towards the bottom of the cave.
0:15:59|0:16:4|Halfway down the slide, [Ni Kongkong]'s right hand with the strange crack suddenly stung.
0:16:37|0:16:42|After the interactive dust settled, a carefully excavated cave was revealed behind the stone wall.
0:16:42|0:16:47|The walls of the cave are covered with valuable fluorescent stones.
0:16:47|0:16:48|[Ni Kongkong] excitedly exclaimed with a bow and arrow.
0:16:53|0:17:0|Hei Yu took out the hook lock and hung it on the wall, then excitedly took down the fluorescent stones on the wall one by one and put them into a cloth bag.
0:17:0|0:17:4|While he was enjoying the joy of getting rich, he suddenly felt a sharp pain in his right hand.
0:17:4|0:17:9|After taking off his gloves, he found that the light shining from the cracks on his right hand was unusually dazzling.
0:17:9|0:17:16|At this moment, he didn't even care about stealing the fluorescent stone. After staring at the crack for a long time, he seemed to sense a mysterious power.
0:17:16|0:17:20|He looked up at the waterfall in front of him, then held out his palm towards the direction of the waterfall.
0:17:21|0:17:27|At this moment, a light similar to the crack in the palm also emanated from behind the waterfall.
0:17:27|0:17:35|[Ni Kongkong] saw the situation and raised his palm over his head with force. Unexpectedly, he was instantly sucked into the mysterious light behind the waterfall.
0:17:35|0:17:43|Only after passing through the waterfall did they see the mysterious light that could resonate with [Ni Kongkong]'s palm, emanating from an iron box on a column.
0:17:43|0:17:46|The closer she got to the iron box, [Ni Kongkong] could feel the mysterious power more and more.
0:17:48|0:17:53|He clenched his teeth and exerted all his strength to hold the iron box tightly in his palm in order to uncover the secret hidden in the palm.
0:17:53|0:17:59|Miraculously, the light on the iron box was absorbed by [Ni Kongkong] after coming into contact with the cracks in the palm.
0:17:59|0:18:3|But he still didn't find out the truth about the crack and the iron box.
0:18:3|0:18:12|At this moment, [Feng Xiao] arrived at the bottom of the cave with two feathered guards, while completely unaware, [Ni Kongkong] was still desperately trying to smash open the iron box with a stone.
0:18:23|0:18:31|Ni Kongkong dodged two crossbow arrows shot directly at him, as Feng Xiao walked over slowly and said.
0:18:31|0:18:34|[Ni Kongkong] is clever, placing the box on the ground and kicking it towards [Feng Xiao].
0:18:34|0:18:37|At this moment, Ouka ran to [Ni Kongkong]'s side.
0:18:57|0:19:3|[Ni Kongkong] took advantage of the enemy's confusion, quickly threw a European coffee, knocking out the guards, then grabbed a sword crossbow and shot at [Feng Xiao].
0:19:3|0:19:6|Unexpectedly, [Feng Xiao] actually rebounded the crossbow back.
0:19:6|0:19:9|At this moment, [Hei Yu] suddenly appeared and saved [Ni Kongkong].
0:19:32|0:19:40|[Ni Kongkong] suddenly launched an attack, kicking Okka towards [Feng Xiao], followed by a punch straight to the face, but such tricks were ineffective in front of [Feng Xiao].
0:19:40|0:19:43|He knocked [Ni Kongkong] down with a backhand move.
0:19:43|0:19:48|Just as [Feng Xiao] swung his sword towards [Ni Kongkong], [Hei Yu] timely blocked his attack.
0:19:48|0:19:55|Rescued [Ni Kongkong] quickly took Ou Ka to a corner, watching the siblings fight fiercely, but after a few moves, [Hei Yu] was no match for [Feng Xiao].
0:19:57|0:20:2|Just as [Feng Xiao] was about to leave with the box, Ou Ka rushed over and casually snatched the box away.
0:20:2|0:20:8|Feng Xiao, feeling helpless, forcefully flung Ou Ka to the side, and the iron box happened to land in front of Hei Yu.
0:20:24|0:20:29|Wuliang, the box instantly released the maximum energy, sending the two flying and bouncing next to [Ni Kongkong].
0:20:57|0:21:0|The Tiger Teeth scattered, forming a encirclement.
0:21:0|0:21:14|Mr. Ni Kongkong, seeing the situation, tried to run, but was blocked by [Yang Zhenhu].
0:21:32|0:21:44|At this moment, [Feng Xiao] broke free from two pursuers and fled swiftly.
0:21:44|0:21:52|As for who [Ni Kongkong] is, [Hei Yu] doesn't care. Instead, he walks up to [Ni Kongkong], reaches into his clothes and takes out an iron box, saying to [Yang Zhenhu].
0:22:5|0:22:11|Amidst the laughter of the crowd, [Hei Yu] and [Ni Kongkong] were locked in a labor vehicle by the tiger teeth and escorted back to the city.
0:22:11|0:22:14|[Yang Zhenhu] holds a high position among the common people.
0:22:14|0:22:19|The once bustling and crowded street became quiet in an instant as the troops of [Yang Zhenhu] arrived.
0:22:19|0:22:23|People retreated to the sides with great respect, bowing to the troops.
0:22:23|0:22:28|In the labor camp, [Ni Kongkong] looked at the people with a smile, and then said to [Hei Yu].
0:23:28|0:23:42|Not long after, the two were thrown into the dungeon and chained together with the same iron chain.
0:23:42|0:23:51|Yang Zhenhu and He Ying were too busy discussing and didn't notice that the key to the prison door had been stolen. The dungeon was too narrow, and the two of them were very close to each other.
0:23:51|0:23:55|Ni Kongkong looked at the familiar face of Hei Yu and said softly.
0:24:6|0:24:17|During the fight between Ni Kongkong and Hei Yu, the prince of Tian Du City, He Li, opened the door and jumped in.
0:24:34|0:24:38|The fight between Hei Yu and Ni Kongkong left Ni Kongkong in excruciating pain.
0:24:38|0:24:41|He saw the two fighting endlessly in the water, with the sea calm and peaceful.
0:25:17|0:25:19|[Ni Kongkong] looked at [He Ying]'s jade pendant and said.
0:25:57|0:26:0|Soon after, [Ni Kongkong] whispered his perfect plan to the two of them.
0:26:0|0:26:7|At the same time, deep in the mountains outside the Tian Du City, Xue Lie looked at the Eye of the Sky and said to the never-failing [Feng Xiao].
0:27:27|0:27:32|Ouka dug a small hole in the dungeon wall and stole the box, handing it to [Ni Kongkong].
0:27:32|0:27:37|[Ni Kongkong] watches [Hei Yu] getting injured and wants to stop the bleeding for him.
0:27:42|0:27:44|Knowing Ni Kongkong's intentions, Hei Yu also let go.
0:27:44|0:27:49|He just woke up and looked at the already opened iron chains, feeling somewhat incredulous.
0:27:49|0:27:55|At this moment, [Ni Kongkong] sat on the ground, took off his boots, and took out a hemostatic medicine from the boots, preparing to apply it to [Hei Yu].
0:27:55|0:28:1|As soon as he reached out, [Hei Yu] struck him again.
0:28:8|0:28:15|[Ni Kongkong] sniffed the medicine pouch, frowned, then sniffed his own boots and awkwardly chuckled.
0:28:15|0:28:22|[Hei Yu] may talk disgustingly, but the blood constantly oozing out forced him to take [Ni Kongkong]'s hemostatic medicine.
0:28:22|0:28:30|[Ni Kongkong] applied medicine and bandaged [Hei Yu]'s wound, but his curious hands opened [Hei Yu]'s clothes, revealing the puncture marks where wings were about to grow on the feathered man.
0:28:40|0:28:44|[Ni Kongkong] sat on the side and threw the empty medicine packet on the ground unhappily.
0:28:44|0:28:47|[Hei Yu] ignored him and closed his eyes to rest.
0:28:47|0:28:51|At this moment, [Ni Kongkong] turned to [Hei Yu] and asked.
0:29:16|0:29:22|The two of them locked eyes for a long time, [Hei Yu] looked at [Ni Kongkong] with a particularly determined gaze, and then said to her.
0:29:49|0:29:53|Hei Yu attacked two prisoners and stripped off their clothes, throwing them to the two men.
0:29:53|0:29:58|Hei Yu disguised himself as Huya, swaggering out of the prison with two prisoners in tow.
0:30:32|0:30:38|At this moment, Xue Lie's subordinates disguised as Tiger Fangs, escorted Lei Bao and others into the Zhenhu Office.
0:31:8|0:31:12|Just as they turned the corner into the dungeon, [Lei Bao] and his group ran into [Ni Kongkong] and her three companions head-on.
0:31:29|0:31:34|The two groups of people are getting closer, because they are all disguised, and there is some fear in their hearts.
0:31:34|0:31:39|Walking ahead, [Ni Kongkong] and [Hei Yu] were lowering their heads in a guilty manner.
0:31:39|0:31:47|[Ni Kongkong] caught a glimpse of the extremely ugly [Lei Bao] among the prisoners, triggering memories of that night at the Prince's mansion.
0:31:47|0:31:51|[Ni Kongkong] was not happy in his heart, but in order not to expose himself, he still apologized to the other party.
0:32:0|0:32:3|[Ni Kongkong] kept looking back from time to time.
0:32:13|0:32:18|[Hei Yu] saw Yang Zhenhu walking down the steps from the front and reached out to stop [Ni Kongkong].
0:32:48|0:32:54|Due to the sudden appearance of Yang Zhenhu, the three who were almost at the door were forced to turn around and choose the small path to move forward.
0:32:54|0:33:3|At the same time, the group of [Lei Bao] who infiltrated the Zhenhu Temple had turned the administrative office upside down.
0:33:16|0:33:21|The progress of Ni Kongkong, Hei Yu, and Xue Lie on the small path was also not smooth, as they encountered a large number of guards ahead.
0:33:26|0:33:30|[Hei Yu] shook his head, and [Ni Kongkong], seeing this, pondered for a moment before speaking.
0:33:54|0:33:59|[Ni Kongkong] The perfect plan turned out to be using herself to lure away the guards on the wind stairs, thus covering for the escape of the two.
0:33:59|0:34:7|The two of them saw dozens of guards chasing after [Ni Kongkong] together, so they couldn't waste the opportunity and rushed towards the wind ladder after making eye contact.
0:34:7|0:34:15|The reinforcements arrived just in time, and a guard shot off He Li's helmet with an arrow. Luckily, [Hei Yu] was quick and took care of him in a few moves.
0:34:24|0:34:30|The guard struck the alarm gong in time, and [Yang Zhenhu] also arrived at the scene.
0:34:30|0:34:39|At this moment, in the government office, hearing the gong sound, they quickly reported to [Lei Bao].
0:34:39|0:34:44|[Lei Bao] woke up and immediately took out his iron chain giant axe, looking solemnly at the gate.
0:34:44|0:34:48|The henchmen stopped flipping their staffs and each took out their weapons to wait along the formation.
0:34:51|0:35:2|The gate was pushed open by Ni Kongkong with great force, and Lei Bao, seeing only one unarmed person approaching, felt quite puzzled.
0:35:2|0:35:8|After a moment, dozens of guards rushed to the government office. When they arrived at the door, they were also startled by [Lei Bao] and his companions.
0:35:18|0:35:32|[Lei Bao] didn't hesitate to summon a giant tiger, and the iron chain also came out of the axe handle. [Ni Kongkong] swiftly leaped up and shot a flying rope from his sleeve, avoiding this deadly blow. However, the three guards behind him were not so lucky, as they were all swept away by the giant tiger.
0:35:34|0:35:38|With the active attack from [Lei Bao], the battle between the two groups has officially begun.
0:35:38|0:35:44|Suddenly, the office seemed to have turned into a battlefield, with various documents and letters in the cabinet flying everywhere.
0:35:44|0:35:49|[Lei Bao] relied on a giant axe to almost slaughter the battle-hardened warriors.
0:35:49|0:35:51|[Ni Kongkong] also joins the battle.
0:35:51|0:35:56|Just as he was fighting fiercely, the box in his arms accidentally fell from the second floor to the ground.
0:35:56|0:35:59|The crisp voice made [Lei Bao] look towards the box.
0:35:59|0:36:2|He was about to pounce on the box when [Ni Kongkong] picked it up first.
0:36:7|0:36:11|[Lei Bao] threw a huge axe, knocking [Ni Kongkong] down from the stairs.
0:36:11|0:36:14|And at this moment, [Yang Zhenhu] arrived just in time with a long-handled knife in hand.
0:36:17|0:36:21|[Yang Zhenhu] rushed forward with the guards as soon as he gave the order.
0:36:21|0:36:25|[Yang Zhenhu]'s martial arts skills are superb. The moment he joined, he turned the situation around.
0:36:25|0:36:35|Just now, the arrogant and domineering feathered man was slashed one by one by [Yang Zhenhu], while [Lei Bao] completely disregarded the lives of his subordinates, only chasing after [Ni Kongkong], trying to snatch back what was given to him.
0:36:36|0:36:41|[Ni Kongkong] was closely pursued by [Lei Bao], from the second floor to the first floor, and then from the first floor to the corridor.
0:36:41|0:36:47|[Ni Kongkong] can only rely on the hooks on his body, struggling to shuttle up and down the corridor, trying to shake off [Lei Bao].
0:36:47|0:36:53|[Yang Zhenhu] joined the battle and quickly wiped out a soldier, then headed straight for [Lei Bao].
0:36:53|0:37:0|Panting heavily, [Ni Kongkong] saw [Yang Zhenhu] approaching and immediately perked up, shedding the previous embarrassed look and provocatively staring at [Lei Bao].
0:37:0|0:37:8|[Lei Bao], true to his name, had a particularly violent temper. Seeing [Ni Kongkong] mocking him like that, he swung his axe and aimed a blow at [Ni Kongkong]'s head.
0:37:8|0:37:13|Fortunately, [Yang Zhenhu] acted in time and dragged [Ni Kongkong] aside with the hilt of the knife.
0:37:13|0:37:16|The massive axe blow also split open a crack in the stone wall.
0:37:16|0:37:20|[Yang Zhenhu] saw that [Lei Bao] had such great strength, and did not dare to underestimate him.
0:37:20|0:37:39|Taking a fighting stance, [Lei Bao] was naturally fearless, greeting whoever came with a giant axe. At that moment, the box in [Ni Kongkong]'s arms fell to the ground, catching [Lei Bao]'s eyes. Instantly losing the will to fight, he was only thinking about how to get the box in his hands, engaging in a simple exchange of moves with [Yang Zhenhu].
0:37:39|0:37:56|Possessing the desire to pick up the box, [Yang Zhenhu] seized the opportunity and kicked [Lei Bao]'s head against the wall. The box that was just within reach flew out again, but was intercepted by [Yang Zhenhu] with a knife. Unexpectedly, [Ni Kongkong] suddenly snatched the box and dashed out of the corridor. Seeing this, [Lei Bao] immediately got up to chase after, but [Yang Zhenhu] relentlessly pursued.
0:37:56|0:38:3|So, after [Lei Bao] walked out of the corridor, he turned back and chopped off the stone pillar, trapping [Yang Zhenhu] with the falling boulder.
0:38:3|0:38:9|On the other side, [Hei Yu] and the other person printed the closed guards on the ground one by one, [He Ying] stepped onto the sealed ladder and said urgently.
0:38:45|0:38:56|[Hei Yu] had just finished speaking when, suddenly, [Lei Bao]'s flying axe smashed in from the top of the ladder, firmly hooking onto it. [Lei Bao] then used an iron chain to continuously rotate the ladder downwards.
0:38:57|0:39:3|[Hei Yu] spoke, and the three of them climbed to the top of the sealed ladder. [Hei Yu] saw [Ni Kongkong] and He Li, and grabbed the ascending rope tightly.
0:39:3|0:39:9|The mutated knife cut it off, without the tether's traction, [Ou Xi] instantly walked towards [Lei Bao].
0:39:9|0:39:19|[Ou Xi] fell from high altitude, directly submerging [Lei Bao], and the three quickly arrived at the top of Zhenhu Si.
0:39:19|0:39:22|Three people slid rapidly from one high building to another using iron hooks on a zip line.
0:39:33|0:39:42|Outside the Zhenhu Temple, after seeing Ni Kongkong and the other two escaping, Hei Yu climbed down from the wall and joined the crowd in chasing after them.
0:39:42|0:39:49|At this moment, [Yang Zhenhu], who had been rescued, led the team to arrive late. He looked at the three who had already escaped and shouted angrily.
0:39:52|0:39:57|After escaping, they stole a boat from the shore and headed towards the direction of the underground cave in the night.
0:39:57|0:40:0|The next morning, the three of them had already drifted to the outskirts of the underground cave.
0:40:0|0:40:5|On the peaks here, giant monster stone sculptures are everywhere, sending shivers down one's spine.
0:42:12|0:42:17|Night fell in the blink of an eye, and the small boat carrying three people continued to move slowly in the river.
0:42:17|0:42:20|[Hei Yu] couldn't sleep, standing alone at the bow of the ship, lost in thought while looking at the necklace.
0:42:20|0:42:23|At this moment, [Ni Kongkong] walked out of the cabin and asked.
0:42:45|0:42:48|[Hei Yu] anxiously grabbed the necklace back and directly took action.
0:42:48|0:43:3|[Ni Kongkong] jumped onto the sail, without hesitation, [Hei Yu] immediately pounced on him.
0:43:3|0:43:13|During the fight, [Hei Yu] pulls off [Ni Kongkong]'s gloves, revealing the secret of his hands. Enraged and embarrassed, [Ni Kongkong] walks towards [Hei Yu].
0:43:19|0:43:29|[Ni Kongkong] first wanted to snatch back the boxing gloves, then changed his cute image from earlier, and his punches and kicks became heavier. He lifted [Hei Yu] with force and threw him onto the boat.
0:43:29|0:43:37|Helpless, [Hei Yu] was stronger than him, he was kicked in the neck and thrown out, [Ni Kongkong] angrily threw the necklace onto the boat when he got up again.
0:43:40|0:43:45|Unexpectedly, the necklace was broken, [Hei Yu], strong and instantly furious, no longer joined forces.
0:43:45|0:43:48|With a leap, Jade Horn almost kicked [Ni Kongkong] off the ship's cabin.
0:43:53|0:43:59|[Hei Yu] rushed towards the necklace, and at that moment, the necklace emitted a tremendous amount of energy, rising into the air.
0:44:4|0:44:12|The necklace, rising halfway into the air, emitted a dazzling pollen like the Milky Way from the broken part, surrounding it.
0:44:12|0:44:18|[Ni Kongkong] tightly gripped the edge of the boat with both hands, struggling to climb aboard, but [Hei Yu] paid no attention to him at all.
0:44:18|0:44:24|At that moment, the suspended star stream pollen instantly surrounded [Hei Yu] and drilled into his wing orifice.
0:44:24|0:44:28|A surge of immense energy rushed in, causing [Hei Yu] to instantly collapse on the ground.
0:44:28|0:44:33|[Ni Kongkong] saw the situation and hurried forward.
0:44:33|0:44:35|The necklace lost its power and fell on the boat.
0:44:35|0:44:43|[Ni Kongkong] turned around and picked it up, but when he turned around again, the unconscious [Hei Yu] was rising vertically into the air under the effect of star stream pollen.
0:44:43|0:44:47|[Ni Kongkong] held onto his ankle, but a powerful force sent them both flying.
0:45:1|0:45:9|[Fei Long] followed Wu Ka's gaze and saw the two of them already floating tens of meters above the ground.
0:45:20|0:45:26|As they ascended higher and higher, [Ni Kongkong] tightly wrapped her arms around [Hei Yu]'s legs, wailing continuously.
0:45:26|0:45:32|At this moment, the star stream pollen completely merged with [Hei Yu], and a pair of large wings extended from [Hei Yu]'s back.
0:45:32|0:45:35|[Ni Kongkong] was so shocked that she was speechless.
0:45:35|0:45:43|After a moment, [Hei Yu] also gradually regained consciousness. When he opened his eyes, he found himself suspended in mid-air at a height of a hundred meters, instantly panicking.
0:45:43|0:45:47|Seeing the wings behind him, he was even more puzzled.
0:45:47|0:45:54|He panicked as he tried to control his wings, but it was his first time flying and he couldn't coordinate the flapping of both wings at the same frequency in his panic.
0:45:59|0:46:15|Both of them were falling rapidly. In a moment of panic, [Ni Kongkong] found a way and struggled to slide towards [Hei Yu]. After many twists and turns, he finally managed to lie on [Hei Yu]'s back. With both hands tightly gripping [Hei Yu]'s wings, [Ni Kongkong] exerted all his strength to swing backwards, finally helping [Hei Yu] successfully spread his wings.
0:46:16|0:46:18|And he was also shaken away by the wings.
0:46:18|0:46:24|Fortunately, when falling, [Ni Kongkong] timely shot out a grappling hook, tethering himself to [Hei Yu]'s ankle.
0:46:24|0:46:29|After this move, the two have fallen from the clouds to the canyon below.
0:46:29|0:46:33|[Hei Yu], who had just gained control of his wings, was still practicing flying diligently.
0:46:34|0:46:54|Ni Kongkong was completely unaware that she was already in the midst of a hallucinatory and dangerous jungle. The jungle was extremely fantastical, filled with colorful bubbles everywhere. After passing through the jungle, Hei Yu suddenly realized that she was about to crash into the mountaintop, prompting her to fly up, but she still ended up crashing into a tree on the mountaintop. Fortunately, both of them were unharmed. After a fantastical night.
0:46:54|0:46:56|[Ni Kongkong] looks exhausted.
0:46:56|0:47:1|He set up a fire pit to rest on the side, while the newly grown wings of [Hei Yu] looked particularly spirited.
0:47:1|0:47:6|After a brief rest, they continued practicing flying in the air.
0:47:22|0:47:32|[Hei Yu] witnessed, grabbed the wine jug, took a big gulp and choked on it.
0:47:33|0:47:37|[Hei Yu] was so overwhelmed by the strong liquor that he couldn't speak for a long time.
0:47:37|0:47:40|He wiped his mouth and sat down on a rock next to [Ni Kongkong].
0:47:40|0:47:48|At this moment, [Ni Kongkong] also approached and took out the broken necklace from his pocket to hand it to [Hei Yu].
0:48:54|0:49:1|Ni Kongkong took out the box and shook it in his palm. Every time the box passed through the cracks in his palm, it would shine brightly.
0:49:59|0:50:5|[Hei Yu] hooked onto the belt of [Ni Kongkong] with a grappling hook, before he could react, he was already flying towards the cattle boat.
0:50:5|0:50:11|The next morning, [He Ying] asked [Ni Kongkong], where did those two fly off to again?
0:50:24|0:50:34|Just as [Ni Kongkong] was about to get angry, she was teased and signaled [He Ying] to be alive. A graceful figure with fluttering wings landed on the boat.
0:50:34|0:50:37|Originally, [Hei Yu] went to investigate and introduced the two of them.
0:50:44|0:50:47|Unknowingly, the small boat sailed into a mysterious cave.
0:50:47|0:50:52|The river flows through the narrow mountain cave, and the knight Ni Kongkong emerges from the cave with a strange wind.
0:50:52|0:50:58|As the group approached, they discovered a small island in the cave, where the people were living in peace and harmony, seemingly without any joy.
0:50:58|0:51:6|Simple instruments play lively music, the bonfire flickers, the beauty twists her waist, the strong men enjoy fine wine, people from all walks of life gather here.
0:51:12|0:51:14|Suddenly someone fell down the stairs.
0:51:45|0:51:48|The three of them started to act separately.
0:51:48|0:51:50|On the other side, inside the residence of [Jiang Chengzi].
0:51:54|0:51:57|[Hei Yu] took away a treasure.
0:52:8|0:52:19|At the same time, the underground casino was bustling with noise and excitement, but danger was quietly approaching.
0:52:19|0:52:22|The [Hei Yu] clan sent numerous [Fei Long] to cross the mountain caves and tunnels.
0:52:22|0:52:26|Ni Kongkong went straight to the underground cave at night.
0:52:26|0:52:30|The gamblers in the casino were cheering wildly, completely unaware of the impending threat.
0:52:37|0:52:41|The hot host of the casino announced the results of the gambling.
0:52:47|0:52:52|[Ni Kongkong], holding a glass of wine, somehow joined in as well.
0:52:52|0:52:56|[Ni Kongkong] saw the evil dragon through the stone window.
0:52:56|0:52:58|He was just teasing, but he was pulled back by someone.
0:53:1|0:53:4|After speaking, he looked up and shouted loudly.
0:53:4|0:53:7|Facing He Lu's questioning, [Hei Yu] turned around to leave.
0:53:25|0:53:34|Hei Yu kicked He Li away on the spot, He Li, unwilling to accept it, rushed up to fight back, but was kicked down again by Hei Yu. Ni Kongkong rushed over to stop He Li.
0:53:49|0:53:59|In the crowd, a beggar saw this scene, walked towards the outside, came to the corridor bridge, took out the cloth bag around his waist, and was pressed down by [Hei Yu] before he could open it.
0:53:59|0:54:8|[Hei Yu] snatched the cloth bag, and the pangolin knocked over the beggar. Then [Ni Kongkong] followed up with a stick, smashing him off the bridge.
0:54:8|0:54:11|Hei Yu walks over and steps on the beggar's chest.
0:54:11|0:54:15|[Hei Yu] leaped off the bridge and rolled up the beggar's sleeve, revealing strange tattoos inside.
0:54:23|0:54:27|Hei Yu finished speaking, stood up disdainfully.
0:54:27|0:54:29|[Ni Kongkong] walked over and separated the two confronting individuals.
0:54:31|0:54:39|Defiant [Ge Li] could only give up.
0:54:39|0:54:46|Behind the casino, there was a dark and damp dungeon with vines and rubble scattered around.
0:54:46|0:54:49|The monster's roar frightened [Hei Yu].
