0:1:7|0:1:12|The camera slowly pans across, the beautiful scenery of the water town unfolds like a scroll.
0:38:24|0:38:28|Disrupting the order of the venue.
0:38:38|0:38:41|Intense concentration on the Taoist art of Wang Zhao.
0:38:51|0:38:56|The matter ended unresolved like this, when Wang Zhao was having dinner at home, suddenly a visitor arrived.
0:39:58|0:40:2|After Meilian left, the old village chief began to consider this issue.
0:40:2|0:40:6|After the meeting, Wang Zhao has been waiting at the door for the village chief to come out.
0:40:9|0:40:15|The old village chief was rebuked into silence. In such a serious meeting with the provincial TV station's reporter present, he disrupted the order and tarnished the reputation of our village for the sake of his own fame and fortune.
0:40:45|0:40:53|The village chief vented all the grievances he had suffered from the director onto [Old Village Chief].
0:40:53|0:41:1|The village chief was momentarily unable to understand the mayor's emotions and the contrast in his attitude before and after.
0:41:1|0:41:4|[Wang Zhao] greeted everyone and then sat down next to the village chief's table.
0:41:21|0:41:34|Facing the visit of [Wang Zhao], the village chief had nothing good to say. This resentment was passed down level by level, and in the end, it all fell on [Wang Zhao], leaving him sitting there at a loss.
0:41:37|0:41:42|The village's recommended role model, Wang Zhao, ultimately ended up being shunned by everyone, taking small steps.
0:42:41|0:42:46|Even though even family members have started to take advantage of his giving up, for [Wang Zhao],
0:42:46|0:42:49|He couldn't swallow this grievance no matter what.
0:42:49|0:42:55|The next day, [Wang Zhao] arrived at the county and found the petition office, then resolutely walked in.
0:42:55|0:42:59|Arriving at the front desk of the petition office, he begins to inquire about the person on duty here.
0:44:7|0:44:12|Realizing that this was the only way, [Wang Zhao] did not dwell on it too much, turned around and sat in the back to start filling out the form.
0:44:12|0:44:20|During the process of filling out the form, another petitioner walked into the office.
0:44:20|0:44:30|Comrade Xiao Su took the materials, looked through them, and handed the empty form on the table to [Wang Zhao].
0:44:30|0:44:33|After filling out the form, [Wang Zhao] stood up and handed the form to the front desk.
0:44:36|0:44:45|He wanted to say something more, but he didn't want to trouble unrelated people, so he had to give up.
0:44:45|0:44:48|Sun Ming and his friends were discussing animatedly together.
0:44:51|0:44:53|At this moment, [Wang Zhao] appeared.
0:44:53|0:44:57|Hearing her husband being talked about like that by others, [Wang Zhao] felt very uncomfortable, but there was nothing she could do.
0:45:19|0:45:26|The landlady turned around and brought the goods to the table.
0:45:26|0:45:30|[Mary] counted out enough money from her hand and handed it to the landlady.
0:45:30|0:45:37|It seems like nothing happened just now, [Mei Lian] doesn't want to talk about it too much.
0:45:37|0:45:44|Wang Zhao has been particularly concerned about the outcome of her petition recently. A few days later, she went to the current petition office again to inquire about the situation.
0:46:49|0:46:52|The people in the office do have a point in saying this.
0:46:52|0:46:55|[Wang Zhao] left in disappointment once again.
0:46:55|0:46:59|Back in the village, [Wang Zhao] always seemed gloomy, not sure if it was just a misconception.
0:46:59|0:47:3|The way the villagers greet him is also different from before.
0:47:8|0:47:11|Almost everyone had some criticisms about his previous actions.
0:47:11|0:47:21|At that moment, he became the opportunist who chased after profit and had low ideological consciousness.
0:47:21|0:47:26|At the street corner, he encountered those villagers who loved to gossip again.
0:47:37|0:47:54|[Wang Zhao] once again came to the county to inquire about his own affairs.
0:47:54|0:47:58|This time he finally got a response, and he happily went home to wait for further instructions.
0:47:58|0:48:3|At home eating dinner, [Wang Zhao] seemed to be in a much better mood, as he would soon be able to meet the leader.
0:48:3|0:48:6|At this moment, Wang Zhao's wife [Melian] walked over with a tray of food.
0:48:15|0:48:22|Say it, [Melian] finished cleaning up the empty bowls and left. She gradually lost interest in [Wang Zhao]'s affairs.
0:48:22|0:48:25|She simply didn't believe that the leader would eventually meet with [Wang Zhao].
0:48:25|0:48:30|[Wang Zhao] seemed to have noticed something unusual, but she still chose to trust the leader.
0:48:30|0:48:38|Time passed day after day, and [Wang Zhao] still sat at the door, eagerly waiting for the notification that may or may not come.
0:48:54|0:48:58|On this scorching summer day, the anger within [Wang Zhao]'s heart is constantly being provoked.
0:48:58|0:49:11|The next day, in the office, [Wang Zhao] once again arrived at the petition office, but today the receptionist had changed.
0:49:39|0:49:41|He had no choice but to find another way.
0:52:9|0:52:19|Finally, [Wang Zhao], in a great mood after finally catching a leader at the government entrance, went home and even listened to a play.
0:52:19|0:52:23|Speak up, [Wang Zhao] sat aside, picked up the chopsticks and started eating silently.
0:52:44|0:52:51|After listening to what [Wang Zhao] said, the atmosphere at the dining table began to become awkward and heavy.
0:52:51|0:52:59|The words of Mei Lian seemed to awaken [Wang Zhao], when will this verbal promise finally be fulfilled?
0:52:59|0:53:7|These days, [Wang Zhao] lives and works as usual, spraying pesticides on crops during the day and catching fish in the evening.
0:53:7|0:53:10|Unlike before, he became burdened with heavy thoughts about China and Japan.
0:53:12|0:53:18|But after days of constant contemplation and consideration, [Wang Zhao] had already made a decision in his heart.
0:53:18|0:53:29|At the dining table, [Wang Zhao] and his wife Meilian were always silent. He took a big sip of the porridge on the table, then turned to Meilian sitting beside him after putting down his chopsticks.
0:53:33|0:53:42|Mellian sighed deeply upon hearing this, but no matter what, she still supported her husband's decision, hoping that this matter would ultimately have a good outcome.
0:53:42|0:53:49|At night, Wang Zhao's wife Meilian prepared the luggage he needed to bring to the county.
0:53:49|0:53:53|[Wang Zhao] has made up his mind this time, determined to get justice for himself.
0:53:53|0:53:56|The two of them packed their luggage in silence.
0:53:56|0:53:59|All preparations in place, [Wang Zhao] bid farewell to his wife solemnly.
0:54:6|0:54:14|Speak, [Wang Zhao] then turned and walked out the door, firmly setting foot on the path ahead.
0:54:14|0:54:23|The next morning, [Wang Zhao] stood at the county government's gate with his luggage, watching one person after another coming in and out.
0:54:23|0:54:27|Wang Zhao was basically ignored by everyone, as they were all busy with their own affairs.
0:55:22|0:55:27|Having failed to get any answers, Wang Zhao was eventually driven away by the security guards, leaving him with no choice but to retreat to a distance in despair.
0:55:27|0:55:33|The vehicles on the street were coming and going, and the roaring horns drowned out his petition.
0:55:33|0:55:41|In front of the grand government gate, [Wang Zhao] appeared particularly small and helpless, sitting quietly by the flower bed, waiting.
0:55:41|0:55:43|Suddenly, he spotted a familiar figure.
0:55:50|0:55:55|[Wang Zhao] quickly caught up, but the other party showed no intention of stopping at all.
0:55:55|0:55:56|The next morning.
0:56:3|0:56:16|Wang Zhao, being looked at coldly by the security guard, could only turn around and leave dejectedly once again. He dragged his weary feet up the stone steps by the roadside, sat down cross-legged, wondering if this would be another fruitless day.
0:56:16|0:56:25|And at that moment, a familiar figure drove towards the gate. [Wang Zhao] looked up and recognized the person as the leader Li who had promised to help him before.
0:56:47|0:56:53|Upon hearing the phrase "wait for notification," he had already heard it countless times. Can this so-called notification really be awaited?
0:56:53|0:56:57|At night, [Wang Zhao] returned to the rental house he was staying in to rest.
0:56:57|0:57:6|In the room is a large bunk bed where three people sleep, the environment is extremely bad. He lies on the bed and can't fall asleep, thinking about what happened during the day.
0:57:6|0:57:10|With the continuous snoring of the person in the same bunk, he could only sit up.
0:57:10|0:57:14|The next morning, [Wang Zhao] was still sitting in front of the government office as usual.
0:57:15|0:57:22|When Leader Li rode by this time, he didn't even acknowledge him. He could only stare blankly at the back of the leader as he left.
0:57:22|0:57:26|Back at the rental house, even the neighbors started to show concern for him.
0:57:50|0:57:58|The lease for the house expired at this time, and [Wang Zhao] was forced into a corner. However, he did not give up and still sat outside the government office every morning.
0:57:58|0:58:3|At this moment, Leader Li rode by on his bike and saw Wang Zhao sitting on the side of the road with her head down.
0:58:3|0:58:10|For some reason, Leader Li turned back with his bicycle and greeted [Wang Zhao].
0:58:32|0:58:40|After a long wait, [Wang Zhao] finally followed Leader Li into the county government, marking his first time entering the government's doors.
0:58:40|0:58:46|In the office, Leader Li took out a certificate of honor from the cabinet and handed it to [Wang Zhao] sitting beside him.
0:58:58|0:58:59|[Wang Zhao] happily returned home.
0:59:14|0:59:19|At the dining table, [Wang Zhao] placed the certificate beside him and enjoyed it while drinking.
0:59:19|0:59:32|Looking at this hard-earned honor, [Wang Zhao] couldn't help but smile with joy.
0:59:32|0:59:36|Mellian wiped her hands with [Wang Zhao]'s towel.
0:59:36|0:59:42|She took the certificate as if it were a treasure, carefully admiring the cover before flipping it open and reading it word by word.
1:0:1|1:0:13|Melian looked at the certificate with joy, but soon her brows furrowed. She stood up, brought the certificate closer to the lamp above her head, in order to better examine its peculiarities.
1:0:24|1:0:29|Huang Zhao, with the certificate in hand, proudly walked out the door with his hands behind his back, thinking he could show off a bit.
1:0:29|1:0:34|He first went to the house of the old village chief and told the village chief the good news.
1:1:10|1:1:18|The village chief watched as [Wang Zhao] left with satisfaction, sighed deeply, and then [Wang Zhao] went to the mahjong place.
1:1:35|1:1:38|The crowd gathered together, examining Wang Zhao's certificate of honor.
1:2:5|1:2:18|During the meal the next day, he continued to hold the certificate and look at it non-stop. Suddenly, Wang Zhao heard the broadcast outside, so he put down his chopsticks and planned to leave.
1:2:28|1:2:32|[Wang Zhao] happily walked out of the door, in the village committee, everyone sat together preparing for a meeting.
1:3:42|1:3:47|The situation seemed to have come to an end, and life returned to its former calmness.
1:3:47|1:3:54|[Wang Zhao] as usual, went out fishing by boat. He used a pole to push the boat away from the small dock in front of his house.
1:3:54|1:3:59|He started a day of work according to his usual routine, just like every year at this time.
1:4:12|1:4:19|After Meilian finished speaking and turned to go home, ending a day's work, [Wang Zhao] went to the village store to buy wine.
1:4:19|1:4:23|The villagers started to discuss animatedly after [Wang Zhao] left.
1:4:44|1:4:48|When Wang Zhao returned home, a group of children followed noisily.
1:5:16|1:5:23|Wang Zhao was furious when he heard this.
1:5:23|1:5:26|He could feel that the villagers still had opinions about him.
1:5:26|1:5:32|After much deliberation, Wang Zhao went straight to the village chief's house to demand an explanation, holding a newly purchased bottle of wine in his hand.
1:6:29|1:6:39|The village chief's attitude towards [Wang Zhao] has also changed. He angrily returned home and took out his certificate to carefully verify it.
1:6:39|1:6:42|Opening the certificate, it was indeed as the village chief had said.
1:6:42|1:6:48|There is no stamp on the certificate, a sense of being mocked and humiliated suddenly surges in [Wang Zhao]'s heart.
1:6:51|1:6:56|He angrily threw the certificate on the ground, but no matter how hard he threw, it couldn't solve his problem.
1:6:56|1:7:1|The old village chief rushed over upon hearing the news, only to find Wang Zhao and his wife sitting inside the house with worried expressions on their faces.
1:9:9|1:9:19|At this point, with Wang Zhao's stubborn temper, the old village chief couldn't persuade him. Frustrated, the old village chief left. The next day, Wang Zhao went to find a lawyer.
1:9:36|1:9:40|After listening, [Wang Zhao] began to lower his head and rummage through the bag.
1:9:40|1:9:42|He first took out a stack of coins, counted them, and found there were only three hundred.
1:10:0|1:10:9|He then started to search for change in his pockets, first in his pants pockets and then in his jacket pockets. But no matter how he counted, he only had a little over three hundred.
1:10:9|1:10:14|Faced with this situation, [Wang Zhao] could only tell the truth.
1:10:21|1:10:33|This way, he put all his money in the lawyer's hands. When he went home, he didn't even have any change to take a cab, so he had to walk home.
1:10:37|1:10:44|The road ahead is long, but [Wang Zhao]'s steps are firm and resolute, believing that he has done the right thing.
1:10:49|1:10:56|Night falls, Wang Zhao dragged his weary body into the door, where his wife Meilian was waiting for him.
1:11:11|1:11:18|Mellian helped [Wang Zhao] lie down slowly on the bed, then picked up the fan next to her and started fanning.
1:11:18|1:11:36|Mellian busied herself while sitting on the edge of the bed, asking about Wang Zhao's day.
1:11:36|1:11:38|[Wang Zhao] turned his head away, unwilling to speak.
1:11:56|1:12:7|[Wang Zhao] was also very angry, picked up the pillow and threw it out.
1:12:28|1:12:37|Every year he leaves like this. The next day, the lawyer and the village chief brought a group of villagers to the village committee. Along the way, everyone was talking and discussing, not knowing what it was about.
1:13:13|1:13:20|Lawyer Yang began to question the villagers one by one about some trivial matters regarding [Wang Zhao], while the others waited outside.
1:13:42|1:13:44|The lawyer nodded after listening.
1:13:44|1:13:47|The village chief, anxious outside, prioritized letting in a person who had received favor from [Wang Zhao].
1:14:35|1:14:42|After asking the villagers, Lawyer Yang went to the county government and inquired about Director Li who had issued the certificate to [Wang Zhao].
1:14:42|1:14:46|Leader Li pushed the door open and sat down across from [Wang Zhao] with a calm expression.
1:15:3|1:15:6|Later, he also inquired about the county government leader who had previously revoked Wang Zhao's model citizen status.
1:16:29|1:16:32|After a fruitless inquiry, [Wang Zhao] had to return to the law firm.
1:17:34|1:17:39|After leaving the law firm, [Wang Zhao] began to consider his next plan.
1:17:41|1:17:50|It's no longer just a simple certificate, but a way to seek an explanation for the humiliation endured for such a long time.
1:17:50|1:17:53|Back in the village, [Wang Zhao] started shuttling between households.
1:18:6|1:18:12|The first person they found was Xingye, and the two of them entered the house together.
1:18:12|1:18:20|Hoshino carefully examines the document in his hand, which is a joint application form that Wang Zhao wants to submit.
1:18:21|1:18:27|[Wang Zhao] took out the seal and had Xingye press his fingerprint, but at that moment, Xingye's wife walked in.
1:18:41|1:19:2|[Wang Zhao] left the Xinye family and started traveling on the road again, searching for his next witness. He walked on foot along the rural road to the neighboring village, and this perseverance and determination could not be stopped by anyone.
1:19:2|1:19:9|[Wang Zhao] found the second person willing to prove himself for him, and after arriving at the Da Yong family, he successfully stamped his hand.
1:19:9|1:19:11|Upon completion, [Wang Zhao] gladly took over.
1:19:22|1:19:33|Even after experiencing so much, there are still people willing to testify for [Wang Zhao], but the long period of running around and traveling, even with a strong will, is hard for the body to bear.
1:19:33|1:19:38|No matter how difficult it was, [Wang Zhao] gritted her teeth and made it through. By the time she found the third house, it was already evening.
1:19:46|1:19:48|However, Wang Zhao could only give up in vain.
1:19:51|1:19:58|Returning empty-handed, [Wang Zhao] had no choice but to go to the fourth house. Despite being exhausted, he continued to move forward in the darkness of the night.
1:19:58|1:20:3|Upon arriving at the door, it was already late at night. Uncertain if the owner was asleep, he approached and knocked on the door.
1:20:12|1:20:16|The lights came on in the room, but the people inside remained silent for a long time.
1:20:16|1:20:19|[Wang Zhao] was rejected once again, after all, it was late at night.
1:20:38|1:20:39|Outside the county government office.
1:21:34|1:21:36|A boating accident occurred.
1:21:57|1:22:0|Finally, [Wang Zhao] met the county magistrate, but the villagers still did not welcome him.
1:22:19|1:22:22|He could only smile awkwardly before turning around and leaving.
1:22:22|1:22:29|On the way home, [Wang Zhao] once again encountered the person who claimed to be Jia Zhengshu's child before. Even when meeting the county magistrate, it seemed that nothing had changed.
1:22:35|1:22:42|The prejudice in one's heart is said to be a huge mountain, but [Wang Zhao] just can't seem to climb over it.
1:22:42|1:22:47|Even if you wear out an iron shoe and spend all your wealth, you still can't buy back the respect others have for you.
1:22:47|1:22:54|He used to say that the problem was not difficult to solve, but now it seems that changing others' opinions is as difficult as reaching the sky.
1:22:57|1:23:1|The village chief, upon seeing the situation, turned around and began searching for Wang Zhao's files in the cabinet.
1:23:1|1:23:7|After taking out the documents, he cleared his throat and began to read aloud.
1:24:19|1:24:22|Wang Zhao did not go to the villagers' meeting, but went back to her own home.
