0:1:27|0:1:31|In the sky above the city, a group of white doves flies by, marking the beginning of the film.
0:5:31|0:5:35|The police officer Chen, who came to take over the job, stood with his hands on his hips.
0:5:40|0:5:42|He waved at [Qiu Le], who was looking at the corpse.
0:6:32|0:6:49|[Fei Xin] turned around, looked at the deceased's husband who was asking questions, then turned back and waved to the subordinate behind Officer Chen, signaling him to come over.
0:6:49|0:6:50|Fei Xin later pushed his subordinates into the shadow pool.
0:7:1|0:7:23|Fei Xin splashed around in the pool a couple of times before realizing the water only reached his waist. He walked up to Officer Chen, then went over to pat the deceased's husband and took an envelope from his pocket. Officer Chen took the envelope from Fei Xin's hand, who then walked over to the still crying family members.
0:7:31|0:7:33|The man questioned by [Fei Xin] clearly froze.
0:7:35|0:7:40|Speak up, the man actually wanted to attack the deceased's husband, [Fei Xin] shook his head with a smile.
0:7:45|0:7:47|Fei Xin opens his arms wide and gestures.
0:7:49|0:7:51|Qiu Le nodded and said a few words.
0:7:55|0:8:14|Qiu Le got up to leave, with his subordinate who was explaining the situation following behind him with a smile, but he was grabbed by Officer Chen by the collar.
0:8:14|0:8:23|The scene shifts to a flashback, a thief is running wildly on the street, and [Qiu Le], wearing a tank top and floral shorts, sees the danger, swings his arms and starts running, while the police shout for him to stop.
0:8:25|0:8:48|[Qiu Le] just passed the police, then slowed down to draw the gun at his waist. With one shot, he hit the thief's leg. The thief covered his leg, and the scene shifted to another action. A team of police officers were approaching cautiously along the wall with their guns raised, while on the other side, another team was also ready to surround the abandoned building. Everyone crouched down.
0:8:48|0:8:51|Trying not to make too much noise, afraid of alerting the criminals inside.
0:8:55|0:8:59|Suddenly, a car drove up and [Qiu Le] got out of the car and closed the door.
0:9:2|0:9:6|He then raised his index finger and proceeded to pull out the gun from his waist and load it.
0:9:6|0:9:9|Colleagues saw that he had already moved forward, so they could only grit their teeth and follow.
0:9:9|0:9:14|Unexpectedly, as soon as [Qiu Le] walked in, he encountered the ambush set up by the guards.
0:9:14|0:9:15|He only noticed when he turned around.
0:9:21|0:9:24|A hand is flipping through photos of [Qiu Le]'s swollen face from the injury.
0:9:41|0:9:44|[Niu Jieshi] took the documents and handed them to the superior officer, while looking at his colleague.
0:9:44|0:9:56|[Qiu Le] held a document with a big title that read "termination order." Due to his impulsive personality, which caused too many unnecessary casualties, he was stripped of his police officer status.
0:9:56|0:10:2|[Qiu Le] left the police station with a newly received birthday gift in one hand, a plush bear, and a cardboard box in the other.
0:10:4|0:10:10|The scene cuts to [Fei Xin], who has rushed to the hospital and is now sitting outside the delivery room waiting.
0:10:10|0:10:16|Amidst the hustle and bustle around him, he maintained the same posture until a nurse pushed a cart over.
0:10:21|0:10:30|In Fei Xin's perspective, the nurse's eyes that were revealed were staring at him fiercely, and the surgical knives on the cart were also pointing towards him.
0:10:30|0:10:38|As the cart approached, [Fei Xin] leaned back in fear. The nurse, however, turned the corner and looked at the nurse who had just called her name before turning away, muttering softly to herself.
0:10:43|0:10:51|After shouting, [Fei Xin] took a deep breath, looked at the sign of the delivery room for a few seconds, and instead of walking towards it, turned around and left.
0:10:51|0:11:2|He arrived at the underground parking lot, walking under the dim lights. Suddenly, a car with its headlights on stopped in front of him. The bright lights dazzled him, so he raised his hand and turned his body to look over, only to see a short-haired beauty getting out of the car.
0:11:3|0:11:8|He walked towards the beauty, put down the beauty's car, and brushed past her.
0:11:8|0:11:14|The man in the driver's seat, wearing sunglasses, exchanged a glance with [Qiu Le] before seeing the car drive away as much as possible.
0:11:14|0:11:19|The short-haired beauty smiled at [Qu Jian], who walked up to her and spoke.
0:11:22|0:11:27|[Qu Jian] nodded, tightened his hands, and held the car keys in his hands.
0:11:34|0:11:47|[Qu Jian] nodded, and the short-haired beauty looked at him, breaking the silence.
0:11:47|0:11:51|[Ou Jian] nodded and transferred the car keys to the other hand.
0:11:51|0:11:57|The scene cuts to indoors, where a short-haired beauty enters carrying a basket of flowers.
0:11:57|0:11:59|Shen Jiamei walks to the changing table.
0:12:12|0:12:16|Shen Jiamei looked around the room, thought for a moment, then turned around and asked.
0:12:19|0:12:23|[Nan Fang] put away his smile, pursed his lips, lowered his head and sighed.
0:12:39|0:12:44|[Nan Fang] thought for a moment, seeming to confirm, then pursed his lips. The scene shifted to [Fei Xin].
0:12:44|0:12:49|He walked quickly into the restaurant and brushed past a man, looking puzzled for a moment.
0:12:49|0:12:53|But he did not linger too long and continued to walk in.
0:12:53|0:12:56|Glancing at [Qiu Le], he sat down at the door.
0:12:56|0:13:0|[Qiu Le] was looking at his phone and drinking cola, then he put down the cup and asked.
0:13:2|0:13:6|[Fei Xin] responded with a fork in hand.
0:14:21|0:14:29|After they got married, her husband pursued her, but then he started to become increasingly indifferent towards her.
0:14:44|0:14:45|Nervous at the scene of the crime.
0:14:51|0:15:3|Turning his head, the two had finished their meal. [Qiu Le] sat on a chair while [Fei Xin] picked up a ping pong paddle, pausing to catch his breath before setting it down and speaking.
0:15:3|0:15:9|[Fei Xin] also walked to the chair and sat down, picked up the wine on the table and took a big gulp, then turned to ask.
0:15:16|0:15:21|The dog at home hung its head as if drunk.
0:15:21|0:15:25|The door slowly opens, revealing [Qu Jian] peeking out, with people outside the door.
0:15:28|0:15:33|[Ou Jian] took the document bag handed over by the delivery man and watched him leave before closing the door.
0:15:56|0:15:58|[Ou Jian] saw the news report on TV.
0:15:58|0:16:6|Hastily opening the document bag, Fei Xin took out the insurance policy inside and flipped through a few pages. At the bottom, the name of the beneficiary was written as his own.
0:16:6|0:16:12|He thought for a moment, raised his head and looked towards the direction of the bedroom, the scene shifted to the bedroom.
0:16:12|0:16:20|[Ou Jian] stood at the dark doorway for a while before walking inside. Inside, the man was sitting on the bed, holding the baby.
0:16:20|0:16:23|Passing by the window, his figure darkened due to the backlight.
0:16:26|0:16:34|[Nan Fang] heard a voice, turned around, smiled at him, looked at the baby in his arms, then stood up, put the baby back on the changing table, and sat down again.
0:16:38|0:16:47|[Ou Jian] turned his head away.
0:16:47|0:16:48|He turned around.
0:16:53|0:16:56|[Nan Fang] widened his eyes, pulled the corners of his mouth, and Ou Jian spoke again.
0:16:59|0:17:3|[Nan Fang] didn't know how to respond, so he lowered his head, but Ou Jian continued speaking.
0:17:22|0:17:28|[Nan Fang] finished speaking with a hand on his waist, and Ou Jian, after listening to his explanation, turned his head and took a deep breath.
0:17:39|0:17:46|[Nan Fang] looked up at her husband, waiting for his reaction, but he just turned his head slightly and said nothing.
0:17:46|0:17:47|[Nan Fang] pursed his lips and said.
0:17:52|0:17:56|After speaking, she lifted the diaper with one hand and exerted force to support herself to stand up.
0:17:56|0:18:3|And Ou Jian still maintained a sideways posture, not looking at her, just silently turned his head and sighed.
0:18:3|0:18:14|Passing by Ou Jian, [Nan Fang] glanced at him and then walked towards the restroom with a hand on his waist.
0:18:14|0:18:19|Sensing Nan Fang's departure, Ou Jian finally turned his head and looked at Nan Fang's back.
0:18:32|0:18:41|He then put down his phone, turned around and looked through the blinds at [Qu Jian] outside. At that moment, [Qu Jian] was standing near the changing table, gazing at the child in the wall.
0:18:44|0:19:5|The child opened his mouth and looked at him. [Qu Jian] reached out his hand, stopped just before getting close to the child's face, paused for a moment, then looked up at the bathroom. He then clenched his fist next to the changing table, and the man behind the bathroom window saw this scene and pressed the flush button on the toilet.
0:19:42|0:19:59|Next, the next Korean client took out a gun and placed it on the table, while two burly men also pulled out their guns. The newly added dog pushed them away forcefully, and the client began to speak.
0:20:22|0:20:32|The scene shifts to the trading scene, hello, the leader of the Tai Palace with her hands clasped together, the traitor in the client's mouth has the same face as [Qiu Le].
0:20:45|0:21:1|Trading begins inside the building, Tai Fang opens the money bag, while the other side opens the bag to reveal toy guns. Both sides immediately raise their guns and confront each other. The traitor outside takes out a phone, ignites an explosion, and ends up running away with the money and guns. What a bastard.
0:21:10|0:21:19|The customer leaned forward to take off his glasses, then put them back on. Across from him, [Fei Xin] quickly took off his sunglasses, and couldn't help but laugh when he saw clearly.
0:22:1|0:22:3|Xuan Bing said.
0:22:7|0:22:8|The customer said.
0:22:16|0:22:18|Later, [Qu Jian] walked in.
0:22:37|0:22:39|[Fei Xin] got up and took the letter.
0:22:46|0:22:50|[Fei Xin] lowered his head and walked out with the letter, waving his hand and putting on sunglasses.
0:22:50|0:22:56|Soon, the two of them arrived at a café and leaned against the door frame to take a look.
0:22:56|0:23:2|At this moment, the man with glasses is sitting with his head down, while [Fei Xin] is walking ahead and greeting.
0:23:9|0:23:10|Qiu Le leaned in and asked.
0:23:14|0:23:16|[Nan Fang] watches as the two whisper to each other.
0:23:27|0:23:28|The waiter approached and inquired.
0:23:32|0:23:34|[Fei Xin] finished speaking before turning to ask [Qiu Le] for his opinion.
0:23:34|0:23:38|[Qiu Le] has finished signing, taking the photo handed over by [Nan Fang], causing a sigh from [Fei Xin].
0:23:43|0:23:47|[Qiu Le] looked at [Nan Fang], who awkwardly touched his neck, and [Fei Xin] asked.
0:23:51|0:23:54|[Nan Fang] raised the hand next to his neck and took off his glasses.
0:24:11|0:24:14|Bei Xing held the ice just pulled out and brought over the coffee.
0:24:39|0:24:41|Fei Xin takes down the paper and puts it on the table.
0:24:44|0:24:48|[Nan Fang] picked up the paper and glanced at it, while [Fei Xin] gestured to [Qiu Le].
0:24:51|0:25:0|[Qiu Le] took out a book from his pocket, [Fei Xin] took it and then handed a pen to [Nan Fang].
0:25:0|0:25:2|[Nan Fang] took the book and pen.
0:25:14|0:25:21|[Nan Fang] nodded awkwardly, then wrote on the rabbit card as requested, signed his name, and said as he closed the pen cap.
0:25:31|0:25:33|[Fei Xin] handed the book to [Qiu Le] and smiled.
0:25:43|0:25:49|[Qu Jian] put on his glasses and smiled as he watched the two of them leave, but the smile disappeared from his face afterwards.
0:25:49|0:25:52|The scene then shifts to an alleyway.
0:25:52|0:25:56|The alley is located in Nan Cun, Ping'an Yicun, No. 27 Changbao Third Road.
0:25:56|0:26:2|As the girl riding an electric bike drove out of the intersection, it can be seen that [Nan Fang] has just arrived here.
0:26:2|0:26:5|She arrived at a household, where two door gods' portraits were still pasted on the glass door.
0:26:7|0:26:12|He gently closed the door, then slowly turned around, illuminating everything in the room.
0:26:12|0:26:18|In the not-so-large living room, there is a portrait of a woman on the table directly facing the door.
0:26:18|0:26:29|[Nan Fang] looked at the memorial for a moment, lowered his head, picked up the photo frame on the table. In the frame, he and [Ou Jian] were holding hands and facing the camera, with the words "National Special" visible in the background.
0:26:29|0:26:30|His thoughts were pulled back to the past.
0:26:32|0:26:37|It was when he was in South Korea, walking with his head down and carrying a bag in the snow.
0:26:37|0:26:42|On the closed roller shutter door by the roadside, there are three large posters of Ou Jian.
0:26:42|0:26:47|He stopped and looked at the poster, with snow falling continuously beside him.
0:26:47|0:26:51|One shines brightly on the world stage, while the other coolsly enters prison.
0:26:51|0:26:57|Tesla stepped on the snow, the surroundings were eerily quiet, only the sound of the wind echoing past.
0:26:57|0:27:6|After the screen fades to black, it cuts to a cemetery. Tesla is standing in front of a tombstone that reads "Xie Shijun, born on October 17, 1953, passed away on June 18, 2013."
0:27:10|0:27:14|The photo on the tombstone is the same as the woman on the tombstone.
0:27:14|0:27:19|In the middle of the graveyard surrounded by trees, Tesla's tears fell silently.
0:27:19|0:27:24|She remembered her days in prison, the scene shifted to the cold prison.
0:27:24|0:27:28|Tesla sat against the wall with a bandage on his forehead.
0:27:28|0:27:31|Not long ago, [Shen Jiamei] rose from the bathhouse, and there were already people standing outside the pool.
0:27:32|0:27:40|One person smashed a basin towards her, the person behind caught her as she fell, and pushed her forward again, her head engraved on the edge of the pool.
0:27:40|0:27:46|One person grabbed her hair, but she used both hands to pull the person's neck and dragged him into the pool.
0:27:46|0:27:50|Then she pressed with one hand and ruthlessly pounded down with the other hand fist by fist.
0:27:51|0:27:59|The person broke free, and someone outside the pool grabbed [Tesla] from behind, raising the other hand to stab him with a pen.
0:28:9|0:28:14|Then he pushed the other person's head against the wall and fiercely smashed it into the wall.
0:28:14|0:28:21|At this moment, a burly man rushed over and grabbed [Tesla] from behind, while another companion came up and punched him in the abdomen.
0:28:21|0:28:28|But just as the attack came, [Tesla] threw off the strong man behind him, swinging his fist to knock down the person who was hitting him.
0:28:28|0:28:36|He squatted down to continue fighting, and the burly man who had just been thrown off came forward again to grab him, but he pushed back hard with his head, causing the man to fall down in pain.
0:28:36|0:28:44|Then [Tesla] with his own and someone else's blood on his face, once again squatted down and collapsed on the ground.
0:28:44|0:28:51|The memory ended, [Tesla] took out a photo while walking, lit it with a lighter, and then threw it on the ground.
0:28:51|0:28:57|The scene shifts to [Fei Xin] and [Qiu Le], who are sitting in a large company waiting for an interview.
0:29:22|0:29:30|[Qiu Le] turned back and leaned in again. [Fei Xin] turned around impatiently and asked.
0:29:30|0:29:33|[Qiu Le] awkwardly stroked his chin, while [Fei Xin] began to speak.
0:29:56|0:29:58|Fei Xin snapped his fingers.
0:30:14|0:30:20|The person at the same table gratefully shook hands and was about to follow the HR, [Qiu Le] moved the chair slightly to let him pass.
0:30:20|0:30:26|In the office at this moment, [Fei Xin] spoke with a mouthful of food, picked up a teacup, choked a bit, and looked up.
0:30:52|0:30:55|[Ou Jian] smiled and turned his head, then looked at him again.
0:31:9|0:31:13|[Ou Jian] tilted his head to one side, muttering under his breath in silence.
0:31:13|0:31:18|After work, [Qu Jian] arrived at the gym, and the tracking of [Fei Xin] continued.
0:31:18|0:31:22|Fei Xin is seen standing on his head, with blood already rushing to his head.
0:31:26|0:31:31|Over there, [Qu Jian] is giving a massage to a plump beauty, occasionally stealing glances at her.
0:31:31|0:31:35|Over here, [Fei Xin] can no longer hold on and puts his leg down.
0:31:35|0:31:38|Over there, [Qu Jian] has already started practicing boxing.
0:31:38|0:31:41|[Fei Xin] and [Qiu Le] are struggling to lift their legs.
0:31:41|0:31:47|[Fei Xin] is observing [Qu Jian] closely, as they engage in their final training.
0:31:47|0:31:51|[Fei Xin] stared at [Qu Jian] who was practicing boxing without taking his eyes off his partner's buttocks.
0:31:52|0:31:58|Just now, Fei Xin, who had been secretly watching the voluptuous beauty of Ou Jian, saw the fierceness of Ou Jian's boxing, smirked, and then turned and walked away.
0:31:58|0:32:5|After finishing his workout, Fei Xin changed back into his suit and walked into the elevator. Just as the elevator doors were about to close, they were stopped by a hand.
0:32:5|0:32:10|Previously in the parking lot, after [Shen Jiamei]'s man walked in, Ou Jian glanced at him and pressed the close button again.
0:32:11|0:32:26|The elevator doors closed, and Fei Xin and Qiu Le stood side by side. Ou Jian touched his face, his hand dropping unnaturally, remembering how this man had been staring at him while driving, the surgical knife on the cart in the hospital, and the car that had crashed in front of him on the road.
0:32:27|0:32:41|At this moment, [Shen Jiamei]'s man reached for his waist, and Ou Jian immediately reacted by placing one hand on his chest and pushing him up, causing a bunch of keys to fall to the ground. The man leaned against the elevator wall, and a gun also fell out from his waist.
0:32:41|0:32:48|Ou Jian looked down and, taking advantage of this opening, the man immediately pushed Ou Jian back and threw a punch.
0:32:48|0:32:52|But Ou Jian immediately reacted and fought back, knocking the man down to the ground.
0:32:52|0:32:58|The elevator reached the floor, [Qu Jian] quickly walked out of the elevator, the man sat on the ground panting, putting on sunglasses.
0:32:58|0:33:5|Soon after, at the exit of the parking lot, [Fei Xin] saw [Qu Jian] driving out and parked in front of him.
0:33:14|0:33:16|And so, the two of them lost track of each other.
0:33:16|0:33:19|The scene shifts to nighttime, inside a bar, where the customers are chatting.
0:33:44|0:33:50|[Ou Jian] took a sip of wine, loosened his tie, and his friend next to him wearing a hat took out a stack of papers from his back pocket and handed it to him.
0:33:59|0:34:1|The other party sighed.
0:34:2|0:34:3|[Ou Jian] looked up at him.
0:34:11|0:34:17|Fei Xin's friend's phone rang, and he raised his hand to pick up the phone.
0:34:29|0:34:38|[Qu Jian] looked at the call records on the paper, noticed what he said, raised his head, and stared at his mouth opening and closing in contemplation.
0:34:38|0:34:50|After finishing the call, [Qu Jian]’s phone rang. He picked it up and saw it was a call from a man, then hung up and stared at his friend until the friend noticed his gaze.
0:34:58|0:35:2|A friend patted his arm, but he remained motionless.
0:35:15|0:35:19|Before the friend could speak, they were hit on the head by someone.
0:35:33|0:35:37|[Ou Jian] pulled his friend to run outside, but was entangled by several people.
0:35:37|0:35:42|The scene shifts to an electronics store, where [Fei Xin] walks in and the boss asks.
0:35:45|0:35:51|Various high-end tech products are displayed on the shelves, with [Tesla] squatting in front of a row of shelves picking out items.
0:35:51|0:35:58|He came to another monitor, his face appeared on the screen, then he went to another store.
0:35:58|0:36:3|The shop was dimly lit at night, with the faint light shining on his face as he asked the owner at the table.
0:36:13|0:36:20|The boss took a laptop from the shelf next to him and handed it to Fei Xin. After a brief glance, Fei Xin left.
0:36:20|0:36:26|In the alley next to the Electronic City, an electric bike drives by, with [Tesla] standing against the wall talking on the phone.
0:36:26|0:36:41|Next, he hung up the phone and got into a van, opened the computer he just received, with his photo on the left side of the screen and started matching on the right side. Several photos of men and women flashed by, until finally [Qiu Le]'s photo appeared, with a surprising similarity of 98%.
0:36:43|0:36:49|Next, [Tesla] came to the bathroom, took off his glasses in front of the mirror, and placed them on the washbasin.
0:36:49|0:36:56|Then she picked up the comb and hair dye next to her, squeezed the dye onto the comb, and started dyeing her own hair.
0:36:56|0:37:0|[Tesla] has a lot of white hair, while [Qiu Le] still has all black hair.
0:37:0|0:37:8|He took the hair dye and combed it back one by one, and then picked up the eyebrow pencil to touch up his eyebrows.
0:37:12|0:37:18|The scene changes to the front desk of a hotel, where a hand places [Qiu Le]'s ID card.
0:37:18|0:37:22|The receptionist took it and glanced at it, then looked at the ID card, smiling.
0:37:28|0:37:30|The receptionist walks to the side.
0:37:30|0:37:34|The person standing in front of the counter is none other than [Tesla], who looks exactly like [Qiu Le].
0:37:34|0:37:39|He is wearing a checkered shirt, carrying a bag and luggage, and opening a door to a room.
0:37:39|0:37:43|The camera cuts to [Nan Fang]'s home, where he is sitting on the sofa reading a book.
0:37:43|0:37:50|Outside the glass window, Ou Jian just arrived at the door and opened it. [Nan Fang] looked up and set the book in his hand aside.
0:37:50|0:37:53|Just as he was about to take off his glasses, his hand hesitated for a moment.
0:37:54|0:37:59|He took off his glasses and stood up, reaching out to touch Fei Xin's face.
0:37:59|0:38:10|Ou Jian quickly dodged and then grabbed his arm.
0:38:10|0:38:12|Ou Jian finished speaking with his head down and was about to leave.
0:38:12|0:38:16|[Nan Fang]'s hand hung in the air, with a complex emotion in his eyes.
0:38:16|0:38:20|Ou Jian walked upstairs, [Nan Fang] closed his eyes, took a deep breath, and lowered his head.
0:38:24|0:38:39|He turned around and picked up his phone, while Ou Jian was watching him at the corner of the stairs.
0:38:39|0:38:47|Ou Jian stood on the stairs and thought for a moment. When Nan Fang left, he took a video of Nan Fang getting into the car on the second floor with his phone.
0:38:48|0:38:55|After Fei Xin got into the car, Qiu Le leaned back and thought for a moment before raising his eyes, which were rolling.
0:38:55|0:39:1|The scene shifts to a sign that reads "Running for Dad".
0:39:1|0:39:6|With the air gun firing, many children and parents under the billboard started running.
0:39:6|0:39:10|A man is pushing a stroller and walking side by side with a woman, chatting.
0:39:11|0:39:15|In the parking lot not far away, [Ou Jian] sat in the car, holding up a cellphone.
0:39:15|0:39:21|At the same time, in a dimly lit room, two screens are on, with [Tesla] operating on a laptop.
0:39:23|0:39:42|Back at the parking lot, [Qu Jian] in the car is holding a phone, staring at the screen showing [Nan Fang] walking. Meanwhile, [Fei Xin] is sitting at a table holding a phone, with the screen showing [Qu Jian] holding a phone. Unaware that he is being watched, the [Qu Jian] facing the camera continues to monitor [Nan Fang].
0:39:42|0:39:51|On screen, [Qu Jian] furrowed his brow while [Tesla] leisurely picked up an apple from the table and took a bite. The scene then shifted to inside the coffee shop, where [Fei Xin] spoke to [Nan Fang].
0:42:9|0:42:14|[Fei Xin] turned his open hand over, the pen drew a leaf that curved again, indicating agreement.
0:42:14|0:42:29|The man standing up and putting on sunglasses walked away. Following his gaze, [Tesla], wearing a duckbill cap, was sitting at a table outside with high-end glasses purchased from the electronics city placed on the table, monitoring them.
0:42:29|0:42:31|On the phone screen are [Qiu Le] and [Fei Xin] being aimed at by sunglasses.
0:42:40|0:42:46|The scene shifts to a dock, where [Qu Jian] gets off a car and leans against it, flipping through various documents about [Nan Fang].
0:42:46|0:42:50|The number on the phone bill caught his attention.
0:42:50|0:42:53|He put down the phone bill and then dialed a number.
0:42:53|0:43:0|At this moment, [Fei Xin] who is at [Nan Fang]'s house, answers the phone.
0:43:3|0:43:5|[Fei Xin] confronted [Nan Fang].
0:43:14|0:43:20|[Ou Jian] heard the voice of [Nan Fang] coming from the other end, furrowing his brows instantly and looking up in confusion.
0:43:20|0:43:26|But soon, he opened the car door and got in, at this moment, [Nan Fang] was greeting [Fei Xin].
0:43:26|0:43:33|[Fei Xin] opened the wardrobe in the bedroom and took a sniff.
0:43:38|0:43:40|[Nan Fang] pointed to the door and said.
0:43:40|0:43:45|Fei Xin walked outside and first noticed the Time magazine cover on the wall.
0:43:45|0:43:50|Continuing, she lowered her head and scanned around, looking at the photo frame on the table, then picked it up.
0:43:53|0:43:56|[Nan Fang] followed her gaze to the wall.
0:44:0|0:44:2|She lowered her head, as if remembering something.
0:44:13|0:44:17|[Nan Fang] pointed upstairs and walked up, [Fei Xin] put down the photo frame and followed.
0:44:17|0:44:24|On the other side, [Qiu Le] is driving home, following the decorative lights in the neighborhood all the way towards his house.
0:44:24|0:44:27|And [Qu Jian] is sitting in the car by the roadside, keeping watch.
0:44:27|0:44:33|He had one hand on the steering wheel and the other resting on the car window, chewing gum in his mouth.
0:44:33|0:44:38|In a hurry, [Qiu Le] suddenly had a blowout after turning a corner.
0:44:38|0:44:41|He got off the car, took a look, and quickly decided to run back home.
0:44:41|0:44:48|[Qiu Le] took big strides, seeing home getting closer and closer, but his steps became more hurried, even his breathing quickened a bit.
0:44:49|0:44:58|[Qiu Le] happened to see a security guard at his doorstep and leaned out to ask him.
0:44:58|0:45:6|[Qiu Le] had just gotten off the car when Ou Jian rushed up behind him and reached out his hand. [Qiu Le] turned around, leaving Ou Jian stunned.
0:45:6|0:45:11|[Qiu Le] glanced at him, walked away quickly, leaving Ou Jian still in a daze.
0:45:11|0:45:16|He glanced at the car, then at the direction [Qiu Le] had left, and then came to his senses and ran back home.
0:45:17|0:45:21|Upon entering, the room was pitch black with no lights on.
0:45:21|0:45:25|Ou Jian closed the door, took off his shoes, and walked inside, rubbing his hands and feet.
0:45:25|0:45:30|He first scanned the living room and, finding nothing unusual, looked up at the upstairs.
0:45:30|0:45:35|He stood downstairs and saw the light shining from the bedroom on the second floor.
0:45:35|0:45:42|Think about it, take out the phone from the pocket, check the call records, and dial the number again.
0:45:42|0:45:44|Next, a cell phone rang on the second floor.
0:46:8|0:46:12|In the room of the divorce case, both of them took a breath, said [Ou Jian].
0:46:12|0:46:16|He lowered his head and finally walked out the door.
0:46:16|0:46:23|The man gently pressed down, and after [Qu Jian] walked away a bit, he twisted his head while turning his body, and then got off the bed with his legs.
0:46:23|0:46:28|Reaching under the pillow, [Fei Xin] pulled out another cellphone and then placed it on the bedside table.
0:46:29|0:46:45|After doing all this, she quickly turned her head as if she had sensed someone behind her, but found no one there. She looked anxiously at the door, breathing heavily, and slowly calmed down.
0:46:45|0:46:58|At this moment, it was late at night outside. Under the dim lights, [Qu Jian] looked down from the second-floor balcony, noticing [Qiu Le]'s car. He then walked downstairs, checked that there was no one in the car, and looked around.
0:46:58|0:47:4|He then carefully walked to the side of the car and, upon getting closer, noticed that the car window was not closed.
0:47:4|0:47:11|He then turned back again to make sure no one was around, and reached his hand from outside the car window into the driver's seat, continuously feeling for the left turn signal.
0:47:12|0:47:18|After feeling a book, it was taken out and opened to the first page, which was exactly the Southern Fairy Tales written by [Nan Fang].
0:47:18|0:47:33|[Qu Jian] was shocked when he saw this book. He carefully flipped through it under the dim light, with [Nan Fang]'s rabbit bookmark next to him. His signature below was particularly eye-catching. He kept flipping the book back and forth, his expression somewhat solemn.
0:47:33|0:47:39|Ou Jian lifted his head, his eyes rolling, while over where the car slipped away, Fei Xin was in distress.
0:48:11|0:48:18|The scene cuts to [Qu Jian], looking gloomy as he sits at his desk, raising the glass of wine in his hand and taking a sip.
0:48:18|0:48:23|After placing the cup on the table, he reached up and loosened the mask on his face a bit.
0:48:23|0:48:28|When his head tilted to the other side, he seemed to remember something.
0:48:28|0:48:34|He then opened the drawer next to him and took out a photo frame, which contained a picture of two people.
0:48:50|0:49:9|Watching the photo and sinking into memories, [Qu Jian] took another sip of wine. Then he got up and walked to the wardrobe, opened the door, and found a cardboard box underneath the hanging white shirt. He took out a baseball bat from it, then walked to the center of the living room, paused for a moment, and held the bat in his palm facing forward.
0:49:9|0:49:22|The baseball bat rested against the tiger's mouth, the body slightly pulled back, hands gripping the bat in one smooth motion, then swung forward with force, silently mouthing something, while executing the swinging motion.
0:49:22|0:49:28|After waving twice, he stopped and placed two fingers on his lower lip, recalling, and then gestured with his hand to indicate a location.
