0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
0:14:19|0:14:29|Pushing open the door, [Bai Xiaonian] holding a file, quickly walked to the commander's desk and put it in the drawer. Two days later at the City God Temple, in the evening,
0:14:29|0:14:41|The pedestrian traffic was bustling, and Old Xue carried a bucket of paste to the bulletin board. He leisurely posted a lottery notice on the bulletin board. After finishing these tasks, he left with the bucket.
0:14:41|0:14:49|And the information conveyed by this lottery announcement is: On October 31st, gather at Baicaotang and launch a surprise attack.
0:14:54|0:14:59|At night, in the nightclub filled with revelry, handsome men and beautiful women sway and dance on the dance floor.
0:14:59|0:15:7|Among them, there are young elites from the military and business sectors who come to drink and have a good time. [Gu Xiaomeng] is dancing with a young white man.
0:15:7|0:15:13|While [Li Ningyu] was leaning on the bar smoking, there was still half a glass of liquor in front of her.
0:15:13|0:15:20|The beautiful [Li Ningyu] looks worried, as if she has something on her mind. She stares at the ashtray, smoking a cigarette meant for men.
0:15:20|0:15:28|In the dance floor, [Gu Xiaomeng] was having a great time, completing difficult dance moves with the help of her partner. The bartender answered the phone at the bar.
0:15:31|0:15:34|[Li Ningyu] stared at the bartender, as if expecting something.
0:15:34|0:15:41|[Gu Xiaomeng] made her way through the crowded room towards the bar. [Li Ningyu] noticed the return of [Gu Xiaomeng] and finished the glass of whiskey in her hand.
0:15:41|0:15:52|[Gu Xiaomeng] answers the phone. After hanging up, [Gu Xiaomeng] grabs a bottle of foreign liquor and leans in to greet [Li Ningyu].
0:15:55|0:16:1|[Li Ningyu] stood up and extinguished the cigarette in her hand. [Gu Xiaomeng] picked up the cup and downed the whiskey in one gulp.
0:16:1|0:16:7|Leave a tip. The two put on their coats and leave gracefully. In the late night,
0:16:7|0:16:16|A car is driving on a mountain road, with [Bai Xiaonian], [Gu Xiaomeng], [Li Ningyu], [Wu Zhiguo], and [Jin Shenghuo] inside.
0:16:16|0:16:25|After drinking, [Gu Xiaomeng] couldn't bear the bumps and leaned against the window, vomiting. The unpleasant smell spread throughout the car.
0:16:25|0:16:29|The crowd took out handkerchiefs, covering their noses or gently fanning.
0:16:31|0:16:36|A car arrived at a iron gate, and the soldiers stationed on both sides quickly moved the roadblocks aside.
0:16:37|0:16:46|After the car smoothly passed through, it stopped by the side of a small road not long after. The winding and narrow road was only wide enough for one person to pass through.
0:16:46|0:16:52|On both sides of the small road stood two bunkers, with huge searchlights shining brightly on top.
0:16:52|0:16:58|The guard opens the car door. [Wu Zhiguo] steps out first, followed by Director [Jin Shenghuo],
0:16:58|0:17:4|Translation team leader [Li Ningyu] and communications officer [Gu Xiaomeng]. The rugged mountain path at night,
0:17:5|0:17:13|[Gu Xiaomeng] and [Li Ningyu] supported each other as they moved forward. The group arrived at a steel bridge, surrounded by a sinister atmosphere.
0:17:13|0:17:22|[Gu Xiaomeng] couldn't help it and muttered under her breath.
0:17:24|0:17:32|As the aide-de-camp of the commander, [Bai Xiaonian] clarified things for everyone.
0:17:32|0:17:40|The group arrived at the bridge. [Wu Zhiguo] saw the Japanese warning sign on the side.
0:17:43|0:17:49|Everyone followed [Bai Xiaonian]'s gaze.
0:18:8|0:18:16|[Bai Xiaonian] seductively pushed aside [Gu Xiaomeng] and walked towards the room. With him leading the way, everyone followed suit. Until finally,
0:18:16|0:18:24|Li Ningyu was left, walking with her good friend Gu Xiaomeng. As they passed by the head of the secret service, Wang Tianxiang, Gu Xiaomeng took the opportunity to provocatively glance at him.
0:18:24|0:18:34|Before long, everyone walked into the mansion one after another. As the door slammed shut, it marked the beginning of this special meeting.
0:18:34|0:18:43|The group walked up the stairs as the guard pointed out each person's room.
0:18:54|0:18:58|[Li Ningyu] dragged [Gu Xiaomeng] towards the room.
0:18:59|0:19:8|Pushing the door open, [Gu Xiaomeng] didn't have time to inspect the exquisite furniture, and quickly walked towards the bathroom. She turned on the light, pushed open the door, and headed straight for the toilet.
0:19:9|0:19:21|In the living room, [Li Ningyu] looked around, deep in thought. The sound of flushing water came from the bathroom.
0:19:21|0:19:29|Several secret agents downstairs retreated to the steel bridge, accidentally making a noise. Half an hour had passed without anyone noticing.
0:19:29|0:19:34|[Li Ningyu] supported [Gu Xiaomeng] and quickly walked into the meeting room. [Jin Shenghuo] looked at the lottery ticket.
0:19:34|0:19:48|Everyone sat around a long table, each with a lottery ticket placed in front of them with a picture of an old man with a limp.
0:20:32|0:20:40|[Bai Xiaonian] revealed that the commander did not approve of this matter, and everyone started making jokes and teasing each other.
0:21:17|0:21:21|[Wu Zhiguo] stood up and snatched the newspaper that [Wang Tianxiang] was reading.
0:21:30|0:21:34|In the shadows, [Wu Tian] throws the original document onto the table.
0:21:36|0:21:43|[Wang Tianxiang] stood up first when she saw the familiar notebook. [Wu Tian] walked out from the shadows until the light illuminated his face.
0:22:1|0:22:9|[Wu Tian] scanned everyone with sharp eyes, and [Gu Xiaomeng], who hadn't sobered up yet, almost vomited again.
0:22:10|0:22:15|At the long table, [Wu Tian] sat high at the head, watching the progress of decryption by [Li Ningyu] and [Gu Xiaomeng].
0:22:15|0:22:24|As the leader of the electronic translation team, [Li Ningyu] found this task not difficult. She flipped through the original script and sketched it out.
0:23:0|0:23:9|[Li Ningyu] writes each combination on a piece of paper, constantly trying to piece it together.
0:23:15|0:23:18|Gu Xiaomeng, who had sobered up, stared at Li Ningyu with bleary eyes and asked.
0:23:19|0:23:25|[Li Ningyu] reorganizes the order.
0:23:26|0:23:33|Wu Tian looked up at Li Ningyu's expression. Meanwhile, the three men on the sofa suddenly became attentive as well.
0:23:33|0:23:42|The paper on the table with numbers written on it was now filled with corresponding Chinese characters. When the 14 characters were arranged into a coherent sentence, it read:
0:23:43|0:23:51|On October 31st, Gu Xiaomeng, Li Ningyu, Wu Zhiguo, Wu Tian, Wang Tianxiang, Jin Shenghuo, Bai Xiaonian, and Kusunoki Colonel gathered at Baicaotang to launch a surprise attack. The tense atmosphere spread instantly.
0:23:51|0:24:2|The crowd approached to find out the result, [Gu Xiaomeng] lit a cigarette, and when she looked up again, the crowd had already surrounded her.
0:24:2|0:24:9|[Li Ningyu] took a puff of smoke and said slowly. As soon as these words were spoken, the expressions of everyone present changed.
0:24:9|0:24:22|Wang Tianxiang on the sofa looked over and slowly stood up to walk over. He held up the translated cipher message with two fingers to show everyone.
0:24:38|0:24:45|[Wu Tian] looked at everyone with a winning hand. Upon hearing this, [Jin Shenghuo] showed an incredulous expression.
0:24:47|0:24:55|[Bai Xiaonian] stared with his eyes wide open, as if trying to identify the traitor.
0:24:59|0:25:6|This made everyone feel uneasy, and [Jin Shenghuo] quickly threw the untimely biscuit in his hand into the ashtray.
0:25:7|0:25:15|[Wu Tian] did not stay, and then walked away. Everyone kept staring until they couldn't see his figure anymore.
0:25:20|0:25:29|Gu Xiaomeng smiled, and Wang Tianxiang glared back.
0:25:29|0:25:39|[Gu Xiaomeng] couldn't help but cover her mouth and burst into laughter. As the night grew deeper, the mansion on this coastal path exuded a charming atmosphere.
0:25:39|0:25:48|A pair of binoculars is scanning the balconies of the suspects. In front of the window, [Wu Zhiguo] walks over, seemingly aware that someone is watching.
0:25:48|0:25:56|The owner of the telescope quickly changed the target. This time, the target under surveillance is [Li Ningyu], who is sitting at the window writing.
0:25:56|0:26:4|The owner of the telescope is [Wang Tianxiang]. He just put down the telescope and locked onto the next target. Vaguely through the window,
0:26:4|0:26:12|The figure lying on the bed, already drowsy, is none other than [Jin Shenghuo]. He suddenly hears a noise.
0:26:14|0:26:23|He immediately sat up, reaching for the gun under the pillow and looking outside. [Jin Shenghuo] was still somewhat uneasy.
0:26:23|0:26:30|He put on his clothes and grabbed a gun before heading out. In the quiet night, he was wide awake, looking around in all directions.
0:26:30|0:26:33|The leaked secret telegram made him feel very uneasy.
0:26:34|0:26:43|Director Wang and [Wu Tian]'s attitude made him particularly worried about whether he could safely leave here. On the other side, [Gu Xiaomeng] was lying on a silk bed wearing clothes.
0:26:43|0:26:51|Staring blankly at the ceiling, [Li Ningyu] was still sitting by the window, writing under the desk lamp. [Gu Xiaomeng] walked over and tapped [Li Ningyu] on the shoulder.
0:27:0|0:27:7|[Gu Xiaomeng] leaned over the table to deliberately amuse [Li Ningyu].
0:27:13|0:27:20|Li Ningyu, who was preparing to pour tea, stopped her movements and turned around to look at Gu Xiaomeng. She set down the teapot and handed over the teacup.
0:27:21|0:27:30|[Gu Xiaomeng] suddenly pointed at [Li Ningyu].
0:27:40|0:27:45|[Li Ningyu] looks in the mirror to check the opening under the armpit of the clothes.
0:27:47|0:27:55|[Gu Xiaomeng] said, taking out a sewing box. She squatted down to help [Li Ningyu] untie her qipao.
0:27:55|0:28:3|[Li Ningyu] took off the cheongsam and handed it to [Gu Xiaomeng]. She took the cheongsam, holding a needle and thread, and quickly walked over to sit cross-legged on the high-end sofa.
0:28:10|0:28:17|[Li Ningyu] sat down next to [Gu Xiaomeng] with her clothes on. [Gu Xiaomeng] was sewing, carefully observing [Li Ningyu].
0:28:23|0:28:28|[Gu Xiaomeng] blinked her beautiful eyes and looked at [Li Ningyu].
0:28:28|0:28:33|Li Ningyu looked back, only to see Gu Xiaomeng already bowing her head to work as a female laborer.
0:28:33|0:28:37|She reached out for the delicate little hand that was threading a needle.
0:28:38|0:28:46|With red eyes, [Li Ningyu] opened her mouth but didn't say anything. She opened her arms and threw herself into [Gu Xiaomeng]'s embrace, and [Gu Xiaomeng] gently held her.
0:28:49|0:28:58|Li Ningyu was actually worried about her missing boyfriend. Suddenly, a faint opera singing came from outside the window, catching Gu Xiaomeng's attention.
0:28:58|0:29:5|[Li Ningyu] stood up. She walked towards the balcony.
0:29:5|0:29:10|[Li Ningyu] gently opened the balcony door and stepped out. Singing on the adjacent balcony was [Wu Zhiguo].
0:29:45|0:29:52|[Li Ningyu] took out a delicate cigarette case, pulled out a red circle, and walked to the edge of the balcony.
0:29:55|0:30:2|[Wu Zhiguo] caught it with both hands and lit it for himself. The two of them puffed on their cigarettes, blowing out smoke rings. After a while, [Wu Zhiguo] cleared his throat.
0:30:21|0:30:28|[Wu Zhiguo] looked over and saw that [Gu Xiaomeng] had also arrived on the balcony at some point.
0:30:30|0:30:38|Even the balcony is bugged.
0:30:58|0:31:3|After speaking, [Gu Xiaomeng] playfully raised her eyebrows at [Wu Zhiguo].
0:31:3|0:31:10|[Wu Zhiguo] looked up and exhaled smoke, as if trying to release the worries in his heart.
0:31:10|0:31:16|[Wang Tianxiang] is monitoring in the distance, [Wu Tian] approaches and takes the binoculars.
0:31:20|0:31:23|Li Ningyu in the distance stared blankly downstairs.
0:31:23|0:31:32|[Wu Tian] returned the binoculars to [Wang Tianxiang], then turned and walked back into the house, with [Wang Tianxiang] following closely behind.
0:31:33|0:31:38|[Wang Tianxiang] didn't quite understand.
0:31:38|0:31:48|[Wu Tian] picked up a book and flipped through it.
0:32:0|0:32:8|Wu Tian put down the book and walked away. Wang Tianxiang was still trying to figure out how to identify these tough cases. Chinese characters appeared on the woven texture:
0:32:8|0:32:14|I was too careless and fell into a trap. The Japanese invaders must have set a trap at Baicaotang to capture and kill our comrades.
0:32:14|0:32:21|The message to cancel the operation must be sent out within 5 days, otherwise death is the only option.
0:32:22|0:32:29|On the small island surrounded by the sea, there are two gloomy buildings standing. This is where everyone is being held captive this time.
0:32:29|0:32:37|Sunlight streamed into [Bai Xiaonian]'s room. He sang opera, moving his body rhythmically in front of a mirror.
0:32:37|0:32:46|He twisted his orchid fingers in front of the mirror. Suddenly, he stopped and leaned in to tidy up his sideburns. His expression was focused.
0:32:46|0:32:52|With both hands fiddling together, looking like a big girl. [Bai Xiaonian] slowly walked down the stairs.
0:32:52|0:33:1|The crowd had already started dining.
0:33:7|0:33:10|Jin Shenghuo, who was eating heartily, suddenly choked upon hearing the words.
0:33:19|0:33:23|The breakfast is coming to an end amidst the intrigue and scheming.
0:33:23|0:33:35|In the exquisite room, [Gu Xiaomeng] sat at the dressing table, whistling as she painted her nails with new nail polish. She admired her beautiful hands in the mirror. Meanwhile,
0:33:35|0:33:40|Downstairs, the Japanese woman is singing for the Japanese army. On the single sofa next to her, [Kusunoki Colonel] is sitting.
0:34:40|0:34:52|On the other side, the door opened and the slender [Gu Xiaomeng] walked towards the guard post with a piece of paper in her hand.
0:35:9|0:35:16|[Gu Xiaomeng] rolled her eyes.
0:35:18|0:35:28|[Gu Xiaomeng] pressed against the guard's body and slipped the paper into the guard's jacket pocket.
0:35:50|0:35:58|[Gu Xiaomeng] carefully recalled it.
0:36:5|0:36:12|[Gu Xiaomeng] was quite surprised. She raised her eyebrows and looked elsewhere, saying somewhat reluctantly.
0:36:41|0:36:49|After saying that, she raised her beautiful eyes and raised her eyebrows. The sea breeze blew over the island.
0:36:49|0:36:55|A man walks across the iron bridge connecting two buildings.
0:37:7|0:37:13|The two sat on the sofa, each with an air of mutual respect.
0:37:13|0:37:18|[Wu Zhiguo] stood up and picked up his coat, ready to leave.
0:37:25|0:37:32|[Wu Zhiguo] stopped and waited impatiently for the rest of [Wang Tianxiang]'s words.
0:37:32|0:37:42|[Li Ningyu] walked through the doorway and passed by [Wu Zhiguo] who was coming out, without any interaction. She glanced sideways.
0:37:42|0:37:49|Wu Tian, next to the choir, also looked over. Li Ningyu on the sofa smoked a lady cigarette and said.
0:37:50|0:37:57|After speaking, she took a deep drag on her cigarette.
0:37:57|0:38:7|[Wang Tianxiang] looked at her with a hint of surprise. On the other side, [Wu Tian] was holding the letter written by [Gu Xiaomeng], carefully examining it in the sunlight.
0:38:17|0:38:24|[Wu Tian] leaned in, furrowing his brow as he looked at the list and said.
0:38:24|0:38:32|[Wu Tian] stood up and interrupted him.
0:39:0|0:39:8|[Wang Tianxiang] was overjoyed at the news. Inside the hall, the on-duty guard was sleeping against the railing.
0:39:9|0:39:18|Several people sat around the dining table, but none of them seemed interested. [Gu Xiaomeng] leaned forward, showing concern for [Li Ningyu].
0:39:18|0:39:27|[Li Ningyu] eased her expression and responded with a smile. [Jin Shenghuo] slammed the table, expressing indignation.
0:40:0|0:40:6|[Wu Zhiguo] smashed the wine bottle, and everyone immediately quieted down. He slowly stood up, his gaze sweeping over the crowd, and said harshly.
0:40:8|0:40:15|[Wu Zhiguo] sarcastically taunted [Gu Xiaomeng] in public and private.
0:40:15|0:40:21|Several people looked at each other in silence. [Gu Xiaomeng] walked quickly around the table.
0:40:29|0:40:32|[Wu Zhiguo] forcefully pulled open his collar, revealing the bullet hole on his chest.
0:40:40|0:40:46|[Gu Xiaomeng] frowned coldly and stood up to speak.
0:40:50|0:40:54|She leaned against the table without giving in.
0:41:24|0:41:27|Wu Zhiguo, a big chauvinist, couldn't help but show a hint of embarrassment on his face when he heard the words.
0:41:27|0:41:32|He pointed his index finger fiercely at [Gu Xiaomeng] and was about to leave the farce.
0:41:35|0:41:42|Unexpectedly, [Wang Tianxiang] who came from the dark stopped him and said with a smile. [Wu Zhiguo] had a cold expression.
0:41:42|0:41:46|Glancing sideways at [Wang Tianxiang], she turned around and went straight upstairs.
0:41:50|0:42:0|[Li Ningyu] stood up for [Gu Xiaomeng], then quickly took [Gu Xiaomeng] upstairs to the room. [Jin Shenghuo] wiped off some sweat and picked up the chopsticks.
0:42:4|0:42:11|After speaking, he looked at the expressions of the few people, trying to find a loophole. Chinese characters appeared again on the web-like texture:
0:42:11|0:42:17|It feels like no one can get out of here. Without extraordinary means, it's probably difficult to send out any messages.
0:42:17|0:42:25|The next day, [Wang Tianxiang] walked through the hall, turned on the record player, and quickly went upstairs with the documents.
0:42:35|0:42:41|Everyone received the documents personally delivered by [Wang Tianxiang].
0:42:43|0:42:50|Everyone is busy filling in their relevant information.
0:42:51|0:42:58|With either a fountain pen or a brush, the characters were meticulously written in regular script. [Gu Xiaomeng] turned her head to look at her friend [Li Ningyu],
0:42:58|0:43:5|[Li Ningyu] was found writing earnestly. [Gu Xiaomeng] and [Wu Zhiguo] on the other side vaguely felt that something was not quite right.
0:43:6|0:43:10|On the outdoor terrace, [Wang Tianxiang] stood blowing in the sea breeze, deep in thought.
0:43:10|0:43:18|While inside the house, [Wu Tian] is carefully examining the information. He throws the information to his two subordinates, who are looking at the lottery advertisement brought back that day.
0:43:18|0:43:26|Carefully compare the handwriting. Measure the length of strokes with a vernier caliper and observe the pen strokes with a magnifying glass.
0:43:26|0:43:35|Accurate measurements, precise comparisons, repeated tests. After who knows how long, finally a clue was found in the handwriting aspect.
0:43:36|0:43:42|On the other side, [Gu Xiaomeng] lit a cigarette, swaying her waist and dancing gracefully in the room.
0:43:42|0:43:53|The old record player exudes a tranquil atmosphere, with [Li Ningyu] covered in a blanket on the long sofa still immersed in dreams. With a graceful figure and full of beauty, [Gu Xiaomeng] leans back in the chair, lighting a cigarette.
0:43:53|0:44:1|Quietly looking at [Li Ningyu]. She seemed to be thinking, when did these leisurely days become precious. Unexpectedly, the power suddenly went out.
0:44:1|0:44:7|The room was pitch black. Then, the lights in the two buildings also went out one after another.
0:44:7|0:44:12|In the darkness, [Gu Xiaomeng] flicked the cigarette ash lightly. The footsteps outside woke up [Li Ningyu].
0:44:20|0:44:23|[Gu Xiaomeng] was puzzled and shook her head slightly. [Li Ningyu] got up and walked towards the door.
0:44:23|0:44:30|The sudden power outage gave her a sense of foreboding. She pressed her ear against the door, listening carefully.
0:44:33|0:44:40|It sounds like [Bai Xiaonian] has encountered an accident. [Li Ningyu] quickly ran to the balcony to look out.
0:44:40|0:44:49|On the iron bridge connecting two small paths, two secret agents with flashlights escort [Bai Xiaonian] away. Inside the house, [Gu Xiaomeng] also approaches and leans against the window to look out.
0:44:49|0:44:50|[Li Ningyu] looked flustered and didn't say anything.
0:44:52|0:44:58|In the dungeon, two people are dragging [Bai Xiaonian] from the front, while the secret agent behind him covers his mouth and holds a kerosene lamp.
0:44:58|0:45:6|Several people together pushed [Bai Xiaonian] into the elevator, and the elevator doors closed tightly. [Bai Xiaonian] struggled in vain as the elevator slowly descended.
0:45:6|0:45:11|[Bai Xiaonian] was brought to the edge of a large pool in a bathhouse. The secret agent threw a wooden board on the ground,
0:45:11|0:45:21|Then two henchmen brought in a tiger bench, trapping [Bai Xiaonian] in the chair. Across from him, [Wu Tian] sat casually playing with a cigarette in his hand.
0:45:26|0:45:34|Trapped, [Bai Xiaonian] stared in terror at two documents.
0:45:42|0:45:47|[Wang Tianxiang] smirked and stepped back, signaling to his men to begin.
0:45:47|0:45:54|Two secret agents each untie the hands and feet of [Bai Xiaonian]. He is extremely terrified. Another secret agent walks up and grabs [Bai Xiaonian] by the hair.
0:45:54|0:46:0|Dragging him step by step into another room, then ruthlessly throwing him on the ground. The door of the room slammed shut.
0:46:1|0:46:7|[Bai Xiaonian] looked up at [Director Wang], who looked like a demon from the abyss, and he was filled with extreme terror.
0:46:9|0:46:12|Two secret agents immediately followed suit. He screamed in despair.
0:46:12|0:46:19|In the corner, the spy is sharpening the iron spike bench, with one particularly sharp and thick in the middle.
0:46:19|0:46:24|[Wang Tianxiang] looked at the dignified colonel with a smile that came from the heart.
0:46:25|0:46:30|Outside the execution room, [Wu Tian] stood up and left after hearing the heart-wrenching screams.
0:46:30|0:46:35|He even thought about how [Bai Xiaonian] could calm Commander Zhang's anger if he wasn't a mole.
0:46:35|0:46:40|In fact, Commander Zhang, who was on a business trip in Nanjing, just received the news and rushed to Qiuzhuang.
0:46:41|0:46:48|The commander's car has just arrived, and [Wang Tianxiang] leads the team to greet. His attendants stopped the commander's bodyguards, only [Wang Tianxiang] entered the house.
0:46:49|0:46:57|[Wu Tian] and the commander sat upright. [Wang Tianxiang] approached, the commander glared fiercely and kicked [Wang Tianxiang] down with one foot.
0:46:57|0:47:4|[Wang Tianxiang] immediately stood up straight, and [Wu Tian] beside him couldn't help but burst into laughter.
0:47:8|0:47:15|Commander looked at [Wang Tianxiang] and then at [Wu Tian] with confusion. As Commander Zhang was about to question them, [Wu Tian] brought up Rear Admiral Kusunoki.
0:47:19|0:47:27|Hearing this, [Kusunoki Colonel] refrained from getting angry.
0:47:27|0:47:35|Wu Tian finished speaking and looked at [Wang Tianxiang].
0:47:36|0:47:43|At the urging of [Wu Tian], [Wang Tianxiang] turned and left. Before long, the commander sat in front of the lamp, carefully comparing the two handwriting samples.
0:47:52|0:47:59|The commander's tiger eyes stared at [Wu Tian], who, however, smiled confidently.
0:47:59|0:48:11|The commander, leaning on a crutch, walked slowly towards the interrogation room. He had to find [Bai Xiaonian] to get some answers.
0:48:11|0:48:17|Emerging from the pool, [Bai Xiaonian],
0:48:25|0:48:37|The commander swung his whip, leaving a cut on [Bai Xiaonian]'s face. [Bai Xiaonian], who had been waiting for a savior, was now completely broken inside. He sobbed as he crawled to the water pool, defiantly looking up at the commander.
0:48:37|0:48:50|In the dark building with a power outage, a figure carrying a lantern walks up the stairs.
0:48:50|0:48:57|For everyone, this was destined to be a sleepless night. In the darkness, [Wu Zhiguo] quietly smoked a cigarette.
