0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp in great haste.
0:21:5|0:21:16|Upon closer inspection, the man is none other than the engineer [Fang Zijing] who led the invasion of Chenjiagou with the Trojan army in the previous installment. With a face full of wounds, [Fang Zijing] turned around only to be shocked by the majestic wings hovering above the factory.
0:21:16|0:21:20|The Tianwei Wing may be broken now, but its momentum still sends shivers down one's spine.
0:21:21|0:21:29|[Fang Zijing] approached slowly, his gaze never leaving Tianwei Yi from the moment he entered the room. He looked at the incredible figure in front of him and muttered to himself,
0:22:2|0:22:7|At this moment, the door was suddenly opened by several foreigners.
0:22:12|0:22:16|Facing the shouting of the soldiers, the leading foreigner did not speak, but calmly walked forward.
0:22:16|0:22:25|At this moment, the captain of the soldiers said to his subordinates,
0:22:39|0:22:45|Seeing someone supporting him, [Fang Zijing] quickly regained his composure from the previous embarrassment, his face filled with pride.
0:22:45|0:22:49|After being taken away by Fei Linming, Fang Zijing said to him on the carriage,
0:23:0|0:23:6|After speaking, he threw the account book to [Fang Zijing].
0:23:33|0:23:41|After saying that, [Fei Linming] showed an incredibly eerie smile to [Fang Zijing].
0:23:41|0:23:46|[Fang Zijing] is now absent-minded, looking at the account book with different quantities of money written on it, feeling very uneasy.
0:23:47|0:23:56|In the pharmacy of Chen Family Valley, several people who were injured by Yang Luchan endured the pain and took medicine, while Yang Luchan, who was unconscious, had his hands tied and handcuffed to the cabinet.
0:23:56|0:24:2|After this outbreak, the three flowers on the top of [Yang Luchan]'s head have deepened in color.
0:24:25|0:24:31|[Chen Zaiyang] widened his eyes in disbelief after hearing it, pondered for a moment, and then slowly said,
0:24:42|0:24:51|After listening to the words of his elder brother [Chen Zaiyang], [Chen Yuniang] also wavered in her heart. She came alone to the top of the hill at the village entrance, gazing at the only path leading into the village.
0:24:51|0:25:6|A few months ago, [Fang Zijing] drove this huge machine to flatten the village. In order to cut ties with [Fang Zijing] for the sake of the village, [Chen Yuniang] still had lingering feelings for him from their childhood. As she thought about it, tears filled her eyes.
0:25:8|0:25:16|[Chen Yuniang], who has always been thinking about love between men and women, is still practicing with [Yang Luchan] in a perfunctory manner. Her martial arts moves are all based on muscle memory, with her mind elsewhere.
0:25:30|0:25:42|[Chen Yuniang] had lost interest in teaching, turned around and left. At this moment, [Chen Changxing] shouted from a distance, and [Yang Luchan] turned around to see the sect leader hanging upside down on a tree, so he hurried over.
0:26:40|0:26:48|[Chen Changxing] listened and suddenly widened his eyes in surprise. After carefully examining [Yang Luchan] for a moment, he glanced at his Three Flower Gathering on Top.
0:26:53|0:27:15|Later, [Chen Changxing] walked away contentedly, leaving [Yang Luchan] behind. Yang did not become conceited after receiving praise, but instead, the alleviation of the backlash from the Three Flowers Gathering at the Top allowed him to use his mind more flexibly and to feel life more delicately. Watching the villagers picking herbs, their movements integrated with the Chen-style boxing, he had a deeper understanding of the Chen-style boxing in an instant.
0:27:15|0:27:25|At the same time, a wall with a foreign atmosphere was built on a barren land on the outskirts of Tianjin, with graves of various sizes arranged inside the courtyard.
0:27:27|0:27:36|The English inscription on a tombstone in one of the cemeteries reads: "This is my lifelong love," and the signature below the sorrowful words is [Fang Zijing], who blew himself up with his girlfriend Troy.
0:27:36|0:27:41|[Fang Zijing] leaned against the tombstone, with empty and lifeless eyes.
0:27:41|0:27:46|Whenever he thinks of Claire, he comes to this place, and stays here for several hours.
0:27:46|0:27:51|At this moment, Fang Zijing saw Duke Fei Linming approaching him from the corner of his eye, and said,
0:29:2|0:29:20|Fei Linming still looked back at Fang Zijing disdainfully, but when he saw the determined and ambitious look in Fang Zijing's eyes, his expression gradually became serious. At night, only a few households in Chen Family Gully still had lights on. Yang Luchan stood on the roof, diligently practicing as usual.
0:29:20|0:29:27|[Yang Luchan] practiced boxing while gaining insights, as if entering a state of forgetfulness. By the window, [Chen Yuniang], still pondering about love and family, suddenly heard movement outside the door.
0:29:27|0:29:35|[Chen Yuniang] rushed out of the house without hesitation to find out what was going on. She looked in the direction of the sound and saw [Chen Changxing] sitting on a chair outside the door.
0:29:41|0:29:46|[Chen Changxing] said nothing, but instead intricately carved and opened the elaborate wooden mechanism in his hand.
0:30:2|0:30:9|[Chen Yuniang] hadn't finished speaking when the sound of a bronze bell came from the village. Sitting beside her, [Chen Changxing] calmly said,
0:30:12|0:30:19|The next day arrived in the blink of an eye, with sudden changes in the weather and the sky darkening.
0:30:19|0:30:27|As soon as the day broke, the villagers rushed to the hall, with Yang Luchan following closely behind Chen Yuniang.
0:30:28|0:30:39|When the two entered the hall, they were shocked and speechless by the scene before them. They saw a massive bronze bell, weighing thousands of kilograms, spinning rapidly as if driven by some unknown divine force.
0:30:39|0:30:46|The early arrival of several senior elders saw the situation and knelt down to kowtow under the bronze bell, as if praying for the forgiveness of the gods.
0:31:13|0:31:21|Facing the malicious words from the people of [Chen Village], [Yang Luchan] was unable to argue back, while his wife [Chen Yuniang] wanted to silence them with her actions.
0:31:22|0:31:33|[Chen Yuniang] was about to step forward to stop the bronze bell, but her shoulder was held down by a hand. Before she could react, [Chen Zaiyang] leaped up and landed in front of the bronze bell. The bronze bell was originally as heavy as a thousand catties and could not be moved.
0:31:33|0:31:42|The increased rotational force of the high-speed spinning is now difficult to estimate. Faced with this awe-inspiring behemoth, [Chen Zaiyang] remains incredibly calm, as he channels his energy to his dantian and delivers a palm strike.
0:31:59|0:32:5|Chen Zaiyang finished demonstrating the most basic techniques of the Chen family fist around him, returned to his original position, and gathered his energy again.
0:32:11|0:32:22|Chen Zaiyang seized the opportunity, gathered all his strength into his palms, and struck the bronze bell. The bell, weighing thousands of pounds, rolled in the air for two rounds before landing steadily. After dealing with the bronze bell,
0:32:22|0:32:30|[Chen Zaiyang] turned around with a hint of pride, standing in front of everyone. After witnessing it with their own eyes, everyone present was impressed by [Chen Zaiyang]'s skill.
0:32:31|0:32:40|And besides what everyone saw on the scene, this scene was also closely observed by Jin Yuner hidden on the rooftop.
0:32:40|0:32:52|At this moment, a figure quietly flew from the other end of the roof. [Jin Yuner], under the sunlight, was indistinguishable as friend or foe, so she quickly drew her sword. But as soon as the sword was drawn, she was kicked away. [Jin Yuner] immediately regained her composure and stabbed towards the man with her flexible sword, which was soft and hard at the same time.
0:32:52|0:33:0|Unpredictable and elusive, his swordsmanship is truly hard to grasp. The man who was almost injured leaped into the air and then stood on the eaves, slowly turning around.
0:33:11|0:33:22|[Jin Yuner] saw [Chen Changxing], she truthfully confessed: at that time, she was hidden inside the bronze bell, fixed the base of the instrument on the top of the bronze bell, just gently swayed, and the three iron balls hanging on the instrument would spin rapidly.
0:33:22|0:33:29|After finishing her instructions, [Jin Yuner] flew off the eaves. At this moment, inside the hall, [San Shuzu] announced,
0:33:50|0:33:59|[Chen Zaiyang] seemed to be playing with his little sister on the side, but in fact, he listened attentively to every word everyone said. He turned slowly, with a look of melancholy on his face, and walked up to [San Shuzu].
0:34:8|0:34:15|After [Chen Zaiyang] politely declined, he never expected that no one would persuade him again. Seeing this situation, he could only say again,
0:34:40|0:34:51|As soon as the words fell, [Chen Changxing], who had been observing for a long time, stepped on the roof and fell into the house. Upon seeing his father's sudden arrival, [Chen Zaiyang] became nervous.
0:35:12|0:35:22|Seeing [Chen Zaiyang] remaining silent, [Chen Changxing] took out a letter from his sleeve and stood it in front of him.
0:36:11|0:36:23|[Yang Luchan] looked nervously at [Chen Yuniang], while on the other side, [Chen Zaiyang] was pressured by [San Shuzu]. Under the heavy pressure, [Chen Zaiyang], seeing the confident [San Shuzu] beside him, reluctantly moved forward.
0:36:23|0:36:33|Standing opposite, [Yang Luchan] could only grit his teeth and walk to the front. At this moment, the two stood in front of the hall in full view of everyone, but their desire to fight was not high. On the side, [Chen Changxing] watched.
0:36:33|0:36:37|Reluctant to make a move, [Yang Luchan] was then instructed by words.
0:36:39|0:36:55|[Yang Luchan] followed orders and assumed a stance, with a stable lower body, left arm straight, left hand in a hook shape, and right palm blocking in front. As this move was executed, the momentum was completely different from before. [Chen Changxing] saw [Chen Zaiyang] starting his move and continued to say,
0:36:56|0:37:8|As soon as the two started, they found that [Chen Zaiyang]'s previous skills were full of loopholes. At this moment, [Yang Luchan] lifted his right foot in front of [Chen Zaiyang] without exerting force, and [Chen Changxing] realized that [Yang Luchan] was intentionally holding back.
0:37:10|0:37:15|The force of the paper ball pushed [Chen Zaiyang] back several meters, at this moment, [Chen Zaiyang] did not have the same strength as when he struck the bell.
0:37:20|0:37:27|Upon hearing Chen Yuniang's confusion, Chen Changxing did not explain. Chen Zaiyang's punches were all deflected, and his body gradually stiffened, unable to fight back.
0:37:27|0:37:30|At this moment, [Yang Luchan] executed a high probing horse move, throwing [Chen Zaiyang] into the air.
0:37:31|0:37:39|After the reversal, seizing the opportunity, he crowned it with all his strength to deliver the final double push hands. Struck by this move, [Chen Zaiyang] was sent flying into the air.
0:37:39|0:37:45|The robe was also shattered by the internal strength of [Yang Luchan]. But at this moment, to everyone's surprise, they found that besides the robe being shattered,
0:37:45|0:37:54|Flying out with it were many mechanical parts. Everyone present, except for [Chen Changxing], hung their heads in sigh, all deeply moved by the scene.
0:37:54|0:38:21|Originally, the profound skills displayed by [Chen Zaiyang] were all enhanced by the machine he developed. His solid foundation was achieved by inserting nails into the ground through his shoes. The reason that triggered [Yang Luchan]'s outburst was not because he couldn't bear the humiliation, but because when [Chen Zaiyang] put a hat on him, he inserted a silver needle into his corner. As a father, [Chen Changxing] looked at the sky full of parts and gears still spinning, falling into memories of Zaiyang's childhood.
0:38:21|0:38:27|One afternoon many years ago, [Chen Changxing] happily accompanied [Chen Yuniang] as they swung on a swing.
0:38:28|0:38:34|At this moment, [Chen Zaiyang] ran up to his father with his younger brothers and said,
0:38:36|0:38:44|Shortly after, [Chen Changxing] sat up with a smile on his face, eagerly awaiting [Chen Zaiyang]'s boxing technique. His younger brothers and sisters also sat on the side, ready to learn.
0:38:44|0:38:53|[Chen Zaiyang], after preparing, turned to face [Chen Changxing], performing the Diamond Pounder followed by the Cross Hands, a set of movements flowing smoothly and with great momentum.
0:38:53|0:39:1|[Chen Changxing] watched as [Chen Zaiyang] made rapid progress, nodding in approval. His younger siblings were even more fascinated, admiring him endlessly.
0:39:1|0:39:6|After seeing everyone's satisfied expressions, [Chen Zaiyang] leaped high into the air, followed by a move resembling a white crane spreading its wings, pushing the atmosphere to a climax.
0:39:9|0:39:17|At this moment, [Chen Changxing] had already put away his smile, and instead looked at [Chen Zaiyang] with a serious expression, as if he was gradually discovering clues from Chen Zaiyang's movements.
0:39:17|0:39:30|At this moment, as [Chen Zaiyang] continued to spin and kick high, he gradually lost control. His movements became stiff, the kicking became mechanical, and his body spun faster and faster. He tried hard to regain control, but faced with the powerful mechanical force, his efforts were in vain.
0:39:32|0:39:43|Chen Changxing quickly followed the direction of rotation and grabbed Chen Zaiyang's right hand, pulling him into his arms. At this moment, the machine also exceeded its load, and countless parts popped out of the clothes, scattering all over the ground.
0:39:43|0:39:51|Chen Changxing was stunned to see the mechanical vest covered with gears on Zaiyang's chest, unable to speak for a long time.
0:39:51|0:40:3|He angrily threw [Chen Zaiyang] on the ground, [Chen Changxing] sighed with disappointment, then turned and walked towards the house. Seeing this, his younger siblings hurried forward to help their older brother. Now, a scene in the hall.
0:40:3|0:40:13|Just like many years ago. [Chen Changxing] had tears in his eyes and sighed, saying,
0:40:14|0:40:20|He finished speaking, without even looking at [Chen Zaiyang], he walked straight towards the door. Seeing this, [Chen Zaiyang] felt even more wronged.
0:40:20|0:40:40|At this moment, [Chen Yuniang] noticed the distress of [Chen Zaiyang] and persuaded him. After hearing this, [Chen Zaiyang] burst into tears, broke free from the support of the crowd, and shouted. Although [Chen Changxing] did not turn around, he slowed down his pace. After wiping away his tears, [Chen Zaiyang] sat on the ground and continued speaking.
0:41:10|0:41:19|San Shuzu, after hearing the truth, hung his head in frustration like iron unable to turn into steel.
0:41:23|0:41:33|The brothers and sisters around him were all very angry after hearing this, but looking at the eldest brother in front of them full of helplessness and grievances, even with all the resentment, they became understandable in the face of family affection.
0:41:33|0:41:43|[Chen Zaiyang] finished speaking, his eyes moist as he glanced at the deceived [Yang Luchan], after a long while, a tear of regret rolled down, but he said nothing more, slowly stood up and looked towards [San Shuzu].
0:41:43|0:41:50|San Shuzu looked at Chen Zaiyang, who almost caused a disaster for himself, without any sense of regret, and then turned and walked away.
0:41:52|0:41:59|The elders were like grass on the wall, speaking ill of [Chen Zaiyang], but these harsh words had little effect on the eldest son of the sect leader.
0:41:59|0:42:11|For Chen Zaiyang, who doesn't love practicing martial arts, it seems like he has long been tired of hearing it. Dragging his disheveled body, he dejectedly walks towards the gate, without a moment's pause after changing his outfit.
0:42:11|0:42:16|With his wife [Jin Yuner], [Chen Changxing] left [Chen Village]. At this moment, [Chen Yuniang] and [Yang Luchan] caught up on horseback.
0:42:16|0:42:27|After being called, [Chen Zaiyang] turned around and looked somewhat surprised at the two dismounting figures. [Chen Yuniang] ran up to her elder brother with a embroidered cloth bag in her hands and said,
0:42:28|0:42:34|[Chen Zaiyang] pulled out a wooden box from the cloth bag with a puzzled expression, and exclaimed in surprise after opening it,
0:42:43|0:42:50|Chen Zaiyang suddenly understood after hearing this, that although his father was strict in every way, he still cared for him in his heart at all times.
0:42:52|0:43:1|At this moment, Yang Luchan handed the reins of the horse to his big brother with a reluctant expression, Chen Zaiyang took the reins and looked at the simple and honest young man in front of him, saying,
0:43:3|0:43:11|Just as Chen Zaiyang's tears seemed about to fall, he turned around and left Chenjiagou with his wife on horseback. What Zaiyang didn't know was,
0:43:11|0:43:24|This time, not only [Chen Yuniang] and [Chen Changxing] came to see them off. [Chen Changxing], who had long been hidden on the Trojan, had moist eyes, enduring the pain of separation, watching his son gradually leave. Perhaps this is the strict father's way of expressing love.
0:43:26|0:43:35|On the night when [Chen Zaiyang] and his wife left [Chen Family Valley], [Jiang Yanhao], the governor of Henan Province, played music on a phonograph in his warehouse filled with embezzled goods.
0:43:35|0:43:47|Accompanied by cheerful music, [Jiang Yanhao] proudly looked at the wall full of national treasure-level antique vases. After hesitating for a moment, he picked up his favorite flambe glazed plum vase and examined it carefully. But just then...
0:43:47|0:43:48|Indian cavalry forced their way in,
0:43:48|0:44:1|The sudden sound in the theater startled [Jiang Yanhao], causing the enamel bottle to slip from his hand, but luckily it fell onto his foot and did not break. By the time he reacted, several Indian soldiers with rifles had surrounded him, and [Jiang Yanhao] pretended to
0:44:3|0:44:9|Shouting loudly, but the soldiers showed no fear on their faces after hearing it, still holding their rifles high and aiming at [Jiang Yanhao].
0:44:9|0:44:22|At this moment, an official dressed in a catcher's uniform and wearing a lotus flower on his head slowly picked up the enamel bottle that had fallen to the ground. Because he held the bottle in front of him, [Jiang Yanhao] could not see his face clearly and dared not act rashly. However, he soon realized that the person was none other than [Fang Zijing].
0:44:25|0:44:32|As soon as Jiang Yanhao finished speaking, Fang Zijing smashed the priceless Ruby Red Plum Vase on the ground.
0:45:0|0:45:13|[Fang Zijing] listened without any change in his gloomy face, walked slowly to [Jiang Yanhao]'s front, and looked at the timid [Jiang Yanhao] as he whispered,
0:45:26|0:45:30|Under Fang Zijing's command, the soldiers escorted the corrupt official Jiang Yanhao out.
0:45:30|0:45:40|The room full of gold and silver treasures, antiques and famous paintings did not interest [Fang Zijing] at all. He didn't even spare a glance at them, instead he walked over to the phonograph and started enjoying the music.
0:45:41|0:45:47|Late at night, in Chen Family Valley, Chen Yuniang turned over in the middle of the night only to find that Yang Luchan on the bedroll was already gone.
0:45:47|0:45:59|She knew [Yang Luchan]'s habits well, so she put on her clothes and leaped onto the roof to ask,
0:46:7|0:46:26|The next morning, the market in Tianjin was already filled with vendors. When Jin Yuner saw the patrolling soldiers approaching, she signaled Chen Zaiyang to avoid them. Chen Zaiyang, quick-witted, grabbed Jin Yuner and ran to a steamed bun shop, pretending to be customers. Chen Zaiyang kept an eye on the soldiers as they left and then hurriedly departed.
0:46:28|0:46:38|At this point, the two of them no longer had the leisurely elegance of their previous walk, walking quickly with their heads slightly lowered along the bustling street. When they arrived at their factory, they found that the seal and iron chain on the gate had not been touched.
0:46:45|0:46:49|[Chen Zaiyang] ran forward in three steps and two steps, looking impatiently at the seal, ready to tear it off.
0:46:49|0:46:56|After some persuasion, [Chen Zaiyang] followed [Jin Yuner]'s advice and arrived at the back window of the factory. [Chen Zaiyang] gestured to [Jin Yuner], and then...
0:46:56|0:47:4|He climbed up the boxes stacked by the back window alone, taking just three or four steps to reach the top. Then, [Chen Zaiyang] did not rush to push open the window and enter.
0:47:4|0:47:13|Instead, he cautiously peeked inside through the slits of the blinds to check the situation. After confirming that there was no one in the factory, [Chen Zaiyang] climbed in.
0:47:13|0:47:19|Accidentally, Chen Zaiyang took a tumble, which seemed quite painful for someone who never practiced martial arts.
0:47:19|0:47:33|He endured the pain, slowly opened his eyes, only to find that the former glory of the factory had long disappeared, replaced by the scene of rats everywhere, like a ruin. But when he saw the parts on the ground, he ignored the pain and quickly got up to pick them up.
0:47:33|0:47:41|Watching his hard work being thrown on the ground like scrap metal, Chen Changxing felt a myriad of emotions in his heart, and his eyes gradually became moist.
0:47:41|0:47:53|After a moment, he looked up at the sky, only the framework of the Tianwei Wing remained, although it was broken, it still made Chen Zaiyang feel extremely proud. He fantasized about himself flying freely in the sky, driving the perfect Tianwei Wing, soaring and flying at will.
0:47:53|0:48:2|When he came to his senses, he still stared at Tianweiyi closely. But just as he choked up, the factory door slowly opened. Chen Zaiyang thought it was Jin Yuner and said,
0:48:4|0:48:11|When [Chen Zaiyang] turned around, he found that [Jin Yuner] had already been captured by the ambushed soldiers. Four soldiers surrounded [Jin Yuner] with their blades at her neck.
0:48:11|0:48:20|The two of them, Chen Changxing and Yang Luchan, were brought back to the yamen out of helplessness. But after they knelt in the hall, Fang Zijing, a fourth-ranking official, slowly walked towards the front of the hall.
0:48:20|0:48:30|[Fang Zijing] was dressed in a mandarin square patch robe, with a red tassel hat on his head, sitting in the hall. His imposing manner was even more majestic under the blessing of the turquoise stone at the top of the tassel hat.
0:48:32|0:48:39|[Chen Zaiyang] heard the voice and found it somewhat familiar. He slowly raised his head and looked up, never expecting that it was indeed [Fang Zijing], the Taoist master.
0:48:40|0:48:47|[Chen Zaiyang] sat cross-legged on the ground casually when he saw that it was someone he knew, and then said,
0:48:49|0:48:56|[Fang Zijing]'s words made [Chen Zaiyang] extremely embarrassed, but due to the huge disparity in status now, he had no choice but to kneel down again on the spot.
0:49:15|0:49:22|[Fang Zijing] saw [Chen Zaiyang] pretending to be silent, so he viciously said to his subordinates,
0:50:43|0:50:52|[Chen Zaiyang] tearfully watched [Fang Zijing] walk away, choked up as he confirmed with him once again,
0:51:6|0:51:15|At this moment, in the mountains and forests of Chen Family Valley, [Chen Changxing] and [Yang Luchan] were hanging upside down on a thick tree branch together. After a moment, [Yang Luchan] asked in confusion,
0:51:27|0:51:32|[Yang Luchan] followed suit after hearing it.
0:51:43|0:51:58|[Chen Changxing] lazily yawned and then turned to look at [Yang Luchan], who was breathing deeply and slowly. After just a few rounds, [Yang Luchan] suddenly opened his eyes as if he had an epiphany and said, then recalled the scene of [Chen Yuniang] practicing with a low mood.
0:52:2|0:52:8|[Chen Changxing] listened and finally showed a relieved expression on his face, then came down from the tree branch and was about to leave.
