0:2:2|0:2:5|The large gem in the middle sparkled brightly.
0:14:44|0:15:2|The protesters had already rushed into the auction venue and were stopped by security guards at the staircase. [Xiao Bao] held a detector in his hand, clearly marking the movement of the Wing of Destiny on it. He took off his suit and began preparing the equipment needed for the theft. The security guards couldn't stop the protesters who were demonstrating in front of a large crowd, and the defense line was eventually broken through.
0:15:2|0:15:13|[Tingting] furrowed her brows, quickly walked away under the protection of a group of security guards, while protesters had taken over the entire venue, and guests scattered to escape.
0:15:13|0:15:28|[Pierre] hurried to the scene, only to see [Zhang Dan] standing in the distance looking at him with a smug smile. [Xiao Bao] followed the detector to search for the location of the Wing of Destiny. [Pierre] showed his police badge to the hotel security, informing them that someone was attempting a robbery.
0:15:34|0:15:37|A security guard couldn't help but ask, but [Pierre] interrupted him without hesitation, instructing him to inform the captain immediately.
0:15:37|0:15:55|At this moment, [Xiao Bao] followed the blinking light on the detector into a cluttered room. He put the detector in his pocket, moved a cabinet aside, revealing a wall. With confidence, he said, "On the other side, the guests have already been placed in the VIP room."
0:15:55|0:16:0|[Zhang Dan] saw [Tingting] through the glass and put on a friendly smile before pushing the door open.
0:16:11|0:16:31|At this moment, [Xiao Bao] took out a high-tech weapon from his bag. He carefully approached the wall, squatted down, and aimed the head of the weapon at the wall. After aiming, he pressed a button on the back. The wall immediately shattered into pieces under tremendous force. Before long, the shattered wall pieces began to fall off, revealing the steel bars underneath.
0:16:31|0:16:38|On the other side, the security team captain arrived late. [Pierre] instructed him to immediately open the safe and informed him that someone was stealing the Wings of Destiny.
0:16:51|0:17:14|[Pierre] stepped forward and stared at him, telling him that this was a waste of time. At this moment, the thick wall was finally chiseled open by [Xiao Bao], who pushed hard and caused large chunks of cement bricks to fall down. Worried about exposure, he reached out to catch them. The head of security compromised, making excuses to dismiss his subordinates. Meanwhile, [Xiao Bao] had already entered the safe deposit room, holding a detector to locate the Wings of Destiny.
0:17:14|0:17:29|He had just found out that the head of the security team outside had already arranged for his men to open the door of the safe. In this way, [Xiao Bao] was only a wall away from the security guards and police, but he was unaware that he was already in danger, as he continued to observe the safe on his own.
0:17:30|0:17:36|At this moment, the door of the safe vault rattled, and the [security guard] was unlocking it outside, only then did [Xiao Bao] react.
0:17:37|0:17:43|He quickly took out the lock-picking tool and inserted it into the lock of the safe, with a progress bar displayed on the screen.
0:17:43|0:18:6|[Pierre] stood at the door anxiously waiting, but the lock on the warehouse was unusually complex. [Xiao Bao], however, remained calm, risking being caught as he waited for the safe to be unlocked. The progress bar for [Xiao Bao] had only reached over 70%, while the security guard at the door was still struggling with the lock. [Pierre] was becoming impatient, but at that moment, [Xiao Bao]'s progress bar quickly reached 100%.
0:18:6|0:18:17|He and [Security Guard] almost simultaneously unlocked the lock. When the warehouse door opened and the lights came on, [Pierre] and [Security Guard] rushed in, only to see a hole in the wall and the open safe.
0:18:31|0:18:38|[Lao Mo] disguised as a waiter, carrying a wine glass towards Miss [Tingting], but deliberately spilled the wine. [Zhang Dan] then stepped forward and handed a handkerchief to [Tingting].
0:18:45|0:18:56|At this moment, [Xiao Bao] escaped to the underground parking lot with the Wing of Destiny. [Ye Hong] parked her car next to [Xiao Bao], and they drove away together. Meanwhile, [Zhang Dan] was still chatting up [Tingting].
0:19:4|0:19:31|[Zhang Dan] quietly threw a smoke bomb under his feet, filling the whole room with white smoke. The guests screamed and chaos ensued, but [Zhang Dan] remained calm, with a determined look in his eyes. Meanwhile, [Xiao Bao] and [Ye Hong] drove out of the parking lot, only to encounter [Pierre] blocking their way. Startled, [Xiao Bao] shouted, "Ye Hong!" Ye Hong stepped on the gas, crashing through the barrier at the entrance of the parking lot and speeding away.
0:19:33|0:19:57|The police were also scared and kept retreating. [Pierre] had to stop a passing car. At that moment, [Tingting] was escorted by security guards to escape from the back door. Suddenly, her assistant exclaimed, "Oh no!" [Tingting] then realized that her necklace was missing, while the culprit [Zhang Dan] was still lingering in the hotel. [Ye Hong] was speeding through the city, completely ignoring the public facilities around her.
0:19:57|0:20:10|And [Pierre] continued to pursue relentlessly. Passing by a construction site, [Pierre] made a sharp turn to avoid it, while [Ye Hong] accelerated and crashed into it. The dirt from the excavator was poured all over [Ye Hong]'s car, making it dirty and messy.
0:20:10|0:20:21|When driving down a one-way street, [Ye Hong] left [Pierre], who was almost catching up, behind. However, shortly after, [Pierre] aggressively steered the wheel and rushed forward, about to shout for [Ye Hong] to stop the car.
0:20:22|0:20:56|[Ye Hong] turned a deaf ear and took a turn onto another road. [Pierre] hurried to catch up. Unable to hold back, [Ye Hong] said, "[Pierre] had to reverse due to circumstances." They drove recklessly, swerving and crashing into things. Two vans appeared in front of them, and [Pierre] couldn't avoid them, so he had to veer towards a nearby shop. Pedestrians scattered in fear. Finally, at an intersection, [Pierre] blocked [Ye Hong]'s path.
0:20:56|0:21:21|[Ye Hong] didn't stop, gritted her teeth and rushed forward. A passerby was scared and shouted, but [Pierre] followed [Ye Hong] all the way. [Ye Hong] couldn't shake off this tailgater. The two of them raced swiftly on the mountain road, with [Pierre] looking for opportunities to overtake along the way, but [Ye Hong] easily blocked him every time. [Xiao Bao] in the passenger seat couldn't take it anymore.
0:21:21|0:21:39|After a long period of high-speed driving, he felt dizzy and nauseous. As the car entered a tunnel, [Xiao Bao] resisted the urge to vomit, his face turning red with the effort. He turned around in the back seat, grabbed his suitcase, and took out the weapons inside.
0:21:39|0:22:1|He turned to look at [Ye Hong], who anxiously pointed behind him, urging him to hurry. [Xiao Bao] climbed out of the skylight and aimed at [Pierre]. Seeing this, [Pierre] hurriedly pulled out his gun, ready to take the first shot. Unexpectedly, his bullet missed, but [Xiao Bao] accurately hit [Pierre]'s car. In an instant, [Pierre]'s car flipped over, its roof hitting the ground, sparking as it moved forward several meters.
0:22:2|0:22:8|[Xiao Bao] returned to the car, and [Ye Hong] couldn't help but exclaim:
0:22:15|0:22:25|[Xiao Bao] weakly said, leaning his head back on the seat and closing his eyes, while [Ye Hong] gradually slowed down and leisurely moved forward on the winding mountain road.
0:22:49|0:23:11|[Lao Mo] watched as [Zhang Dan] walked away without saying a word. Meanwhile, [Ye Hong] and [Xiao Bao] had already arrived at the agreed location, waiting boredly for [Zhang Dan]. Finally, [Zhang Dan] arrived on a motorcycle, and as soon as [Xiao Bao] saw her, he got off the bike with a big smile. [Zhang Dan] opened her arms with a smile, and [Xiao Bao] ran up to hug her, both of them excitedly shouting.
0:23:42|0:24:2|[Ye Hong] snatched the motorcycle key that [Zhang Dan] handed to [Xiao Bao], gave a smug look to [Xiao Bao], walked towards the motorcycle, mounted it with a confident stride, excitedly inserted the key, started the motorcycle, held a helmet with one hand, leaned forward, twisted the motorcycle handle, feeling the braking of the motorcycle.
0:24:2|0:24:22|Suddenly, a helicopter flew in from behind. [Ye Hong] stopped in her tracks and stood still. She saw [Zhang Dan] sitting in the pilot's seat, smiling at her. Beside her, [Xiao Bao] made a heart gesture towards [Ye Hong]. Angered, [Ye Hong] made a disdainful gesture towards the two. The helicopter soon took off, leaving [Ye Hong] behind.
0:24:22|0:24:28|Shortly after, the news began to report a car accident that happened during the day, and the police closed off the tunnel.
0:25:39|0:25:43|[Pierre] showed a helpless expression, got up from the chair, and walked out the door.
0:25:45|0:25:53|In the museum, [Zhang Dan]'s ex-girlfriend [Amber] pointed a laser at an ancient painting and said:
0:26:25|0:26:34|[Amber] left the museum, only to find [Pierre] waiting at the entrance. He showed his police badge, greeted [Amber], and identified himself.
0:26:49|0:26:55|[Pierre] asked [Amber] if she knew [Zhang Dan], [Amber] glanced at the photo and said, "She asked if it was stolen by [Zhang Dan]."
0:27:51|0:28:18|Night falls, a street lamp illuminates the dark street. [Amber] walks into her house, turns on the hallway light, and casually throws the keys on the table. She then enters the kitchen, looking exhausted, and sets down her backpack. The room is dimly lit, making [Amber] appear lonely. She opens the fridge, takes out a nearly empty bottle of red wine, and closes the fridge door.
0:28:18|0:28:38|On the other side, [Pierre], with a worried look on his face, poured himself a glass of wine and drank it without hesitation. The wine choked him, causing him to frown. As he lowered his head, he saw a small spider on the table. He used the glass to trap the spider on the table and imagined the spider as [Zhang Dan], muttering to himself:
0:28:40|0:28:59|Later, [Amber] nodded and poured the last of the red wine from the bottle into a glass. Her lonely expression was reflected in the window. She placed the empty bottle on the floor, and as the camera pulled back, countless empty bottles covering the floor came into view.
0:28:59|0:29:13|[Amber] sat on the floor, staring out of the window in a daze. Then she took out the business card of [Pierre] from her pocket, gazing at it for a long time, struggling internally. She then continued to look out the window, lost in thought.
0:29:13|0:29:22|On the other side, [Pierre] was still playing with the spider when his phone rang. He answered the call, and [Amber] said on the other end:
0:29:33|0:29:41|Pierre did not answer, but simply moved the glass on the table and let the little spider go.
0:29:48|0:29:53|At this moment, Zhang Dan and Xiao Bao have arrived in Prague, Czech Republic, ready to proceed with their next plan.
0:29:53|0:30:18|At dusk, a bus drove through the bustling streets of Prague, stopping at a platform where waiting passengers crowded on. [Zhang Dan] and [Xiao Bao] slowly got off the bus from the back door and headed straight to a Chinese restaurant named Purple Qi Coming. An old man with a white beard walked out of the restaurant, quickly locking eyes with [Zhang Dan], then hurriedly left.
0:30:18|0:30:24|At this moment, [King Kong] revealed his muscular arms, polishing a stick with a machine.
0:30:28|0:30:42|[Zhang Dan] and [Xiao Bao] arrived at a night market, where a man approached them and told them that Uncle Gang was waiting for them. They entered a room and saw a tightly locked door. They knocked on it, and the person inside opened a small window on the door, looked at them coldly, and then opened the door for them to enter.
0:30:43|0:30:51|[King Kong] stopped his work, turned around and walked towards [Zhang Dan], giving him a big hug.
0:30:54|0:31:15|[Zhang Dan] gestured to [Xiao Bao] behind him, who handed over a cloth bag. [King Kong] opened the bag and took out the Wing of Destiny. Satisfied, [King Kong] put away the Wing of Destiny, then turned and walked towards the safe. [Zhang Dan] picked up the Russian nesting dolls on [King Kong]'s desk and asked:
0:31:30|0:31:35|The two exchanged pleasantries, [King Kong] took an envelope from the safe and locked the door.
0:31:48|0:32:3|[Zhang Dan] took the envelope and pulled out the check to take a look. Perplexed, he showed the amount to [King Kong], realizing it was a bit short. [King Kong] handed [Zhang Dan] a set of Russian nesting dolls.
0:32:21|0:32:25|[Zhang Dan] opens the Matryoshka doll, inside which a person's tongue is preserved in a glass bottle.
0:32:44|0:32:54|[King Kong] pretended to be mysterious, took off his glasses and said:
0:33:7|0:33:22|[Zhang Dan] looked shocked, leaned back in the chair, then smirked with red eyes. [Zhang Dan] regained composure, with a fierce look in his eyes.
0:33:39|0:33:46|[Zhang Dan] lowered her eyes and furrowed her brows, while [King Kong] turned his head and fiddled with the nesting dolls on the table.
0:34:2|0:34:20|[King Kong] smiled, [Zhang Dan] said: [Zhang Dan] was still immersed in sorrow and anger, his voice choked. After leaving, [Zhang Dan] and [Xiao Bao] walked on the street.
0:34:37|0:34:44|[Zhang Dan] turned his head and saw a person wrapped up tightly following them on the street.
0:34:51|0:35:19|The two of them reached a fork in the road and split up instinctively. [Zhang Dan] jogged to a bus stop, where he joined the crowd waiting and boarded the bus. The crowded bus had people standing in the aisle, but [Zhang Dan] made his way in and found a seat with fewer people. Leaning against a handrail, the bus started moving unsteadily. [Zhang Dan] glanced at the rearview mirror and noticed the pursuer had also boarded the bus.
0:35:19|0:35:28|The tracker approached [Zhang Dan], and when [Zhang Dan] took a closer look, he realized it was actually [Amber]. He smiled with joy.
0:35:50|0:36:10|During the conversation, [Amber] secretly placed a chip on [Zhang Dan]'s phone. [Zhang Dan]'s eyes gradually moistened as he solemnly said, "Amber's words hurt him." His expression instantly turned cold, and he turned and left.
0:36:10|0:36:15|Car. [Amber] stood still, stunned by the back of [Zhang Dan].
0:36:15|0:36:30|Tears welled up in her eyes as a car parked under the street lamp. [Pierre] and [Amber] were hacking into [Zhang Dan]'s phone on a laptop. [Pierre] opened the photo album, revealing pictures of [Amber] and [Zhang Dan] in love.
0:36:31|0:36:50|[Pierre] glanced at [Amber], made a witty remark, [Amber] awkwardly rolled her eyes, [Pierre] looked at the photos and surprisingly enjoyed them, [Amber] quickly interrupted him and asked him to try another folder, [Pierre] tactfully stopped and [Amber] pulled a chair over and sat down.
0:36:50|0:36:58|[Pierre] found a dynamic image of GAIA in the folder and blurted out, to which [Amber] nodded and said:
0:37:2|0:37:10|At the same time, Zhang Dan discovered the chip on the phone.
0:37:23|0:37:43|[Xiao Bao] had just finished speaking when a motorcycle approached at the end of the tunnel. The headlights shone on Xiao Bao's puzzled face. [Ye Hong] stopped in front of them, took off her helmet, and shook her long hair confidently. Xiao Bao couldn't help but show a silly smile at Ye Hong, only coming to his senses under [Zhang Dan]'s gaze.
0:37:43|0:37:50|The next day, Zhang Dan, Ye Hong, and Amber drove past a field of sunflowers, the sunlight shining down beautifully.
0:37:50|0:38:12|[Zhang Dan] parked the car on the side of the road, turned around and stretched, saying to [Xiao Bao] behind him. He pushed open the car door, got out of the car, walked into the sunflower field, pushed aside the sunflowers as tall as a person and walked towards the depths. Inside the car, [Xiao Bao] leaned forward and said to the absent-minded [Ye Hong]. [Xiao Bao] took off his sunglasses and said:
0:38:18|0:38:30|[Ye Hong] rolled her eyes and looked at [Xiao Bao]. [Xiao Bao] mysteriously took out a small urination device from his bag and handed it to [Ye Hong]. [Ye Hong] looked puzzled and asked:
0:38:42|0:38:48|She rolled her eyes and turned her body to the other side, just then [Zhang Dan] came back.
0:38:56|0:39:24|[Ye Hong] snatched the tool from [Xiao Bao]'s hand and threw it out of the window in one swift motion, disappearing in the blink of an eye. Afterwards, the three of them drove the car to a quiet forest. [Zhang Dan] was the first to get out of the car. He squatted down in front of an open space, picked up the binoculars hanging around his neck, and observed the front. [Xiao Bao] and [Ye Hong] followed closely behind, approaching to look in the direction of [Zhang Dan]'s gaze.
0:39:24|0:39:41|[Xiao Bao] took out a box containing a high-tech aerial drone and monitor. He handed the monitor to [Zhang Dan], then threw the round aerial drone into the air. The drone unfolded three propellers in the air and flew off into the distance.
0:39:41|0:39:48|From the aerial view of a drone, a castle is nestled among the trees, beautiful and mysterious.
0:39:48|0:39:59|[Xiao Bao] returned to [Zhang Dan] and [Ye Hong], squatting down beside them. The three of them stared at the monitor screen together, with [Zhang Dan] controlling the direction of the drone. Finally, they captured the figure of the owner at the entrance of the castle.
0:40:6|0:40:31|[Ye Hong] confidently agreed, [Zhang Dan] gave her a thumbs up, and the three of them split up. [Ye Hong] returned to the car and took out a handbag from the back seat. [Zhang Dan] ran all the way to the castle, hiding in the bushes to observe the surroundings. [Xiao Bao] stayed in place, continuing to use the drone to survey the area around the castle. After a thorough scan, the monitor displayed a dense array of surveillance cameras.
0:40:31|0:40:44|In the setting around the castle, [Ye Hong] put on a pair of black-framed glasses at this moment. She pulled down the collar of her dress, revealing a side of her fragrant shoulder, and walked towards the castle calmly and confidently.
0:40:44|0:40:50|On the other side, [Zhang Dan] was using binoculars to observe the castle at close range and also noticed the tight surveillance.
0:40:51|0:41:13|The owner of the castle, [Charlie], dressed in sportswear, jogged into the woods surrounded by bodyguards. [Ye Hong] took a small dog out of her bag and walked towards [Charlie] and his group. [Charlie] was holding a big black dog and when he saw [Ye Hong], he shouted at her. [Charlie] quickly grabbed the leash, and [Ye Hong] deliberately made a scared expression.
0:41:13|0:41:21|While soothing the small dog in her arms, she turned and walked away. [Charlie]'s gaze, however, stayed fixed on her.
0:41:37|0:41:47|[Zhang Dan] and [Ye Hong] got on the car, leaving [Xiao Bao] standing alone in a daze. Later, [Pierre] arrived at [Charlie]'s company and approached to stop [Charlie] who was about to enter the company.
0:41:52|0:42:12|[Charlie] nodded, [Pierre] said: [Charlie] glanced at the person beside him and sneered, [Pierre] reminded him that these people were not ordinary thieves, and told him that they had already obtained the other two parts of GAIA, leaving only the Spring of Spirits. [Charlie] was extremely arrogant.
0:42:22|0:42:46|[Charlie] bid farewell to [Pierre], arrogantly put on sunglasses and turned away. [Pierre] muttered helplessly, then [Charlie] arrived at his own vineyard, where various distinguished guests were gathered. Accompanied by two bodyguards, [Charlie] walked in and clinked glasses with every guest he passed. As he turned a corner, he suddenly stopped and looked back.
0:42:47|0:43:8|[Ye Hong] was holding a glass of red wine in the dark, carefully tasting the wine. [Charlie] looked at her affectionately and walked up to her, saying, "[Ye Hong]" showed a charming smile. [Charlie] looked at her admiringly, but [Ye Hong] showed a displeased expression towards the wine in the glass.
0:44:3|0:44:12|[Charlie] smiled broadly, mysteriously pulled out his phone from his pocket, and then opened a music app.
0:44:24|0:44:41|[Charlie] looked expectantly, [Ye Hong] pouted and after a moment of serious consideration, said: [Ye Hong] turned around and left gracefully, leaving [Charlie] behind feeling pleased with himself.
0:44:41|0:44:56|In a luxury suite of a hotel, [Zhang Dan] is tirelessly studying the castle, with three monitors displaying formulas next to a notebook. [Ye Hong] is leisurely lying on the sofa with a face mask on, while [Xiao Bao] asks:
0:45:12|0:45:16|As soon as the words fell, a text message came from [Charlie], followed by a phone call. [Ye Hong] looked smugly at [Xiao Bao].
0:45:34|0:45:41|[Zhang Dan] hurriedly came over and made an OK gesture to [Ye Hong],
0:46:6|0:46:10|Facing the innocent Xiao Bao, Zhang Dan couldn't help but laugh and stood up to pat his shoulder.
0:46:12|0:46:25|On the agreed date, a small car drove on the mountain road, with the castle on the mountaintop towering majestically among the trees, looking grand and magnificent from afar.
0:46:25|0:46:31|The small car stopped in the woods near the castle, with [Pierre] and [Amber] sitting inside.
0:46:43|0:46:51|After saying that, both of them laughed. [Pierre] took out a telescope and observed ahead, while [Amber] asked expressionlessly:
0:47:2|0:47:32|Pierre's emotions were suddenly ignited. He pushed open the car door, got out of the car, leaned against the front of the car to continue observing the movement of the castle. [Amber] also got out of the car closely behind him. After closing the car door, she put her hands in the pockets of her trench coat, slowly walked to Pierre's side, and finally said: Pierre put down the binoculars, calmed his emotions, sighed, and said:
0:47:45|0:48:11|Pierre was lost in memories, his barely conscious face reflected in the shattered rearview mirror. Suddenly, [Zhang Dan] appeared and slowly climbed into the overturned and scrapped police car. With all his strength, Zhang Dan shouted as he dragged the unconscious Pierre out. He moved Pierre's heavy body to a safer distance, and soon after, the police car exploded.
0:48:14|0:48:31|[Zhang Dan] was knocked out and flew out, with broken stones scattered all over the ground. He staggered to his feet, only to be knocked down by a mysterious person riding a motorcycle, and he passed out. After getting what he wanted, the person did not leave but instead stopped and took the Forest Eye from [Zhang Dan]'s pocket.
0:48:31|0:48:38|He spat on the unconscious Zhang Dan with a patterned tongue, then rode away on a motorcycle.
0:48:40|0:48:51|Several police cars arrived late, completely unaware of the motorcycle. Pierre woke up at the sound of the sirens, with Zhang Dan lying on the ground beside the shattered car.
0:49:6|0:49:14|Pierre finished speaking, then turned to look at [Amber] with eyes filled with anger and determination.
0:49:14|0:49:20|[Amber] understood Pierre's determination and nodded knowingly. As she came to her senses,
0:49:20|0:49:31|Pierre picked up the binoculars and saw a car approaching in front of the castle. A man opened the back door, and out came Ye Hong. Pierre recognized her at a glance.
0:49:36|0:49:56|[Ye Hong] followed the bodyguard into the castle, wearing glasses with a recording function. She then adjusted the angle of the surveillance and asked [Zhang Dan], adjusting her glasses frame. [Zhang Dan] and [Xiao Bao] in the hotel could see everything [Ye Hong] could see through the monitor clearly.
0:49:56|0:50:4|The two carefully observed the structure of the castle, with [Ye Hong] slowing down her pace and not missing a single detail.
0:50:12|0:50:31|Before long, [Ye Hong] arrived at [Charlie]'s office, where a servant brought out exquisite tea set to entertain [Ye Hong]. The office was decorated in a classical and luxurious style, and the two sat facing each other across the desk. [Zhang Dan] and [Xiao Bao] listened attentively at the other end.
0:51:27|0:51:33|Charlie was stunned, but he was completely unguarded against Ye Hong and blurted out without much thought.
0:52:20|0:52:28|[Charlie] aimed a remote control at a stone statue and pressed a button, the door of the secret room creaked open.
0:52:32|0:52:40|[Ye Hong] held a machine ball in the hand behind her.
0:52:50|0:52:57|A large black dog suddenly appears,
0:53:4|0:53:8|[Ye Hong] adjusted her glasses and smiled patiently.
0:53:16|0:53:29|[Ye Hong] took out a camera from her bag, while [Charlie] proudly stood next to the Fountain of Spirits, striking various poses.
0:53:34|0:53:40|[Charlie] always obliges [Ye Hong], turning around to press his hand against the glass. Only the fingerprints of all ten fingers can open the glass door.
0:54:5|0:54:13|[Ye Hong] turned and walked to the door, looked up at the surveillance camera above, and stood on the ladder.
