0:1:6|0:1:11|At this moment, they are conducting physical training around the training ground.
0:11:39|0:11:46|At this moment, Yang Hui is secretly holding the scissors and cutting her hair in front of the mirror, with a serious and mysterious expression.
0:11:46|0:11:58|Just as [Liu Li] was about to climb over the roof, Yang Hui's mother noticed that the scissors were missing.
0:11:58|0:12:1|In the chaos, the scissors fell to the ground, but [Liu Li]'s mother suddenly entered the room.
0:12:13|0:12:23|The tragic mother and daughter embraced tightly, with Yang Hui's mother picking up the scissors helplessly, carefully trimming Yang Hui's uneven hair, shedding tears and blaming Yang Hui at the same time.
0:12:26|0:12:31|And Yang Hui also shed tears, holding up a mirror to look at her tomboyish appearance.
0:12:31|0:12:37|The chaotic thoughts were brought back to reality, only to see the new coach, Han Bing, standing in the indoor training ground.
0:12:37|0:12:47|The training props were randomly placed by the students, with specialized foot bars and gloves on the ground, and four tires stacked very solidly, already half the height of Han Bing.
0:12:47|0:13:2|He stood there lost in thought for a moment, first lying quietly on the tire, his eyes aimlessly staring at the ceiling, then suddenly getting up and walking to another place. He casually picked up a footrest and vigorously gestured a few times towards Quanxing.
0:13:2|0:13:9|Finally, he stood in the center of the training ground, looked around, placed his hands behind his back, and walked calmly towards the outdoors.
0:13:9|0:13:12|Outside the window, thunder was rumbling, and the students were all standing on the runway.
0:14:8|0:14:13|Upon hearing this, the team of [Liu Li] and Chen Jia started to play around, gesturing for the other to go up first.
0:14:13|0:14:17|Han Bing called out to Chen Jia, and the smile on Chen Jia's face instantly froze.
0:14:23|0:14:30|Han Bing viciously kicked Chen Jia's shin, causing Chen Jia to almost fall down. Han Bing then walked away slowly.
0:14:30|0:14:34|The assistant coach has been drenched in the rain, while Han Bing continues to shout Yang Hui's first love.
0:15:2|0:15:8|In the end, Yang Hui screamed and kicked towards him, Liu Li wiped away the rain, and the next second, Yang Hui stood in the rain.
0:15:12|0:15:22|Yang Hui got up discontentedly and returned to the team, while [Liu Li] clenched her fists secretly and made a cheering gesture. However, she was pushed away by Yang Hui, and then Han Bing stood in front of [Liu Li].
0:15:25|0:15:28|Liu Li still had a look that seemed unrelated to herself.
0:15:44|0:15:50|Han Bing kicked [Liu Li] in the leg, causing [Liu Li] to stumble and fall to the ground.
0:15:57|0:16:1|[Liu Li] knelt on the ground, with an attitude that was completely at odds with Han Bing.
0:16:1|0:16:14|Unexpectedly, she then changed her posture, first crossing her legs, and then sang "Conquer" passionately, raising her head and singing loudly, even spitting on the ground, leaving Han Bing at a loss.
0:17:1|0:17:6|Han Bing's gift was unforgettable for a lifetime.
0:17:13|0:17:19|In the midst of it all, even the strongest man can't bear it.
0:17:24|0:17:27|The scene cuts to Liu Li returning to the dormitory and lying on the sofa.
0:17:27|0:17:31|Yang Hui tried to help her change out of the stone clothes, but was forcefully pulled away by [Liu Li].
0:17:59|0:18:1|[Liu Li] let out a long sigh after speaking.
0:18:1|0:18:7|At night, Yang Hui limped into the laundry room with her injured foot, only to come across Han Bing lying on the table reading a book.
0:18:7|0:18:11|Yang Hui turned and walked away as if she had seen a mortal enemy, and Han Bing turned back and glanced after hearing it.
0:18:22|0:18:33|Han Bing furrowed her brows, got up from the table neatly, and walked over to [Yang Hui] in a straightforward manner. Faced with her question about death, [Yang Hui] was momentarily speechless.
0:18:36|0:18:40|Han Bing snatched the laundry detergent from [Yang Hui]'s hand and threw it directly on the ground.
0:18:41|0:18:46|[Yang Hui] was momentarily stunned, awkwardly pursed her lips, and nervously held the hem of her clothes without daring to look directly at her.
0:18:46|0:18:51|Han Bing didn't speak, but instead took out all the clothes from the washing machine next to him.
0:18:51|0:18:55|Later, she walked up behind [Liu Li], clapped her hands, and put her hands in her pockets.
0:18:58|0:19:2|[Yang Hui] stood with his hands behind his back, looking like a guilty child.
0:19:2|0:19:5|Han gave Liu Li a cold glance before putting down the magazine.
0:19:7|0:19:9|[Yang Hui] stood in place and scratched her head.
0:19:11|0:19:15|[Yang Hui] then dragged her injured leg with all her strength to walk up to him.
0:19:15|0:19:23|Han Bing put down the magazine with a cold expression, only to see the empty space on the table being used by [Yang Hui] to prop up her feet.
0:19:26|0:19:30|Han Bing lifted her leg directly, [Yang Hui] showed no willingness and remained silent.
0:19:30|0:19:33|Just then, a dark figure appeared at the door, it was [Liu Li].
0:19:35|0:19:38|[Yang Hui] glanced at Han Bing and put down her leg.
0:19:41|0:19:45|[Yang Hui] pushed Han Bing away, flexibly moved her legs aside, and walked to the washing machine.
0:19:45|0:19:51|Han Bing's good intentions were misunderstood, she was just tidying up the books in her hands and continued speaking.
0:19:55|0:19:59|After speaking, Han Bing left the laundry room without looking back.
0:19:59|0:20:10|Standing at the door, [Liu Li] heard these words, walked into the laundry room and glared fiercely at Han Bing, secretly made a boxing gesture to vent his dissatisfaction, and muttered a few words under his breath.
0:20:10|0:20:15|Later, she walked up to [Yang Wei] with her hands in her pockets, noticing he was lost in thought, and snatched the laundry detergent from his hands.
0:20:21|0:20:26|[Liu Li] put the laundry detergent aside and the two fell silent for a moment. Unable to hold back, [Liu Li] spoke up.
0:20:28|0:20:31|[Yang Hui] put down the clothes in her hand, chuckled, and retorted.
0:20:37|0:20:39|[Liu Li] gave [Yang Hui] a glance.
0:20:41|0:20:45|In the end, [Liu Li] continued to put clothes into the washing machine, with a sense of calm and disdain in her expression.
0:20:56|0:21:0|[Liu Li] suddenly slams the washing machine shut, making a loud, heavy noise.
0:21:13|0:21:17|Liu Li gazed in silence, while Yang Hui defended herself once again.
0:21:18|0:21:21|[Liu Li] looked at her in astonishment, as if she had just heard a joke.
0:21:24|0:21:25|There was a hint of shyness in [Liu Li]'s eyes.
0:21:25|0:21:27|[Yang Hui] turned her head and smiled playfully.
0:21:55|0:22:2|The two of them finished speaking and leaned against each other, almost falling to the ground.
0:22:2|0:22:3|Han Bing remained silent after listening and continued to ask questions.
0:22:3|0:22:6|[Liu Li] was being lazy and didn't give Han Bing any face, answering listlessly.
0:22:36|0:22:40|So this level is also known as the death level.
0:22:50|0:23:1|[Liu Li] had a determined expression. The next morning, just as the day was breaking, she led the students in a devilish morning run on the main road, riding a bicycle at the front of the group while everyone followed behind her.
0:23:1|0:23:8|She urged every student to go faster, even faster. Liu Li ran at the forefront of the team to prove herself.
0:23:8|0:23:9|They crossed the pedestrian crossing.
0:23:9|0:23:13|Crossing the road, circling around and around, then running into the wild grass by the roadside.
0:23:14|0:23:19|Liu Li was sometimes at the front of the line and sometimes at the back, catching students who fell behind.
0:23:19|0:23:24|Some students have clearly been through a lot, but Liu Li still doesn't let them off the hook.
0:23:24|0:23:28|The winter morning light shone on them, but these students didn't feel any warmth.
0:23:28|0:23:33|They moved forward like puppets, with loose and disorderly movements.
0:23:33|0:23:39|My ghostly training is hard for everyone to bear, but everyone is holding on and moving forward.
0:23:39|0:23:42|[Liu Li] looked pale at this moment, with her teammates trying to talk to her on the side.
0:23:50|0:23:56|The Birdman sat down by the roadside, panting heavily, when Yang Hui ran back and desperately grabbed Liu Li.
0:24:56|0:25:2|For three consecutive days, a marathon each day, the cold ice is pushing me like a devil.
0:25:31|0:25:37|Whenever [Liu Li] is too tired to go on, Han Bing will carry the bicycle and try to ride over her.
0:25:37|0:25:40|[Liu Li] had to obediently eat and continue running.
0:25:40|0:25:47|It was a cold winter day in the thirteenth month. [Liu Li] was wearing a down vest, while Han Bing was only wearing a thin hoodie.
0:25:47|0:25:52|[Liu Li] kept hearing Han Bing's voice in her ear, urging her to get up and continue.
0:25:52|0:25:59|Whenever [Liu Li] collapses on the grass with a heartless expression, Han Bing will find ways to help her up, looking frustrated at her lack of progress.
0:26:0|0:26:19|Sometimes even Han Bing himself is exhausted and falls down with [Liu Li], but he still manages to pull [Liu Li] up, determined to crawl to the finish line.
0:26:19|0:26:25|Han Bing was furious, while [Liu Li] was lying on the grass at this moment, using the weak force brought by the support of both elbows to move forward.
0:26:31|0:26:37|[Liu Li] gritted her teeth, tearing at the grass with her hands, blood from the wounds on her hands leaving a trail as she crawled, her face contorted in a fierce grimace as she let out a howl.
0:26:48|0:26:53|At this moment, [Liu Li] couldn't tell if it was sweat or tears, feeling like there were always droplets on his face.
0:26:53|0:26:59|One step, two steps, three steps, Han Bing showed no intention of stopping him, just telling him that this was the last twenty meters.
0:27:10|0:27:17|Liu Li climbed up with a furrowed brow, maintaining the original posture, and completed the final 20 meters with the last bit of strength.
0:27:17|0:27:25|Later, he buried his head in the grass, completely unable to get up, his hands leaving bloodstains from long-term friction with the ground.
0:27:25|0:27:29|Han Bing stood behind him, letting him vent freely, but it was of no use.
0:27:31|0:27:35|[Liu Li] is exhausted, so tired that even breathing is difficult.
0:27:35|0:27:37|Finally, the training is over, and she returns to the dormitory.
0:27:50|0:27:54|The angry roar silenced everyone. [Liu Li]
0:27:54|0:27:58|He walked under the shower head, turned on the tap, and took a shower without even taking off his clothes.
0:27:58|0:28:2|A stream of water lay on Liu Li, swallowing the last warmth of the body.
0:28:13|0:28:20|At this moment, Yang Hui was casually drying her hair, showing no concern at all, without a hint of comforting Liu Li.
0:28:20|0:28:27|Liu Li's face is covered with weeds and scars, she throws the headband on the ground.
0:28:52|0:28:55|[Liu Li] shook her head with her hands on her head, making a heavy compromise.
0:29:1|0:29:4|Yang Hui ignored [Liu Li] and let her hammer the gun with her fists.
0:29:11|0:29:15|Liu Li flashes back to the scene of practicing fencing in his childhood.
0:29:15|0:29:25|It was a cold winter day, the ground covered in ice. [Liu Li] and Yang Hui's cheeks were frozen pale, both wearing ice skates and holding slender bamboo poles.
0:29:25|0:29:29|The old man with a forked beard in front used a flowing sword technique, catching Liu Li off guard.
0:29:29|0:29:34|This is Liu Li's grandfather, Yang Hui blocked left and right, but he accidentally found a loophole.
0:29:35|0:29:51|Grandpa made a swift and mocking move, taking quick steps to press [Liu Li] and Yang Hui. His swordsmanship was light as a butterfly's dance, fast as the wind's strike. [Liu Li] thrust towards him with all her might, but Grandpa dodged, causing her to miss and fall hard to the ground.
0:29:59|0:30:6|Lost in thought, [Liu Li] walks aimlessly on the training ground, looking burdened and deep in contemplation.
0:30:6|0:30:16|Strangely, after extreme fatigue and angry outbursts, there gradually arose a sense of self-conquest.
0:30:20|0:30:32|As time passed, [Liu Li] and Yang Hui gradually got used to the harsh training like ice-cold devil, repeating high-intensity physical training every day, rolling tires to kick legs, pulling tires, shouting exercises, etc.
0:30:32|0:30:37|To enhance explosiveness on the field, vocal training is essential for [Liu Li].
0:30:37|0:30:40|They have had thoughts of giving up more than once, but they have also persisted.
0:31:34|0:31:43|The tears of the two rolled in their eyes, and after suddenly being stopped, they fell to the ground and simply didn't get up.
0:31:54|0:32:6|It is often just a casual glance or a few words that fill their hearts with warmth, giving them the courage to face the next challenge.
0:32:7|0:32:11|[Liu Li] collapsed on Yang Hui's stomach, both too exhausted to get up.
0:32:11|0:32:15|At this moment, Liu Li is waiting for the assistant coach at another training ground.
0:32:15|0:32:19|She practices triple jump and hurdles while holding a stopwatch in her hand.
0:32:19|0:32:22|Even though she is on the training ground, her worries are elsewhere.
0:32:22|0:32:25|Just then, the assistant coach walked over.
0:32:45|0:32:53|The key is for the athlete to be fully focused, to adjust themselves in a short period of time, and to accept the challenge.
0:33:36|0:33:39|[Liu Li] couldn't eat, so she spit out the bread from her mouth.
0:34:15|0:34:25|[Liu Li] picked up a bucket of bottled mineral water and chugged it down vigorously, spinning a few times while drinking. After belching contentedly, Yang Hui was still not satisfied.
0:34:34|0:34:40|[Liu Li] compromised helplessly, gulping down another bottle of mineral water, spilling it all over the floor.
0:35:17|0:35:22|[Liu Li] was bouncing happily, and Yang Hui urged [Liu Li] to eat more for the competition.
0:35:22|0:35:31|However, in the equipment room on the other side, Han Bing was lying on a chair sleeping. She didn't know when she fell asleep, nor how long she had been sleeping.
0:35:31|0:35:51|At this time, there are still students training outside the equipment room. The students are enthusiastic in their training, but the shouting wakes up Liu Li. Liu Li struggles to get up, her tired face showing signs of fatigue. It seems that this place has not been cleaned for a long time, with leftover takeout boxes, training equipment, and computers scattered around.
0:35:51|0:35:57|She picked up the cup and drank all the water in one gulp, then put her hands in her pockets. After a moment of daze, she prepared to train the students.
0:35:58|0:36:5|In order to improve the practical combat skills of Taekwondo, sparring is often included in the training of Taekwondo athletes.
0:36:5|0:36:9|The most classic and brutal practice is when a man accompanies a woman in training.
0:36:9|0:36:16|Due to the inherent physical disadvantage and the fact that she is physically weaker than the boys, [Liu Li] and Yang Hui were beaten badly by a group of boys.
0:36:18|0:36:25|Liu Li first failed to control the distance properly, quickly got silenced, and then his leg movements were too slow to retract, getting caught and blocked without striking.
0:36:25|0:36:29|The lightweight male student Liu Li is fast, while the heavyweight male student is strong.
0:36:29|0:36:31|[Liu Li] and Yang Hui are clearly not their match.
0:36:31|0:36:36|However, there is no room for surrender in Han Bing's world, and she must persevere and train hard.
0:36:36|0:36:44|The students swiftly kicked and retracted their legs amidst shouts, with [Liu Li] and Yang Hui facing attacks from all directions.
0:36:44|0:36:53|At this moment, Han Bing stood on the side, using his foot to supervise other students practicing kicks. Even though they were all wearing protective gear, Liu Li and Yang Hui were still beaten black and blue.
0:36:53|0:37:2|Due to exhaustion, a beginner's high side kick knocked them both down. [Liu Li] crossed his arms to protect his head, but he still got kicked in the end.
0:37:2|0:37:9|The moment the head makes contact with the ground, there is a strong vibration, followed by a huge kinetic energy pulling the body rolling on the ground.
0:37:9|0:37:14|At this moment, before [Han Bing] harshly trained them and asked them to continue training, Liu Li had not yet done so.
0:37:32|0:37:35|[Han Bing] angrily stomped his foot on the ground and slammed it heavily.
0:37:42|0:37:47|[Han Bing] gave [Yang Hui] a hard knock on the head, and the surrounding students dared not speak.
0:37:47|0:37:49|[Yang Hui] faced the ground, starting to gasp.
0:37:49|0:37:54|[Han Bing] flashed a hint of pity in his expression, but still told the students around him to go back to training.
0:37:54|0:37:57|She got up without considering the two of them and left with just one sentence.
0:38:2|0:38:8|[Han Bing]'s words obviously didn't work, [Liu Li] and [Yang Hui] are still lying on the ground, holding hands across the distance.
0:38:8|0:38:11|Training with a man is a very cruel practice for a woman.
0:38:13|0:38:17|Liu Li looked down and saw that Yang Hui's feet were oozing a large amount of fresh blood.
0:38:17|0:38:20|She hurriedly rummaged through the wardrobe, angrily accusing [Liu Li].
0:38:52|0:38:57|[Liu Li] changed her clothes and ran towards the training ground, completely ignoring the injured Yang Hui.
0:38:57|0:39:5|After leaving the training ground, she fell hard, not caring about dusting herself off, because now she had to go smash Hanbing's bicycle.
0:39:5|0:39:8|[Liu Li] first threw the bicycle against the iron pillar and stomped on it a few times.
0:39:8|0:39:12|Yang Hui, who was rushed over by Wen Sheng, hopped over with a limp, and hurriedly stopped [Liu Li].
0:39:39|0:39:45|With a smile on her face, [Liu Li] led Yang Hui to the medical room.
0:40:25|0:40:27|He said.
0:40:31|0:40:35|The scene shifts, Han Bing is walking and chatting with the assistant coach.
0:41:16|0:41:23|On one side, the two exchanged smiles, while on the other side, Yang Hui and [Liu Li] were in the room, with [Liu Li] continuously pouring water from a bucket into her mouth.
0:41:53|0:41:58|[Liu Li] squatted down, rolled up Yang Hui's pants leg, carefully examined her wound, and asked.
0:42:0|0:42:3|Yang Hui shook his head awkwardly, with a somewhat dim gaze.
0:42:3|0:42:10|In the brutal training, even if one is careful to avoid, it is hard to escape the pain.
0:42:10|0:42:14|Besides, does Yang Hui, who seems so dull, really not feel any pain?
0:42:34|0:42:39|Between the windows, the horse passes by, the pig flows coins, and in the blink of an eye, the day of the competition is approaching.
0:42:39|0:42:45|[Liu Li], Yang Hui, and Han Bing flew through the clouds, but there was no excitement on their faces, only deep concern.
0:42:46|0:42:59|[Liu Li] and Yang Hui stared out of the window in a daze, while Han Bing flipped through the magazine in her hands.
0:42:59|0:43:10|Seagulls fly over the Wangyang Waterfall, as Liu Li and Yang Hui travel to Vancouver to bring glory to their country. This time they must win, and in the blink of an eye, they arrive at the competition venue.
0:43:16|0:43:21|The best player of the Chinese team participated in the World Taekwondo Championships held in Edmonton, Canada.
0:43:21|0:43:25|Chinese female athlete [Liu Li] and Yang Hui are the female team members with the best chance of winning the championship.
0:43:25|0:43:29|This is their scene in the competition.
0:43:29|0:43:35|Yang Hui used the horizontal stroke technique to hit the valid scoring area of American athlete Jesse Ba, gaining the lead in the first day of the competition.
0:43:37|0:43:42|Everyone cheered for the exciting outcome, and they were having a meal together in the restaurant where they lived.
0:43:50|0:43:57|[Liu Li] was stunned when she heard this, she turned to look at the uninvited guests behind her, realizing that a tough battle was about to begin.
0:43:57|0:44:6|She turned around, her face serious, and led Yang Hui to the control room.
0:44:7|0:44:10|Yang Hui dragged her injured leg and walked out.
0:44:25|0:44:30|Han Bin rolled up his pants, the wound glaringly exposed to the air.
0:44:30|0:44:33|Shortly after, Han Bin immediately took Yang Hui to the hospital for a check-up.
0:44:33|0:44:36|The doctor's words were undoubtedly a bolt from the blue for [Liu Li].
0:44:37|0:44:39|Her condition is medically known as depersonalization.
0:44:41|0:44:46|If he cannot regain his self-defense ability, he will miss the opportunity with Taekwondo.
0:44:46|0:44:51|Liu Li, who learned of the outcome, was at a loss, with his previous fierce and menacing demeanor completely gone.
0:44:51|0:44:59|[Liu Li] was downstairs and heard this conversation. It was as if her soul had been sucked out. Even when a doctor passed by and greeted her, she didn't react.
0:44:59|0:45:3|Shortly after, Han Bing quickly found the assistant coach to discuss countermeasures.
0:45:18|0:45:23|Fate has been too cruel to [Liu Li].
0:45:23|0:45:28|Just on the eve of the final battle, [Liu Li] lost the chance to advance.
0:45:33|0:45:36|For an athlete,
0:45:40|0:45:45|Yang Hui, however, seemed to be in a world of her own, determined to succeed.
0:45:45|0:45:48|In the hospital room, [Liu Li] is tidying up Yang Hui's hair.
0:46:3|0:46:9|[Liu Li] knew the seriousness of Yang Hui's illness. She took a step back and sat down, starting to educate others.
0:46:40|0:46:44|In Liu Li's mind, scenes of her childhood when she and Yang Hui became martial arts disciples flashed by.
0:46:47|0:46:49|Grandpa Liu Li held [Yang Hui]'s hand and asked.
0:46:52|0:46:55|At this moment, [Liu Li]'s mother appeared and pulled [Liu Li] aside.
0:47:44|0:47:48|[Yang Hui]'s mother couldn't believe it, she had been misunderstanding all along.
0:47:48|0:47:52|[Yang Hui] pushed the wheelchair and called out to the depressed Liu Li.
0:47:53|0:47:56|Liu Li came to her senses and wiped away the tears from the corner of her eyes.
0:47:56|0:47:59|Seeing her absent-minded look, [Liu Li] confidently comforted her.
0:48:17|0:48:22|Liu Li knew it well, but she still stopped in her tracks and angrily pounded the railing with her fist.
0:48:33|0:48:37|[Yang Hui] was angered by these words, pushing her wheelchair and stopping from walking out.
0:49:14|0:49:18|[Liu Li] couldn't resist him, and the just calmed emotions were ignited into anger again.
0:49:18|0:49:23|She hesitated, lightly patting [Yang Hui]'s shoulder, took a deep breath, and continued to push forward.
0:49:38|0:49:44|Yang Hui spoke while leaning on the railing, trying to find a fulcrum to stand on.
0:49:44|0:49:49|[Liu Li] forcefully pushes her down onto the wheelchair and shouts angrily at her.
0:49:49|0:49:54|On the other side, the coaches decided whether Yang Hui would participate in the competition by flipping a coin.
0:49:54|0:49:56|The room was filled with silence.
0:50:18|0:50:23|Obviously, Yang Hui will definitely participate in this competition, Han Bing is very conflicted, scratching his head in frustration.
0:50:23|0:50:28|Suddenly, the phone rang. Startled, [Liu Li] glanced at it and quickly got up to answer it.
0:50:47|0:50:59|Facing Yang Hui's resolute request to participate, it is unknown whether the superior leaders also softened their stance, deciding to allow her to compete and giving the athlete one final chance.
0:51:1|0:51:17|At this moment, [Liu Li] is helping Yang Hui change the gauze, but the wound shows no signs of improvement.
0:51:32|0:51:37|Yang Hui was stunned, staring straight at [Liu Li].
0:51:37|0:51:43|[Liu Li] lifted her head and met Yang Hui's eyes, her gaze like a hidden blade that made people dare not look directly at her.
0:51:43|0:51:48|The usually bold Liu Li also admitted defeat this time, and then she stood up after calming down a bit.
0:51:56|0:52:0|[Liu Li] did not get angry and continued to help her organize her clothes.
0:52:0|0:52:2|The two of them faced each other in silence.
0:52:2|0:52:6|Yang Hui pursed her lips, glaring at [Liu Li] with a murderous look in her eyes.
0:52:14|0:52:22|After speaking, [Liu Li] stood still and turned towards the washstand, supporting the table with both hands, pondering why [Yang Hui] was ungrateful, as if she had a deep-seated hatred towards her.
0:52:59|0:53:2|[Liu Li] rolled her eyes as Han Bing walked up to her with hands on hips.
0:53:36|0:53:45|The tense atmosphere between the two escalated, as Han Bing was about to drag her to the door, [Liu Li] pushed him away.
0:53:45|0:53:50|[Liu Li] pointed to the door, shaking her head as she spoke.
0:53:50|0:53:54|Han Bing and [Liu Li] no longer face each other directly, but instead move around to her back to listen to her speak.
0:54:11|0:54:16|With a scream from [Liu Li], Han Bing's hand landed on her face, delivering a hard slap.
0:54:16|0:54:20|Han Bing hesitated for a few seconds, still not realizing what she had just done.
0:54:20|0:54:23|Then, [Liu Li] was gently urged to go on stage.
0:54:23|0:54:27|[Liu Li] covered her face in shock for a moment, she didn't expect to be slapped.
0:54:27|0:54:31|Perhaps both of them were so angry that their words were beyond her control.
0:54:33|0:54:44|He couldn't bear this kind of grievance, slammed the door heavily, covered his face and ran to the bathroom, sitting alone on a chair, holding his head in his hands, tears streaming down his face. After calming down, he also figured it out.
0:55:22|0:55:31|The final begins, and the audience below is already boiling with excitement, not only because this is an international competition, but also because the contestant on stage is a teammate who has been together day and night.
0:55:32|0:55:36|The thrilling scene is indeed rare, and it's really tough on [Liu Li].
0:55:36|0:55:44|In her mind, scenes of the two of them fighting each other, superhuman leg bows, spinning back kicks, etc., kept playing back and forth like a movie.
0:55:44|0:55:50|Thinking of this, [Liu Li] leaned dejectedly against the wall, but in fact, the competition was right in front of her.
0:55:50|0:55:57|The scene shifts, Yang Hui slowly walks to the center of the arena, bowing deeply to the audience and referees, while Liu Li is still hesitating to enter the court in the back.
0:55:58|0:56:8|After putting on the helmet, [Liu Li] took a deep breath, her steps slow and deliberate. Meanwhile, Han Bing waited at the coach's seat, looking at the hand she had just hit [Liu Li] with, feeling both helpless and guilty.
0:56:8|0:56:10|As soon as [Liu Li] appeared, the voiceover commentary could be heard.
0:56:10|0:56:11|[Liu Li], wearing red armor, is her teammate Yang Hui.
0:56:38|0:56:42|And at that moment, Grandpa and Yang Hui's mother were also watching the live TV broadcast.
0:56:42|0:56:51|The announcer on the TV announced the news of Yang Hui's illness. Upon hearing this, Yang Hui's mother did not show surprise or shock, but quietly wiped away a tear.
0:56:51|0:56:56|The two sat around the fireplace in silence, their faces filled with pride and satisfaction for what they had accomplished.
