0:0:50|0:0:57|接着，悬挂的照片相继旋转到正面，每张照片上的人都被遮盖住了双眼。
0:12:18|0:12:26|紧接着，他随手打开房间的灯，走向中间的桌子，将手中的一摞书放下之后，又走向最里面。
0:12:26|0:12:32|于是，他端着煮泡面的锅，站在桌子前一边吃一边忙碌着。
0:12:43|0:12:51|第二天，壁屋监狱外面的双行道上，交叉驶过一辆摩托车和轿车。
0:12:51|0:13:0|随后，光头男站在栅栏门前，等候狱警开门。而身后护送他的狱警与他一同进去。
0:13:0|0:13:7|光头男径直走向前面，在看到柱子后面伸着胳膊示意的[李沧东]时，看了看身后的狱警。他站在[李沧东]面前。
0:13:15|0:13:22|而他看向一旁的狱警，立即抽出一根。待他叼起香烟，[李沧东]长官便帮他点燃。
0:13:24|0:13:31|他猛吸一口香烟后，对其说道。他收回看[李沧东]长官的眼神，趴在桌子上。
0:14:36|0:14:40|说完，[李沧东]长官便从何[细鬼]的身后离开，而何[细鬼]依旧站在原地。
0:14:40|0:14:47|黄昏时刻，[李沧东]长官驾驶车子边打电话。
0:14:52|0:14:57|傍晚，在热闹的街道上，[李沧东]长官把车子停靠在转弯处的书摊旁。
0:14:57|0:15:6|待老板把一捆报纸放入副驾驶上后，他便发动车子离去。第二天，[李沧东]长官来到舞蹈室。
0:15:36|0:15:39|美女在办公室的书桌下翻找出一个黑色袋子。
0:15:56|0:16:0|此时的[李沧东]长官来到电梯前，正准备按时，电梯却响了。
0:16:0|0:16:7|随着电梯门被打开，里面出来一位戴着眼镜的大叔，和一位同样戴着眼镜的男子。
0:16:7|0:16:13|二人走向[李沧东]长官的方向，而此时的[李沧东]长官早已隐藏在一旁的楼梯间内。
0:16:13|0:16:22|次日，出狱的何[细鬼]颓废地走在路上，可就在他的不远处，正有人紧紧地盯着他。随后，他给同伴打电话。
0:16:26|0:16:32|深夜，往日热闹的街上，此时只有零零散散的几个人，和满地飘零的垃圾。
0:16:32|0:16:38|而何[细鬼]正侧靠在永星旅馆正对面的电线杆上，他仔细地观察着永星旅馆的一举一动。
0:16:40|0:16:47|突然，一辆白色的商务车出现在永星旅馆的门口。开车的男人下车后，打开后面的车门说道。
0:16:54|0:17:2|而何[细鬼]在看见妹妹的身影后，拿起一旁的泔水桶径直泼向了倚靠在车门前的男人。随后，便拉起受惊吓的妹妹。
0:17:4|0:17:8|不料，逃跑的二人迎头撞见正从店里出来的高利贷同伙。
0:17:8|0:17:14|就在何[细鬼]退后时，对方分别将他们制服。何[细鬼]被扔在街上群殴着。
0:17:42|0:17:46|放高利贷的说完后，便转身拉起妹妹往回走。
0:17:46|0:17:52|此时的路沿上到处都是何[细鬼]的鲜血，而满脸是血的他试图站起身来。
0:17:52|0:17:56|他扭动疼痛的身体侧过身将自己撑了起来。
0:17:56|0:18:3|随后，他拖着疼痛难忍的身体向前走，可没走几步。突然，他发现前面有警察路过，
0:18:3|0:18:7|于是他立刻转身跑向相反的方向。
0:18:7|0:18:13|此时，朦胧的深夜显得更加诡秘，而昏暗的灯光下，折射出他渐行渐小的身影。
0:18:14|0:18:21|另一边，站在大桥底下的[李沧东]拎着水果注视着前方，而一旁的女人说道
0:18:39|0:18:48|说完，[李沧东]接过女人手中的东西。紧接着，他径直向前走去。
0:18:48|0:18:53|随后，落魄的[废嗡]正狼吞虎咽地吃着东西。
0:18:53|0:19:0|可[废嗡]根本没有听他讲话，而是将所夹的食物送入口中之后，猛地仰头，喝了一口啤酒。
0:19:1|0:19:7|随后，[废嗡]环顾着四周，在看到给他夹菜的[李沧东]后，下意识地闪躲。
0:19:7|0:19:15|接着他又喝了一口啤酒，开始打量[李沧东]。而[李沧东]却很耐心地继续给他煮菜。
0:19:20|0:19:25|此时，[废嗡]被风吹得瑟瑟发抖，筷子也敲响了易拉罐。
0:19:37|0:19:40|停住了手中的动作，看向他。
0:19:43|0:19:50|眉头紧皱的[李沧东]默默地将菜夹入锅中。另一边，一辆白色的轿车被人踹响警报。
0:19:50|0:19:58|躲在角落的何[细鬼]手插在上衣的口袋中，他侧过头看向触响警报的轿车。
0:19:58|0:20:4|见没有人后，他来到车前，打开引擎盖，迅速找到警报线，并将其剪掉。
0:20:4|0:20:17|紧接着，他使用设备触动车门引线，见车门被成功打开后，他迅速坐上车内，把轿车的启动装置插在简易设备上，一套熟练的流程顺利地将车子发动起来。
0:20:17|0:20:27|随后，何[细鬼]驾着轿车拐出小道，而就在他准备提速的时候，正前方突然出现一辆黑色的轿车，挡住了他的去路。
0:20:27|0:20:33|此时，对面副驾驶的人下车之后，车子便将头转向他的方向。
0:20:33|0:20:40|就在车子的大灯关闭之后，他才看清楚了对面的人。而[李沧东]看向副驾驶说。
0:20:53|0:21:0|何[细鬼]拿下帽子，轻轻抚摸额头上的伤口，[李沧东]将目光看向正前方。
0:21:2|0:21:11|而许久未开口的何[细鬼]，在犹豫片刻之后说。此时的[李沧东]对他丝毫不留余地。
0:21:11|0:21:21|车内的二人紧紧注视着对方。目光呆滞的何[细鬼]不知所措地看向脚下。
0:21:21|0:21:29|突然，火车道路旁边的公路上，出现一辆赛车和摩托车，他们一同缓慢驶进了停满赛车的空地。
0:21:29|0:21:36|而就在何[细鬼]将车子停稳之后，在场所有人的目光都投向了这辆陌生的赛车。
0:21:36|0:21:44|紧接着，何[细鬼]便下了车。头戴纱布的他找到这场赛车的组织者，听他说着赛场上的规矩。
0:21:44|0:21:50|而在不远处，有人拍摄着这一切。
0:21:56|0:22:2|何[细鬼]倚靠在车旁凝视着他们。这时，一位身穿黑色上衣的男人走向他。
0:22:8|0:22:15|听完，黑衣男便拿出口袋里的手机。而躲在暗处的人正在抓拍着每一个细节。
0:22:15|0:22:19|另一边，[李沧东]接着电话。
0:22:23|0:22:29|突然，一辆赛车冲了出来，它行驶在最前面，而身后紧跟着各种颜色的赛车。
0:22:29|0:22:33|此时的何[细鬼]驾驶着白色轿车正准备超车。
0:22:33|0:22:39|他观察着前方赛车的动向，找准机会迅速和他并排，并用眼神蔑视对方。
0:22:39|0:22:48|转弯处，有辆车子突然横在道路中间，迫使何[细鬼]和他前方的车辆紧急刹车。
0:22:58|0:23:7|另一边，被刁难的何[细鬼]迅速调整状态，利用弯道超车超过了一辆赛车，而他眉头紧皱，心里藏着更大的压力。
0:23:16|0:23:21|此时，他的脑海里突然出现妹妹在大街上被人追逐的场景。
0:23:21|0:23:29|紧接着，面目狰狞的他想利用最后一个弯道再次超车，可刚刚被他超越的那辆车正紧紧地跟随着他。
0:23:29|0:23:34|而就在他调整的时候，后面的车辆撞上了他的车尾。
0:23:34|0:23:40|于是，他迅速转动方向盘，使车子停靠在路边，以防对手再次撞击。
0:23:40|0:23:46|最后，见对手擦肩而过时，他才重新回到正轨上，猛踩油门，追了上去。
0:23:46|0:23:52|此刻的他不再畏惧，迅速超过正前方的车辆，却使车子撞击到路边的围栏上。
0:23:52|0:23:58|翻车的同时还溅出了火花，而刚刚撞向他的车辆在看到他之后，略显慌张。
0:23:58|0:24:10|于是坚定的他快速调整速度，从外道驶向前面，将撞向他的车辆压在身后。此刻，所有赛车逐个驶入隧道。
0:24:10|0:24:17|大量警车在交警的带领下，来到隧道出入口。另一边，[何细魁]为首的赛车队正在隧道里追逐。
0:24:17|0:24:21|突然，[警察队长]接到电话。
0:24:29|0:24:34|[何细魁]迅速掉头，向反方向驶去。
0:24:40|0:24:44|而在入口等待他的，却是大量的警察。
0:25:8|0:25:16|蹑手蹑脚的[何细魁]则穿过树丛，爬上一旁的山丘，然后翻越山丘，来到了下面的公路上。
0:25:16|0:25:28|就在他刚舒缓自己忐忑不安的内心时，口袋中的手机却响了。
0:25:29|0:25:37|另一边，[李沧东上司]端坐在麻将馆，而身后走来了一位脸上有疤的光头胖子。
0:26:33|0:26:37|她在看清楚真的是哥哥的时候，快步走上前，将哥哥拥入怀中。
0:26:37|0:26:42|此时，哥哥宽厚的肩膀带给她久违的安全感。
0:26:42|0:26:52|而何[细贵亲妹]在看到妹妹完好无损时，眼泪涌上了眼眶，他单手抚慰着妹妹的脑袋，二人紧紧相拥在大街上，久久不愿分开。
0:26:52|0:26:59|第二天，[李沧东上司]刚出地铁。随后，[李沧东上司]便径直走向被铁网笼罩的小区。
0:26:59|0:27:7|紧接着，他来到小区里面的商铺楼，就在他进入儿童区的时候，何[细贵亲妹]出现在他的身后。
0:27:7|0:27:12|此时的何[细贵亲妹]边走边抽着香烟，他仔细观察着周围。
0:27:12|0:27:16|而[李沧东上司]早已穿过儿童区，穿梭在各个商铺之间。
0:27:17|0:27:23|商铺招牌的旗帜高高飘扬着，醒目地提醒着路人商品的种类和不同。
0:27:23|0:27:29|而固定的区域限制了他们陈列的商品，从而占用过道，使店铺之间的距离变得狭窄。
0:27:30|0:27:37|由于[李沧东上司]的步伐太快，导致何[细贵亲妹]跟丢了，于是，他盲选了一条路走了进去。
0:27:56|0:28:1|随后，[李沧东上司]便拿着一根香走出房门，蹲下后，将香插在门口的地藏里。
0:28:1|0:28:10|而此时的何[细贵亲妹]也进入到了居民楼里，正在寻找[李沧东上司]留给他的线索。
0:28:48|0:28:54|无奈的何[细鬼]闭上双眼。
0:29:8|0:29:19|说完后，[李沧东]便从手提包中拿出一个黑色的文件夹，并抽出里面的文件递给何[细鬼]，而撑着脑袋的何[细鬼]满脸不屑地看着他。
0:29:53|0:30:3|紧接着，[李沧东]便将资料装进信封，又拿出蜂蜡和信戳，使风蜡融化之后，滴在信封的开口处，随后，便盖上专属的信戳。
0:30:3|0:30:9|深夜，[太平]哥带着何[细鬼]乘坐快艇，来到了停在湖中心的船上，并对他说。
0:30:38|0:30:40|说完，站起身来的[拉链]重新坐回凳子上。
0:30:40|0:30:47|与此同时，怕被误伤的[爆猪]见二人熄停了战火，便拉着凳子坐回桌前。
0:30:47|0:30:51|嫂子从船舱走了出来，她绕过众人坐在空位上。
0:30:52|0:30:59|此时，[太平]立刻站起身，拿起酒瓶准备为嫂子倒酒，而嫂子微笑地看向他，并用手将杯子扣住。
0:31:0|0:31:5|随后，嫂子注意到了何[细鬼]，看着他，仿佛在哪里见过。
0:31:7|0:31:11|[太平]放下酒杯，走到一边，跟[华天]商讨着什么。
0:31:11|0:31:18|船上的吊灯随风舞动，灯光在[华天]的脸上若隐若现。随后，二人坐在桌前。
0:31:32|0:31:41|[华天]满意地点点头，随后便看向何[细鬼]说。
0:31:55|0:32:0|[华天]倒掉[阿弟]杯中的茶水之后，为她倒上了酒，见她不说话，便问道。
0:32:2|0:32:9|垂头丧气的[阿弟]在犹豫片刻之后，将头缓缓抬起，郑重其事地看着他，随后便对他说。
0:32:18|0:32:21|[华天]强颜欢笑地应和着。
0:32:21|0:32:30|而[阿弟]却将杯中的酒扬向身后，接着拿起了茶壶。
0:32:46|0:32:52|[李沧东]很无奈地将视线看向电脑，在按下几个键之后，再次对他说道。
0:32:52|0:33:1|说完，[李沧东]便转过头开始工作，而此时的何[细鬼]却发起了愣，玩着嘴里的棍子迟迟没有开口说话。
0:33:6|0:33:15|何[细鬼]停下手中的动作说道。[李沧东]思考片刻后，开口说道。
0:33:17|0:33:32|随后，各种各样的车辆并列在街道的两旁，何[细鬼]则靠在车门上，嘴里叼着香烟，手里玩着烟盒，四处张望的他，看到[阿弟]之后停下手中的动作，而[阿弟]却扔给他一个袋子。
0:33:33|0:33:40|满脸疑惑的何[细鬼]拿过袋子便去换衣服，此时的[阿弟]坐在副驾驶上，抽着香烟等待他。
0:33:40|0:33:48|不一会儿，换好衣服的何[细鬼]先是打开后排的车门将袋子放了进去，随后便坐上了主驾驶的位置。
0:33:48|0:34:6|何[细鬼]驾驶车子，[阿弟]则紧靠在座椅上发呆，突然，电话铃声打破了宁静，[阿弟]拿出手机，上面显示一条新的短讯，此后她按下显示键，看到的却是，现在不是时候，把胎打掉。紧接着她拨通电话。
0:34:13|0:34:21|片刻之后，二人出现在繁华的街头，穿过人来人往的斑马线，径直走进了一家金店。
0:34:21|0:34:28|神情严肃的[阿弟]走在最前面，何[细鬼]则紧随其后，拎着大小不一的购物袋。
0:34:28|0:34:36|随后，何[细鬼]为[阿弟]推开店门，但[阿弟]没有做出任何回应，而是环顾着四周的金银首饰。
0:34:36|0:34:42|接着，进入店内的何[细鬼]却看向了处在角落里的摄像头。
0:34:44|0:34:50|售货员看向一旁的专柜。[阿弟]敷衍地回应着对她微笑的售货员。
0:34:50|0:34:53|可在坐下之后，她却紧盯着柜台中的对戒。
0:34:55|0:35:1|身后站着的何[细鬼]默不作声，[阿弟]抬起若有所思的脑袋，看向售货员。
0:35:6|0:35:16|随后，售货员将手伸入专柜，拿出戒指。而站在身后的何[细鬼]突然将看向戒指的眼神，移至玻璃窗外，正在拿信件的保安身上。
0:35:16|0:35:21|可就在他看向店内的钟表时，[阿弟]突然站起身。
0:35:46|0:35:49|夜晚在嬉闹声中悄悄降临。
0:35:49|0:35:55|此时的二人正坐在街边的小摊上涮着火锅，[阿弟]对正在上菜的老板娘说。
0:35:56|0:36:2|何[细鬼]立刻停下手中的动作看向她，恶狠狠盯着他的[阿弟]转头喊道。
0:36:4|0:36:11|不一会儿，他们的面前就多了三桶啤酒。叼着烟的何[细鬼]打开一瓶啤酒之后，伸手去拿空酒杯。
0:36:11|0:36:17|就在倒酒时，[阿弟]一脸嫌弃地夺去酒瓶，随后，[阿弟]示意碰杯。
0:36:17|0:36:35|何[细鬼]立刻拿起酒瓶与其相碰，在拿下嘴里的香烟之后，便喝了起来，而[阿弟]则是仰头猛灌着，酒水顺着她的嘴角滑落下来，但她却没有想要停下的意思，继续紧闭着双眼将啤酒下肚。而何[细鬼]在喝了一大口之后，放下酒瓶看着她。
0:36:36|0:36:41|深夜，商贩们早已回家，只留餐桌上的灯坚守在岗位上。
0:36:41|0:36:46|而喝得烂醉如泥的[阿弟]，紧靠在身后的卷帘门上，一只脚还搭在凳子上。
0:36:46|0:36:55|在喝了一大口啤酒之后，她看向身旁正在苦笑的何[细鬼]说道。
0:37:9|0:37:14|何[细鬼]在街上被警察追逐着，另一边的[阿弟]在被黑帮的人追杀着。
0:37:20|0:37:27|警察追向黑帮，二人成功逃脱。[阿弟]看了看何[细鬼]，将头低下后说道。
0:37:35|0:37:42|[阿弟]放在酒瓶上的手不停地晃动着，突然，她抬起沉重的头，并指向何[细鬼]说道。
0:37:43|0:37:52|此时的何[细鬼]满脸疑惑地看向她，可她笑着回应。紧接着，她强制地将自己怠倦的身体尽量坐直，却紧闭着双眼。
0:38:24|0:38:26|回忆往事的[阿弟]沉浸在喜悦中。
0:38:26|0:38:38|突然，面带笑容的脸变得严肃起来。此刻她的内心深处是暖的。说完，她冷笑一声，
0:38:38|0:38:41|随后，便拿起酒瓶碰向何[细鬼]的酒瓶。
0:38:43|0:38:54|欲哭无泪的她将剩下的酒大口喝下，曾经的自己是多么信任他，可现如今，他却一点都不心疼，还让自己将亲生骨肉打掉。
0:38:54|0:39:4|此时的[阿弟]痛不欲生，被酒精麻痹的她顺势倒了下去，而坐在对面的何[细鬼]立刻伸出手扶住她的脑袋，缓慢地将其放在桌子上。
0:39:4|0:39:7|何[细鬼]看着她不由自主地揪起了心。
0:39:8|0:39:22|可冷静下来之后，看着她的何[细鬼]却将手伸向了她的包，在拿出她的手机之后，何[细鬼]便低着头，将她手机的数据传入到自己的手机中。不一会儿，何[细鬼]就将[阿弟]的手机放了回去。
0:39:22|0:39:26|可他觉得内心很不安，愧对[阿弟]对自己的信任。
0:39:26|0:39:31|但是自己答应了[李沧东]，处于救妹心切的他选择了后者。
0:39:31|0:39:40|随后，他看着眼前的身影，莫名地觉得心疼，于是他站起身来，拿起放在一旁的外套，并缓缓地走到[阿弟]的身边。
0:39:40|0:39:49|贴心的他将外套盖在[阿弟]的身上。片刻之后，昏暗的路灯斜斜地照在街道上，幢幢楼房亮起了灯火。
0:39:49|0:39:57|一家门口的地藏里点燃了一根香。[李沧东]接过何[细鬼]递过的储存卡看了看。
0:40:20|0:40:26|失望的何[细鬼]缓缓地低下了头
0:40:40|0:40:52|眉头紧皱的[李沧东]看着他陷入了沉思，可是他又不能心软，于是他转过身子，卸下往日的戒备，低下头吞了吞口水，诚恳地对何[细鬼]说道。
0:41:46|0:41:50|而坐在车内的[李沧东]仔细地观察着两旁的街道。
0:41:50|0:41:57|突然，不远处的一对男女走出店门，站在门口的二人互相拥抱过后，便走向了不同的方向。
0:41:57|0:42:0|与此同时，[李沧东]的电话响了起来。
0:42:20|0:42:28|说完，出租车便停靠在街边，[李沧东]下车后先是观察两边的车辆，再快速跑向对面的街道。
0:42:28|0:42:36|刚刚从店里走出的男人正快步穿梭在人群中，而就在这时，对面街道上的[李沧东]注意到了他。
0:42:36|0:42:43|停下脚步的[李沧东]仔细地观察着他的一举一动，越看越觉得不对劲，便转身走向他前进的方向。
0:42:52|0:42:58|此时，所有隐藏在人群中的队友都在按照[李沧东]提供的特征寻找着嫌疑人。
0:42:58|0:43:3|而走在对面街道上的[李沧东]，紧紧地盯着男人的一举一动。
0:43:4|0:43:11|突然，男人抬起头看向身旁的大厦，随后便走了进去，紧随其后的[李沧东]立刻呼叫同伴。
0:43:12|0:43:20|古仔快步追了上去，紧接着，一位女古仔就守在入口处。
0:43:20|0:43:27|大厦内，[华天]站在人群中等候电梯，追上来的古仔和同伴一边向前走，一边隐藏好通讯设备。
0:43:28|0:43:36|不一会儿，电梯门缓缓打开，站在最前面的[华天]走了进去，而身后的[石仔]和同伴也不紧不慢地相继进入。
0:43:37|0:43:42|待电梯门关上后，[华天]从后面伸出手，按下10楼的按钮。
0:43:42|0:43:51|[石仔]毫不犹豫地按下10楼旁边的8楼按钮。随后，同伴却按下了12楼的按钮，这时，电梯内的气氛极度紧张。
0:43:51|0:44:0|片刻之后，8楼到了。装作若无其事的[石仔]悠哉地走出电梯，在等电梯门关上之后，他立刻跑向一旁的楼梯间。
0:44:0|0:44:9|可就在他奋尽全力跑向10楼时，却撞见了正在下楼梯的[华天]，此时，他瞬间谨慎起来，随后便通知[李沧东]。
0:44:26|0:44:29|有所察觉的[华天]快马加鞭地进入停车场。
0:44:29|0:44:34|一路小跑的[李沧东]在确认他进去之后，径直跑向另一边。
0:44:34|0:44:40|在通往停车场的电梯里，一位长发美女按下按钮时，[华天]走了进去。
0:44:40|0:44:44|他眉头紧皱，站在美女的身后看着电梯门。
0:44:44|0:44:50|随后，[李沧东]快步来到停车场的出口处，他站在一旁的角落里环顾着四周。
0:44:50|0:44:56|紧接着，出租车的车队也赶了过来，他们停靠在路边，等候[李沧东]的命令。
0:44:57|0:45:5|就在这时，一辆轿车缓缓驶出停车场，停在半坡缴费的他，引起了[李沧东]的注意，可他并没有上前拦截。
0:45:14|0:45:21|随后[李沧东]进入停车场，根据定位寻找[华天]的踪迹，可他却在停车位上看见了[华天]的手机。
0:45:21|0:45:29|另一边，[华天]正在使用公共电话。
0:45:31|0:45:37|郊外的高架桥下传来震耳欲聋的枪声，两个手下站在钦点钱财的[太平]身后放风。
0:45:37|0:45:44|此时的[阿弟]将步枪放在[太平]脚下的布袋上，随后又拿起手枪走向何细魁。可何细魁看着她认真的说道。
0:45:48|0:45:55|轻蔑一笑的[阿弟]径直走向一边，而站在原地的何细魁，满脸吃惊地看着她举枪对准空地。
0:45:58|0:46:4|待[太平]清算好一切之后，五人便分头行动。[太平]带两个手下原路返回，
0:46:4|0:46:11|何细魁和[阿弟]则从桥底爬上路面。随后，[阿弟]径直坐进了停靠在路边的车里，
0:46:11|0:46:19|而何细魁先是打开后排的车门，将装满枪支的背包放进去后，才坐上主驾驶，缓缓地启动车子。
0:46:26|0:46:32|看着何[细贵亲妹]的[阿弟]露出欣慰的笑容。被夸赞的何[细贵亲妹]露出了久违的笑容。
0:46:33|0:46:41|紧靠在座椅上的[阿弟]将眼神看向正在驾驶的何[细贵亲妹]。片刻之后，她看着窗外的风景，若有所思地说道。
0:46:59|0:47:11|车内的广播使[阿弟]发出感慨。过往的经历如同车窗外的风景，一幕幕闪现在眼前。
0:47:12|0:47:19|突然，何[细贵亲妹]的脑海里浮现了他和妹妹手拉手走在大街上的场景。
0:47:22|0:47:27|感同身受的[阿弟]看着他说道。
0:47:39|0:47:44|面无表情的何[细贵亲妹]看了看渴望被牵挂的[阿弟]，心里满是同情。
0:47:44|0:47:53|紧接着，何[细贵亲妹]将车子拐入另一条街道上，不料竟遇到了警察查车，内心惶恐的二人面面相觑。
0:47:53|0:48:2|在警察的指引下，何[细贵亲妹]将车子缓缓地停靠在路边上等待检查。此时坐在车里的二人如坐针毡。
0:48:2|0:48:9|而何[细贵亲妹]通过后视镜观察着往来的车辆。与此同时，一名警官缓缓地向他们走来，
0:48:9|0:48:17|并示意他将车窗打开。随后，警察对开了一半车窗的他说道。
0:49:8|0:49:12|而身后的警察在快要撞上的时候，快速打转方向盘，紧急刹车。
0:49:26|0:49:39|此时，逆行的他闪躲着来往的车辆，突然，一辆大型货车挡住了他的去路，于是他快速穿过货车前面的空隙，但横穿马路的他被一旁的小轿车撞到一边。
0:49:39|0:49:54|随后，并无大碍的他听到警笛的声音之后，立刻解开安全带，侧身打开副驾驶的门，紧接着，他迅速下车来到副驾驶门前拉出了[阿弟]，又跑向另一边拿出装满枪支的包。
0:49:55|0:50:2|突然，他看见警察从车上下来，于是，拉起[阿弟]就跑。
0:50:4|0:50:10|他们穿过马路跑向人多的街边，大量的警察紧随其后，展开追捕。
0:50:10|0:50:17|跑在最前面的何[细鬼]回头看了看[阿弟]，见她越跑越慢，便拉起她奋尽全力地向前跑去。
0:50:17|0:50:24|突然，何[细鬼]发现正前方也有警察，他拉着[阿弟]放慢脚步，拐向左边的道路。
0:50:24|0:50:30|一头雾水的[阿弟]只管跟着他跑，可没跑多远，他们的前面又出现了警察。
0:50:31|0:50:37|紧接着，他们便跑向了旁边的市场，凌乱不堪的市场内到处悬挂着商品。
0:50:40|0:50:47|何[细鬼]拉着[阿弟]不停地穿梭在狭窄的过道里，他们利用商品当掩体来躲避警察的视线。
0:50:49|0:50:53|随后，警察兵分两路，他们仔细查找着可能隐藏在不同角落里的何[细鬼]和[阿弟]。
